Team,Ruolo,Giocatore,Squadra,PrezzoAcquisto,PrezzoAttuale
A.C.TUA CUCS,P,Perin,Juventus,1.0,3.0
A.C.TUA CUCS,P,Ravaglia F.,Bologna,3.0,12.0
A.C.TUA CUCS,P,Sommer,Inter,16.0,14.0
A.C.TUA CUCS,D,Barbieri,Cremonese,3.0,9.0
A.C.TUA CUCS,D,Kempf,Como,5.0,14.0
A.C.TUA CUCS,D,Marcandalli,Genoa,2.0,6.0
A.C.TUA CUCS,D,Martin,Genoa,10.0,14.0
A.C.TUA CUCS,D,Rodriguez Ju.,Cagliari,1.0,3.0
A.C.TUA CUCS,D,Tiago Gabriel,Lecce,1.0,9.0
A.C.TUA CUCS,D,Valeri,Parma,10.0,10.0
A.C.TUA CUCS,C,Calhanoglu,Inter,30.0,28.0
A.C.TUA CUCS,C,Collocolo,Cremonese,8.0,2.0
A.C.TUA CUCS,C,Ilkhan,Torino,1.0,2.0
A.C.TUA CUCS,C,Orsolini,Bologna,31.0,24.0
A.C.TUA CUCS,C,Paz N.,Como,21.0,30.0
A.C.TUA CUCS,C,Prati,Cagliari,4.0,6.0
A.C.TUA CUCS,C,Pulisic,Milan,28.0,31.0
A.C.TUA CUCS,C,Stanciu,Genoa,8.0,1.0
A.C.TUA CUCS,A,Bonazzoli,Cremonese,1.0,20.0
A.C.TUA CUCS,A,Buffon L.,Pisa,1.0,1.0
A.C.TUA CUCS,A,Leao,Milan,26.0,30.0
A.C.TUA CUCS,A,Soulè,Roma,20.0,26.0
A.C.TUA CUCS,A,Thuram,Inter,31.0,29.0
AC DENTI,P,Martinez Jo.,Inter,2.0,1.0
AC DENTI,P,Ravaglia F.,Bologna,3.0,12.0
AC DENTI,P,Sommer,Inter,16.0,14.0
AC DENTI,D,Cambiaso,Juventus,15.0,10.0
AC DENTI,D,Doig,Sassuolo,6.0,6.0
AC DENTI,D,Gosens,Fiorentina,18.0,10.0
AC DENTI,D,Norton-Cuffy,Genoa,3.0,7.0
AC DENTI,D,Terracciano F.,Cremonese,2.0,11.0
AC DENTI,D,Tiago Gabriel,Lecce,1.0,9.0
AC DENTI,D,Veiga D.,Lecce,2.0,5.0
AC DENTI,C,Aebischer,Pisa,4.0,5.0
AC DENTI,C,Atta,Udinese,8.0,16.0
AC DENTI,C,Karlstrom,Udinese,7.0,10.0
AC DENTI,C,McKennie,Juventus,6.0,14.0
AC DENTI,C,Odgaard,Bologna,16.0,18.0
AC DENTI,C,Paz N.,Como,21.0,30.0
AC DENTI,C,Politano,Napoli,15.0,11.0
AC DENTI,C,Pulisic,Milan,28.0,31.0
AC DENTI,A,Cancellieri,Lazio,10.0,14.0
AC DENTI,A,Hojlund,Napoli,21.0,25.0
AC DENTI,A,Kean,Fiorentina,33.0,18.0
AC DENTI,A,Meister,Pisa,3.0,8.0
AC DENTI,A,Yildiz,Juventus,25.0,30.0
Antibro,P,Nava,Cremonese,1.0,1.0
Antibro,P,Svilar,Roma,15.0,19.0
Antibro,P,Vasquez D.,Roma,1.0,1.0
Antibro,D,Bastoni,Inter,17.0,17.0
Antibro,D,Cambiaso,Juventus,15.0,10.0
Antibro,D,Dodò,Fiorentina,11.0,6.0
Antibro,D,Tavares N.,Lazio,12.0,6.0
Antibro,D,Terracciano F.,Cremonese,2.0,11.0
Antibro,D,Vasquez,Genoa,9.0,10.0
Antibro,D,Vitik,Bologna,8.0,4.0
Antibro,C,Aebischer,Pisa,4.0,5.0
Antibro,C,Asllani,Torino,4.0,3.0
Antibro,C,Estevez,Parma,2.0,5.0
Antibro,C,Keita M.,Parma,6.0,8.0
Antibro,C,Orsolini,Bologna,31.0,24.0
Antibro,C,Paz N.,Como,21.0,30.0
Antibro,C,Pulisic,Milan,28.0,31.0
Antibro,C,Vlasic,Torino,14.0,18.0
Antibro,A,Berardi,Sassuolo,21.0,21.0
