Pos,Squadra,Partite Giocate,Pt. totali
1,EquipoA,0,1769.5
2,SPARROW,0,1751.0
3,Fc Cortomuso,0,1751.0
4,Tana delle Tigri,0,1736.0
5,F.C Pennic Hellas,0,1730.5
6,MARCIO TEAM,0,1727.5
7,Scarzooka,0,1725.5
8,Collocolo Team,0,1723.0
9,Plu-Team,0,1714.5
10,Antibro,0,1710.5
11,TomMat-iga,0,1708.5
12,FC Spiaze,0,1703.0
13,BOBONE32,0,1702.5
14,Leonte FC,0,1702.0
15,FC Plasmon,0,1700.5
16,FC Galli,0,1697.0
17,Pro secco,0,1697.0
18,OnlyFans,0,1697.0
19,ISGOPPAISI2,0,1697.0
20,I COMPARI,0,1696.5
21,XLiverpuh,0,1696.5
22,Ipa Bali,0,1695.0
23,Non troppo cattivi,0,1694.0
24,Lunarossa,0,1694.0
25,SPERA EBBASTA,0,1692.0
26,LE 4 M,0,1691.5
27,DonBosko46,0,1691.0
28,Imperatori del culo,0,1690.5
29,Pi-Ciaccio,0,1686.5
30,BARAKALLAHOUFIK,0,1682.5
31,Concali Craboni FC,0,1682.0
32,SILVEDO,0,1680.0
33,A.C.TUA CUCS,0,1680.0
34,Peaky Tunas,0,1678.0
35,Due Amici al Var,0,1676.5
36,Temptation Haaland,0,1676.0
37,AC DENTI,0,1676.0
38,PEAKY BLINDERS,0,1675.5
39,Boiali,0,1671.0
40,BANDITI,0,1671.0
41,Malmö FF,0,1671.0
42,Giubbentus,0,1669.5
43,Hellas merdona,0,1668.0
44,Sarzanello Team,0,1668.0
45,SPOSTATI,0,1662.5
46,scarsenal,0,1660.5
47,coach 71,0,1659.0
48,i bro,0,1659.0
49,Real Mellandro,0,1657.0
50,puerto rosso blu,0,1655.0
51,Riccardigno,0,1654.0
52,BinuSpuntu,0,1653.0
53,Longobarda,0,1652.5
54,SAGATU,0,1652.0
55,LEONE,0,1650.5
56,Nastro Azzurro,0,1648.0
57,Piovra73,0,1643.5
58,LosPollosHermanos,0,1642.0
59,Lions,0,1641.5
60,KARABE 1975,0,1641.0
61,pacho team,0,1640.0
62,Sciabolata Classica,0,1640.0
63,CuginiDiCampagna,0,1639.5
64,SerSi-FC,0,1639.5
65,buttiglia25,0,1636.5
66,ROCKY 3,0,1636.0
67,CISCO TEAM,0,1631.0
68,Fc nipiri,0,1629.5
69,SMOG,0,1629.0
70,Sisal Palace,0,1628.5
71,i fratelli merda,0,1628.0
72,FC Buttarighe,0,1626.0
73,lagg,0,1624.5
74,DEEDPULLY,0,1622.5
75,kalashnikov,0,1622.5
76,real donk,0,1620.5
77,Mapoitta,0,1615.0
78,I Cigni,0,1614.5
79,Kung-Fu Pandev,0,1612.5
80,mezzebirre,0,1608.5
81,CLAN,0,1602.5
82,ProPro Proibito,0,1596.5
83,HeineKean,0,1580.0
84,Evergreen,0,1573.0
