round,team,opponent,home_away,home_score,away_score,team_score,opponent_score,match_status,kickoff_iso,match_url,match_id
24,Atalanta,Cremonese,H,2,1,2,1,4,2026-02-09T18:30,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/atalanta-cremonese/16901,16901
24,Bologna,Parma,H,0,1,0,1,4,2026-02-08T12:30,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/bologna-parma/16902,16902
24,Cagliari,Roma,A,2,0,0,2,4,2026-02-09T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/roma-cagliari/16908,16908
24,Como,Milan,A,1,1,1,1,4,2026-02-18T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/milan-como/16907,16907
24,Cremonese,Atalanta,A,2,1,1,2,4,2026-02-09T18:30,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/atalanta-cremonese/16901,16901
24,Fiorentina,Torino,H,2,2,2,2,4,2026-02-07T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/fiorentina-torino/16903,16903
24,Genoa,Napoli,H,2,3,2,3,4,2026-02-07T18:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/genoa-napoli/16904,16904
24,Inter,Sassuolo,A,0,5,5,0,4,2026-02-08T18:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/sassuolo-inter/16909,16909
24,Juventus,Lazio,H,2,2,2,2,4,2026-02-08T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/juventus-lazio/16905,16905
24,Lazio,Juventus,A,2,2,2,2,4,2026-02-08T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/juventus-lazio/16905,16905
24,Lecce,Udinese,H,2,1,2,1,4,2026-02-08T15:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/lecce-udinese/16906,16906
24,Milan,Como,H,1,1,1,1,4,2026-02-18T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/milan-como/16907,16907
24,Napoli,Genoa,A,2,3,3,2,4,2026-02-07T18:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/genoa-napoli/16904,16904
24,Parma,Bologna,A,0,1,1,0,4,2026-02-08T12:30,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/bologna-parma/16902,16902
24,Pisa,Verona,A,0,0,0,0,4,2026-02-06T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/verona-pisa/16910,16910
24,Roma,Cagliari,H,2,0,2,0,4,2026-02-09T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/roma-cagliari/16908,16908
24,Sassuolo,Inter,H,0,5,0,5,4,2026-02-08T18:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/sassuolo-inter/16909,16909
