nome,R,RM,club,QA,QI,Delta,FVM,missing
Aboukhlal,A,A,Torino,3.0,9,-6,9,0
Acerbi,D,Dc,Inter,6.0,9,-3,12,0
Adams C.,A,A,Torino,17.0,14,3,36,0
Addai,A,W;A,Como,12.0,7,5,16,0
Adopo,C,M;C,Cagliari,6.0,5,1,14,0
Adzic,C,C;T,Juventus,3.0,1,2,1,0
Aebischer,C,C,Pisa,5.0,4,1,12,0
Ahanor,D,B;Ds;E,Atalanta,5.0,6,-1,10,0
Ajayi *,,,,0.0,0,0,0,1
Akanji,D,Dc,Inter,11.0,9,2,53,0
Akinsanmiro,C,C;T,Pisa,7.0,3,4,12,0
Akpa Akpro,C,M;C,Verona,2.0,1,1,6,0
Al-Musrati,C,M;C,Verona,3.0,4,-1,7,0
Albiol,D,Dc,Pisa,3.0,5,-2,9,0
Almqvist,A,W;A,Parma,3.0,4,-1,10,0
Ambrosino,A,Pc,Napoli,2.0,1,1,1,0
Angelino,D,E,Roma,7.0,15,-8,10,0
Angori,D,Ds;E,Pisa,9.0,5,4,13,0
Anjorin,C,C;T,Torino,3.0,10,-7,10,0
Aramu *,,,,0.0,0,0,0,1
Arena A.,A,Pc,Roma,1.0,1,0,1,0
Arizala,D,Ds;E,Udinese,1.0,1,0,1,0
Asllani,C,M;C,Torino,3.0,4,-1,14,0
Athekame,D,Dd;E,Milan,3.0,6,-3,8,0
Atta,C,C,Udinese,16.0,6,10,42,0
Audero,P,Por,Cremonese,15.0,5,10,15,0
Bailey *,,,,0.0,0,0,0,1
Bakker *,,,,0.0,0,0,0,1
Baldanzi,C,T;A,Genoa,6.0,8,-2,32,0
Balentien,A,A,Milan,1.0,1,0,1,0
Banda,A,W;A,Lecce,11.0,5,6,12,0
Barbieri,D,Dd;Ds;E,Cremonese,9.0,3,6,11,0
Barella,C,C,Inter,17.0,14,3,70,0
Bartesaghi,D,Ds;E,Milan,13.0,3,10,27,0
Baschirotto,D,Dc,Cremonese,13.0,8,5,23,0
Basic,C,C,Lazio,14.0,1,13,24,0
Bastoni,D,Dc,Inter,17.0,16,1,54,0
Baturina,C,T,Como,14.0,9,5,26,0
Bayeye *,,,,0.0,0,0,0,1
Bayo V.,A,Pc,Udinese,3.0,4,-1,8,0
