name,PPG_S,PPG_R8,GFpg_S,GFpg_R8,GApg_S,GApg_R8,MoodTeam,CoachStyle_P,CoachStyle_D,CoachStyle_C,CoachStyle_A,CoachStability,CoachBoost,GamesRemaining
Inter,2.3636,2.75,2.2727,2.25,0.8636,0.75,0.9,0.7,0.9,0.8,1.0,0.9,0.9,16
Milan,2.1364,2.0,1.5909,1.625,0.7727,0.75,0.7,0.9,0.9,0.8,0.8,0.9,0.9,16
Roma,1.9545,2.0,1.2273,1.5,0.5909,0.625,0.7,0.9,0.9,0.8,0.9,0.9,1.0,16
Napoli,1.9545,1.5,1.4091,1.125,0.9091,1.0,0.6,0.7,0.8,0.9,0.8,0.7,0.8,16
Juventus,1.9091,2.375,1.5909,2.125,0.7727,0.375,0.8,0.8,0.7,0.9,0.8,0.9,0.9,16
Como,1.8182,2.0,1.6818,2.25,0.7273,0.625,0.8,0.8,0.7,0.9,0.8,1.0,0.9,16
Atalanta,1.5909,2.375,1.3636,1.625,0.9091,0.375,0.8,0.7,0.7,0.8,0.9,0.8,1.0,16
Bologna,1.3636,0.625,1.4545,1.125,1.2273,1.875,0.6,0.6,0.6,0.8,0.8,0.6,0.5,16
Udinese,1.3182,1.375,1.1364,1.25,1.5455,1.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,16
Lazio,1.3182,1.25,0.9545,0.625,0.8636,1.0,0.5,0.8,0.4,0.8,0.6,0.5,0.5,16
Sassuolo,1.1818,0.75,1.0909,0.625,1.2727,1.375,0.4,0.5,0.7,0.5,0.7,0.6,0.6,16
Cagliari,1.1364,1.375,1.0909,1.25,1.4091,1.5,0.6,0.6,0.6,0.5,0.6,0.8,0.8,16
Genoa,1.0455,1.125,1.1364,1.25,1.4091,1.25,0.5,0.5,0.6,0.6,0.7,0.7,0.8,16
Cremonese,1.0455,0.375,0.9091,0.25,1.3182,1.5,0.2,0.3,0.6,0.4,0.7,0.3,0.5,16
Torino,1.0455,1.125,0.9545,0.875,1.8182,1.75,0.3,0.4,0.5,0.6,0.6,0.4,0.5,16
Parma,1.0455,1.125,0.6364,0.5,1.1818,1.125,0.4,0.5,0.4,0.6,0.7,0.6,0.6,16
Lecce,0.8182,0.625,0.5909,0.375,1.3182,1.25,0.4,0.6,0.5,0.6,0.5,0.5,0.5,16
Fiorentina,0.7727,1.375,1.0909,1.625,1.5455,1.25,0.5,0.6,0.6,0.8,0.7,0.6,0.8,16
Verona,0.6364,0.625,0.8182,0.875,1.6818,2.0,0.3,0.5,0.4,0.6,0.7,0.4,0.5,16
Pisa,0.6364,0.5,0.8182,1.0,1.6818,2.25,0.2,0.3,0.3,0.5,0.6,0.3,0.5,16
