Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
A.C.TUA CUCS,Elphege,A,Par,1,1
A.C.TUA CUCS,Leao,A,Mil,22,22
A.C.TUA CUCS,Martinez L.,A,Int,36,36
A.C.TUA CUCS,Pavoletti,A,Cag,1,1
A.C.TUA CUCS,Yildiz,A,Juv,30,30
A.C.TUA CUCS,Calhanoglu,C,Int,30,30
A.C.TUA CUCS,Collocolo,C,Cre,8,8
A.C.TUA CUCS,Ilkhan,C,Tor,1,1
A.C.TUA CUCS,McKennie,C,Juv,16,16
A.C.TUA CUCS,Paz N.,C,Com,21,21
A.C.TUA CUCS,Prati,C,Tor,4,4
A.C.TUA CUCS,Pulisic,C,Mil,28,28
A.C.TUA CUCS,Zaniolo,C,Udi,20,20
A.C.TUA CUCS,Barbieri,D,Cre,3,3
A.C.TUA CUCS,Kempf,D,Com,5,5
A.C.TUA CUCS,Marcandalli,D,Gen,2,2
A.C.TUA CUCS,Martin,D,Gen,10,10
A.C.TUA CUCS,Rodriguez Ju.,D,Cag,1,1
A.C.TUA CUCS,Tiago Gabriel,D,Lec,1,1
A.C.TUA CUCS,Valeri,D,Par,10,10
A.C.TUA CUCS,Perin,P,Juv,1,1
A.C.TUA CUCS,Scuffet,P,Pis,2,2
A.C.TUA CUCS,Sommer,P,Int,16,16
AC DENTI,Albarracin,A,Cag,1,1
AC DENTI,Hojlund,A,Nap,24,24
AC DENTI,Martinez L.,A,Int,36,36
AC DENTI,Meister,A,Pis,2,2
AC DENTI,Yildiz,A,Juv,25,25
AC DENTI,Aebischer,C,Pis,4,4
AC DENTI,Karlstrom,C,Udi,7,7
AC DENTI,McKennie,C,Juv,6,6
AC DENTI,McTominay,C,Nap,24,24
AC DENTI,Orsolini,C,Bol,22,22
AC DENTI,Paz N.,C,Com,20,20
AC DENTI,Politano,C,Nap,15,15
AC DENTI,Pulisic,C,Mil,28,28
AC DENTI,Cambiaso,D,Juv,15,15
AC DENTI,Doig,D,Sas,6,6
AC DENTI,Gosens,D,Fio,18,18
AC DENTI,Norton-Cuffy,D,Gen,3,3
AC DENTI,Terracciano F.,D,Cre,2,2
AC DENTI,Tiago Gabriel,D,Lec,1,1
AC DENTI,Veiga D.,D,Lec,2,2
AC DENTI,Martinez Jo.,P,Int,3,3
AC DENTI,Scuffet,P,Pis,2,2
AC DENTI,Sommer,P,Int,10,10
Antibro,Berardi,A,Sas,24,24
Antibro,Esposito Se.,A,Cag,7,7
Antibro,Martinez L.,A,Int,27,27
Antibro,Meister,A,Pis,3,3
Antibro,Pedro,A,Laz,9,9
Antibro,Aebischer,C,Pis,4,4
Antibro,Estevez,C,Par,2,2
Antibro,Keita M.,C,Par,6,6
Antibro,Malinovskyi,C,Gen,15,15
Antibro,Paz N.,C,Com,20,20
Antibro,Pulisic,C,Mil,28,28
Antibro,Sala A.,C,Lec,1,1
Antibro,Vlasic,C,Tor,18,18
Antibro,Cambiaso,D,Juv,15,15
Antibro,Dimarco,D,Int,31,31
Antibro,Dodò,D,Fio,11,11
Antibro,Martin,D,Gen,13,13
Antibro,Tavares N.,D,Laz,12,12
Antibro,Vasquez,D,Gen,9,9
Antibro,Vitik,D,Bol,8,8
Antibro,Nava,P,Cre,1,1
Antibro,Svilar,P,Rom,15,15
Antibro,Vasquez D. *,P,Rom,1,1
BANDITI,Balentien,A,Mil,1,1
BANDITI,Douvikas,A,Com,24,24
BANDITI,Martinez L.,A,Int,36,36
BANDITI,Pavoletti,A,Cag,1,1
BANDITI,Soulè,A,Rom,24,24
BANDITI,Aebischer,C,Pis,5,5
BANDITI,Bondo,C,Cre,3,3
BANDITI,Calhanoglu,C,Int,30,30
BANDITI,Hojholt,C,Pis,1,1
BANDITI,Paz N.,C,Com,21,21
BANDITI,Prati,C,Tor,3,3
BANDITI,Pulisic,C,Mil,28,28
BANDITI,Rabiot,C,Mil,26,26
BANDITI,Canestrelli,D,Pis,3,3
BANDITI,Frese,D,Ver,4,4
BANDITI,Joao Mario,D,Bol,1,1
BANDITI,Martin,D,Gen,10,10
BANDITI,Muharemovic,D,Sas,5,5
BANDITI,Norton-Cuffy,D,Gen,6,6
BANDITI,Valeri,D,Par,10,10
BANDITI,Christensen O.,P,Fio,1,1
BANDITI,De Gea,P,Fio,14,14
BANDITI,Lezzerini,P,Fio,1,1
BARAKALLAHOUFIK,Diao,A,Com,3,3
BARAKALLAHOUFIK,Douvikas,A,Com,24,24
BARAKALLAHOUFIK,Kean,A,Fio,33,33
BARAKALLAHOUFIK,Malen,A,Rom,14,14
BARAKALLAHOUFIK,Scamacca,A,Ata,21,21
BARAKALLAHOUFIK,Cremaschi,C,Par,2,2
BARAKALLAHOUFIK,Ilkhan,C,Tor,1,1
BARAKALLAHOUFIK,Nicolussi Caviglia,C,Par,3,3
