ID,Giocatore,Posizione,Squadra,Ammonizioni
4312,Maignan,P,Milan,3
6966,Butez,P,Como,2
2814,Provedel,P,Lazio,1
5876,Di Gregorio,P,Juventus,1
2134,Falcone,P,Lecce,2
4360,Caprile,P,Cagliari,2
4236,Muric,P,Sassuolo,4
6662,Corvi,P,Parma,1
2722,Ravaglia F.,P,Bologna,2
133,Skorupski,P,Bologna,1
188,Leali,P,Genoa,2
6641,Suzuki,P,Parma,1
5320,Paleari,P,Torino,1
5338,Rinaldi,P,Parma,1
7179,Israel,P,Torino,1
6842,Sava,P,Udinese,1
254,Dimarco,D,Inter,1
1852,Spinazzola,D,Napoli,1
6832,Palestra,D,Cagliari,1
2120,Bastoni,D,Inter,3
6893,Kempf,D,Como,1
7181,Wesley,D,Roma,4
5022,Pavlovic,D,Milan,2
5750,Ostigard,D,Genoa,6
2593,Martin,D,Genoa,2
2788,Bremer,D,Juventus,1
4657,Celik,D,Roma,1
5526,Scalvini,D,Atalanta,1
5678,Holm,D,Juventus,1
5877,Carlos Augusto,D,Inter,3
5835,Baschirotto,D,Cremonese,2
6496,Bartesaghi,D,Milan,1
4994,Vojvoda,D,Como,2
6217,Bisseck,D,Inter,2
4976,Kalulu,D,Juventus,1
4409,Rrahmani,D,Napoli,2
2816,Di Lorenzo,D,Napoli,1
4263,Kabasele,D,Udinese,3
6869,Ramon,D,Como,6
6766,Kelly L.,D,Juventus,3
5812,Terracciano F.,D,Cremonese,3
5527,Zanoli,D,Udinese,1
2296,Mancini,D,Roma,7
6642,Coco,D,Torino,2
4665,Maripan,D,Torino,1
4159,Akanji,D,Inter,3
4734,Miranda J.,D,Bologna,5
5435,Moreno Alb.,D,Como,1
2160,Gosens,D,Fiorentina,2
5514,Vasquez,D,Genoa,1
5513,Dumfries,D,Inter,1
6039,Cabal,D,Juventus,1
5520,Cambiaso,D,Juventus,1
2724,Buongiorno,D,Napoli,2
5862,Valeri,D,Parma,2
4807,Hermoso,D,Roma,6
7220,Belghali,D,Verona,5
6066,Posch,D,Como,1
393,Luperto,D,Cremonese,3
6867,Valle,D,Como,2
6013,Barbieri,D,Cremonese,5
460,Romagnoli,D,Lazio,4
6989,Tiago Gabriel,D,Lecce,3
6663,Circati,D,Parma,4
6664,Delprato,D,Parma,4
7143,Angori,D,Pisa,1
6046,Hien,D,Atalanta,3
554,Zappacosta,D,Atalanta,2
4210,Mina,D,Cagliari,3
7125,Idrissi R.,D,Cagliari,2
4433,Zortea,D,Bologna,1
6814,Norton-Cuffy,D,Genoa,3
5833,Gila,D,Lazio,2
4502,Gallo,D,Lecce,2
4401,Gabbia,D,Milan,3
4751,Tomori,D,Milan,4
7155,Muharemovic,D,Sassuolo,4
697,Cuadrado,D,Pisa,2
6672,Idzes,D,Sassuolo,1
7219,Bernasconi,D,Atalanta,1
4461,Zappa,D,Cagliari,2
6495,Comuzzo,D,Fiorentina,1
5885,Dodò,D,Fiorentina,3
5449,Parisi,D,Fiorentina,4
6660,Marcandalli,D,Genoa,3
2188,Marusic,D,Lazio,1
6202,Beukema,D,Napoli,2
4317,N'Dicka,D,Roma,4
4772,Angelino,D,Roma,1
7255,Britschgi,D,Parma,3
4137,Diego Carlos,D,Como,5
787,Djimsiti,D,Atalanta,1
4887,Bellanova,D,Atalanta,1
6042,Lucumì,D,Bologna,2
612,Bianchetti,D,Cremonese,2
4378,Ranieri L.,D,Fiorentina,5
5739,De Winter,D,Milan,1
513,Acerbi,D,Inter,2
5620,Tavares N.,D,Lazio,1
5307,Valenti,D,Parma,3
2273,Caracciolo A.,D,Pisa,5
4374,Walukiewicz,D,Sassuolo,4
5851,Doig,D,Sassuolo,4
5010,Ismajli,D,Torino,3
4385,Lazaro,D,Torino,2
5820,Bertola,D,Udinese,2
6485,Kristensen T.,D,Udinese,2
6639,Frese,D,Verona,5
5701,Obert,D,Cagliari,7
5831,Gatti,D,Juventus,3
2728,Pellegrini Lu.,D,Lazio,5
6990,Veiga D.,D,Lecce,6
6531,Jimenez A.,D,Milan,1
7139,Canestrelli,D,Pisa,2
2745,Calabresi,D,Pisa,5
5555,Kamara H.,D,Udinese,3
5532,Bradaric,D,Verona,2
2640,Kolasinac,D,Atalanta,1
7068,Vitik,D,Bologna,3
7014,Smolcic I.,D,Como,7
