ID,Giocatore,Posizione,Squadra,Assist
572,Meret,P,Napoli,1
254,Dimarco,D,Inter,9
1852,Spinazzola,D,Napoli,3
6832,Palestra,D,Cagliari,4
2120,Bastoni,D,Inter,4
2788,Bremer,D,Juventus,2
4657,Celik,D,Roma,1
2593,Martin,D,Genoa,4
6217,Bisseck,D,Inter,1
5877,Carlos Augusto,D,Inter,1
4976,Kalulu,D,Juventus,3
5678,Holm,D,Juventus,4
4994,Vojvoda,D,Como,1
2816,Di Lorenzo,D,Napoli,1
6642,Coco,D,Torino,1
6956,Solet,D,Udinese,1
2296,Mancini,D,Roma,1
2724,Buongiorno,D,Napoli,1
5527,Zanoli,D,Udinese,2
7219,Bernasconi,D,Atalanta,1
6867,Valle,D,Como,2
6013,Barbieri,D,Cremonese,1
5520,Cambiaso,D,Juventus,2
5862,Valeri,D,Parma,1
4461,Zappa,D,Cagliari,3
4433,Zortea,D,Bologna,1
5885,Dodò,D,Fiorentina,2
4751,Tomori,D,Milan,1
7143,Angori,D,Pisa,1
7155,Muharemovic,D,Sassuolo,1
5449,Parisi,D,Fiorentina,1
6660,Marcandalli,D,Genoa,1
6814,Norton-Cuffy,D,Genoa,1
2188,Marusic,D,Lazio,1
5820,Bertola,D,Udinese,1
7255,Britschgi,D,Parma,2
4887,Bellanova,D,Atalanta,1
5701,Obert,D,Cagliari,2
612,Bianchetti,D,Cremonese,1
4374,Walukiewicz,D,Sassuolo,1
5010,Ismajli,D,Torino,2
4385,Lazaro,D,Torino,2
6986,Rensch,D,Roma,1
5555,Kamara H.,D,Udinese,1
770,Pezzella Giu.,D,Cremonese,1
5273,Estupinan,D,Milan,1
6809,Marianucci,D,Torino,1
2653,Lykogiannis,D,Bologna,1
49,Masina,D,Torino,1
7175,Joao Mario,D,Bologna,1
6900,Rui Modesto,D,Udinese,1
5156,Nkounkou,D,Torino,1
2423,Pulisic,C,Milan,2
6875,Paz N.,C,Como,5
2194,Calhanoglu,C,Inter,2
2379,Rabiot,C,Milan,4
4777,McTominay,C,Napoli,2
2167,Orsolini,C,Bologna,1
152,Zielinski,C,Inter,1
2606,Modric,C,Milan,3
2766,Zaniolo,C,Udinese,1
