ID,Giocatore,Posizione,Squadra,Espulsioni
6462,Okoye,P,Udinese,1
133,Skorupski,P,Bologna,1
188,Leali,P,Genoa,1
4657,Celik,D,Roma,1
5678,Holm,D,Juventus,1
6869,Ramon,D,Como,1
5520,Cambiaso,D,Juventus,1
6814,Norton-Cuffy,D,Genoa,1
5833,Gila,D,Lazio,1
7212,Heggem,D,Bologna,1
2188,Marusic,D,Lazio,1
6916,Ahanor,D,Atalanta,1
6632,Gaspar K.,D,Lecce,1
5273,Estupinan,D,Milan,1
1891,Ceccherini,D,Cremonese,1
5718,Viti,D,Fiorentina,1
5481,Mazzocchi,D,Napoli,1
7235,Troilo,D,Parma,1
7202,Ndiaye,D,Parma,1
6717,Konè I.,C,Sassuolo,1
632,Zaccagni,C,Lazio,1
5674,Basic,C,Lazio,1
4186,Guendouzi,C,Lazio,1
22,De Roon,C,Atalanta,1
7146,Tourè I.,C,Pisa,1
6191,Belahyane,C,Lazio,1
7138,Ordonez C.,C,Parma,1
4436,Cambiaghi,A,Bologna,1
7129,Rodriguez Je.,A,Como,1
6556,Noslin,A,Lazio,1
6001,Banda,A,Lecce,1
5336,Nzola,A,Sassuolo,1
6159,Sarr A.,A,Verona,1
