ID,Giocatore,Posizione,Squadra,Fantamedia
4312,Maignan,P,Milan,5.81
5841,Svilar,P,Roma,5.72
4431,Carnesecchi,P,Atalanta,5.85
2170,Milinkovic-Savic V.,P,Napoli,5.76
6966,Butez,P,Como,5.5
2814,Provedel,P,Lazio,5.48
5876,Di Gregorio,P,Juventus,5.4
2134,Falcone,P,Lecce,5.39
761,Audero,P,Cremonese,5.16
2428,Sommer,P,Inter,5.05
4360,Caprile,P,Cagliari,4.98
4236,Muric,P,Sassuolo,4.84
2521,De Gea,P,Fiorentina,4.74
6662,Corvi,P,Parma,4.5
6462,Okoye,P,Udinese,4.87
2722,Ravaglia F.,P,Bologna,4.62
133,Skorupski,P,Bologna,5.15
188,Leali,P,Genoa,4.8
7332,Bijlow,P,Genoa,3.5
2861,Semper,P,Pisa,4.71
4957,Montipò,P,Verona,4.6
572,Meret,P,Napoli,5.08
6641,Suzuki,P,Parma,4.95
5320,Paleari,P,Torino,4.54
543,Padelli,P,Udinese,5.25
218,Perin,P,Juventus,5.0
5338,Rinaldi,P,Parma,6.5
511,Perilli,P,Verona,3.83
574,Scuffet,P,Pisa,3.75
7179,Israel,P,Torino,3.83
7172,Pessina Mas.,P,Bologna,6.0
219,Sommariva,P,Genoa,3.75
5116,Martinez Jo.,P,Inter,5.75
2815,Terracciano,P,Milan,6.0
4867,Turati,P,Sassuolo,3.5
6842,Sava,P,Udinese,3.5
2211,Silvestri,P,Cremonese,4.62
254,Dimarco,D,Inter,7.83
1852,Spinazzola,D,Napoli,6.81
6832,Palestra,D,Cagliari,6.73
2120,Bastoni,D,Inter,6.55
6893,Kempf,D,Como,6.83
7181,Wesley,D,Roma,6.43
5022,Pavlovic,D,Milan,6.5
5750,Ostigard,D,Genoa,6.59
2593,Martin,D,Genoa,6.34
2788,Bremer,D,Juventus,7.27
4657,Celik,D,Roma,6.33
5526,Scalvini,D,Atalanta,6.8
5678,Holm,D,Juventus,6.65
5877,Carlos Augusto,D,Inter,6.38
5835,Baschirotto,D,Cremonese,6.13
6496,Bartesaghi,D,Milan,6.38
4994,Vojvoda,D,Como,6.24
6217,Bisseck,D,Inter,6.42
4976,Kalulu,D,Juventus,6.39
4409,Rrahmani,D,Napoli,6.36
2816,Di Lorenzo,D,Napoli,6.22
4263,Kabasele,D,Udinese,6.34
6869,Ramon,D,Como,6.38
6766,Kelly L.,D,Juventus,6.1
5812,Terracciano F.,D,Cremonese,6.07
5527,Zanoli,D,Udinese,6.29
2296,Mancini,D,Roma,6.07
6642,Coco,D,Torino,6.12
4665,Maripan,D,Torino,6.1
6956,Solet,D,Udinese,6.13
4159,Akanji,D,Inter,6.12
4734,Miranda J.,D,Bologna,6.09
5435,Moreno Alb.,D,Como,6.44
2160,Gosens,D,Fiorentina,6.25
5514,Vasquez,D,Genoa,6.04
5513,Dumfries,D,Inter,6.23
6039,Cabal,D,Juventus,6.86
5520,Cambiaso,D,Juventus,5.88
2724,Buongiorno,D,Napoli,6.06
5862,Valeri,D,Parma,6.0
4807,Hermoso,D,Roma,6.15
7220,Belghali,D,Verona,6.53
6066,Posch,D,Como,6.38
393,Luperto,D,Cremonese,5.97
6867,Valle,D,Como,6.15
6013,Barbieri,D,Cremonese,6.0
460,Romagnoli,D,Lazio,5.95
6989,Tiago Gabriel,D,Lecce,5.91
6663,Circati,D,Parma,6.08
6664,Delprato,D,Parma,5.93
7143,Angori,D,Pisa,6.0
6046,Hien,D,Atalanta,5.85
5578,Kossounou,D,Atalanta,6.3
554,Zappacosta,D,Atalanta,5.9
4210,Mina,D,Cagliari,6.13
7125,Idrissi R.,D,Cagliari,6.29
4433,Zortea,D,Bologna,5.88
6814,Norton-Cuffy,D,Genoa,5.93
4177,Pavard,D,Inter,6.5
5833,Gila,D,Lazio,5.89
4502,Gallo,D,Lecce,5.89
4401,Gabbia,D,Milan,5.9
4751,Tomori,D,Milan,5.94
7155,Muharemovic,D,Sassuolo,5.95
697,Cuadrado,D,Pisa,6.33
6672,Idzes,D,Sassuolo,5.93
7212,Heggem,D,Bologna,5.87
7219,Bernasconi,D,Atalanta,6.21
4461,Zappa,D,Cagliari,6.03
7130,Folino,D,Cremonese,6.5
6495,Comuzzo,D,Fiorentina,5.88
5885,Dodò,D,Fiorentina,5.91
5449,Parisi,D,Fiorentina,6.0
6660,Marcandalli,D,Genoa,5.91
2188,Marusic,D,Lazio,5.81
6202,Beukema,D,Napoli,6.05
4317,N'Dicka,D,Roma,5.89
4772,Angelino,D,Roma,5.7
7255,Britschgi,D,Parma,5.86
4137,Diego Carlos,D,Como,5.97
787,Djimsiti,D,Atalanta,5.78
6916,Ahanor,D,Atalanta,5.71
4887,Bellanova,D,Atalanta,5.96
6042,Lucumì,D,Bologna,6.0
612,Bianchetti,D,Cremonese,5.79
4378,Ranieri L.,D,Fiorentina,5.83
7069,Fortini,D,Fiorentina,5.96
5739,De Winter,D,Milan,6.08
513,Acerbi,D,Inter,5.95
5620,Tavares N.,D,Lazio,5.56
5307,Valenti,D,Parma,5.85
2273,Caracciolo A.,D,Pisa,5.64
4374,Walukiewicz,D,Sassuolo,5.77
5851,Doig,D,Sassuolo,5.79
5010,Ismajli,D,Torino,5.87
4385,Lazaro,D,Torino,5.77
5820,Bertola,D,Udinese,5.86
6485,Kristensen T.,D,Udinese,6.0
6639,Frese,D,Verona,5.72
7329,Obrador,D,Torino,5.75
5701,Obert,D,Cagliari,5.78
5831,Gatti,D,Juventus,6.05
2728,Pellegrini Lu.,D,Lazio,5.74
6990,Veiga D.,D,Lecce,5.67
6531,Jimenez A.,D,Milan,5.0
7139,Canestrelli,D,Pisa,5.67
2745,Calabresi,D,Pisa,5.67
6986,Rensch,D,Roma,6.19
5555,Kamara H.,D,Udinese,5.83
5532,Bradaric,D,Verona,5.72
2640,Kolasinac,D,Atalanta,6.1
7068,Vitik,D,Bologna,5.77
7014,Smolcic I.,D,Como,5.67
7131,Floriani Mussolini,D,Cremonese,5.67
770,Pezzella Giu.,D,Cremonese,5.56
5603,Pongracic,D,Fiorentina,5.52
322,De Vrij,D,Inter,6.17
2263,Lazzari,D,Lazio,5.73
6632,Gaspar K.,D,Lecce,5.63
6426,Pedersen,D,Torino,5.69
6631,Ghilardi,D,Roma,5.93
7011,Slotsager,D,Verona,5.62
6894,Unai Nunez,D,Verona,5.59
7018,Nelsson,D,Verona,5.43
7253,Bella-Kotchap,D,Verona,5.77
7260,Ziolkowski,D,Roma,5.93
5168,Tsimikas,D,Roma,5.75
2006,Lirola,D,Verona,5.5
7012,Provstgaard,D,Lazio,6.0
7182,Ndaba,D,Lecce,5.83
5273,Estupinan,D,Milan,5.56
256,Juan Jesus,D,Napoli,5.64
5840,Olivera,D,Napoli,5.5
6047,Ehizibue,D,Udinese,5.58
6211,Zemura,D,Udinese,5.78
6957,Valentini N.,D,Verona,5.59
7211,Athekame,D,Milan,6.1
5427,Gutierrez,D,Napoli,6.31
7240,Siebert,D,Lecce,5.5
7268,Rodriguez Ju.,D,Cagliari,5.42
388,Albiol,D,Pisa,5.75
6444,Bonfanti,D,Pisa,5.56
5498,Casale,D,Bologna,5.64
487,De Silvestri,D,Bologna,5.9
2653,Lykogiannis,D,Bologna,5.64
5406,Di Pardo,D,Cagliari,5.5
6896,Van Der Brempt,D,Como,5.83
1891,Ceccherini,D,Cremonese,5.25
4904,Marì,D,Fiorentina,5.3
5718,Viti,D,Fiorentina,5.33
6977,Otoa,D,Genoa,5.21
791,Sabelli,D,Genoa,5.4
294,Rugani,D,Fiorentina,5.88
7175,Joao Mario,D,Bologna,5.88
6809,Marianucci,D,Torino,6.0
5481,Mazzocchi,D,Napoli,5.5
6965,Lovik,D,Parma,5.58
7140,Coppola F.,D,Pisa,4.67
6411,Mateus Lusuardi,D,Pisa,5.67
49,Masina,D,Torino,5.62
252,Biraghi,D,Torino,5.56
6925,Palma,D,Udinese,5.5
5994,Ebosse,D,Torino,5.5
6537,Goglichidze,D,Udinese,5.58
6985,Candè,D,Sassuolo,5.56
7222,Cham,D,Verona,5.17
7235,Troilo,D,Parma,5.31
5156,Nkounkou,D,Torino,5.75
6870,Faye,D,Cremonese,5.67
7274,Zè Pedro,D,Cagliari,5.56
7325,Bozhinov,D,Pisa,4.5
2525,Darmian,D,Inter,6.0
327,Patric,D,Lazio,6.0
140,Hysaj,D,Lazio,5.5
7164,Perez M.,D,Lecce,5.0
7136,Kouassi,D,Lecce,5.5
2279,Romagna,D,Sassuolo,5.5
6826,Dembelè A.,D,Torino,5.0
6900,Rui Modesto,D,Udinese,6.25
6992,Oyegoke,D,Verona,5.0
7196,Denoon,D,Pisa,5.25
7202,Ndiaye,D,Parma,5.07
7238,Kouadio,D,Fiorentina,6.0
6351,Lamptey,D,Fiorentina,6.0
6665,Coulibaly W.,D,Sassuolo,5.42
2423,Pulisic,C,Milan,8.07
6875,Paz N.,C,Como,7.35
2194,Calhanoglu,C,Inter,7.62
4777,McTominay,C,Napoli,7.11
