ID,Giocatore,Posizione,Squadra,Gol fatti
254,Dimarco,D,Inter,5
1852,Spinazzola,D,Napoli,2
6832,Palestra,D,Cagliari,1
2120,Bastoni,D,Inter,1
2788,Bremer,D,Juventus,3
6893,Kempf,D,Como,3
5022,Pavlovic,D,Milan,2
7181,Wesley,D,Roma,3
5526,Scalvini,D,Atalanta,2
4657,Celik,D,Roma,1
5750,Ostigard,D,Genoa,4
2593,Martin,D,Genoa,1
6217,Bisseck,D,Inter,1
5877,Carlos Augusto,D,Inter,1
4976,Kalulu,D,Juventus,1
6496,Bartesaghi,D,Milan,2
6869,Ramon,D,Como,2
5678,Holm,D,Juventus,1
4994,Vojvoda,D,Como,1
5835,Baschirotto,D,Cremonese,2
4409,Rrahmani,D,Napoli,1
2816,Di Lorenzo,D,Napoli,1
6642,Coco,D,Torino,1
4263,Kabasele,D,Udinese,2
6956,Solet,D,Udinese,1
6766,Kelly L.,D,Juventus,1
5812,Terracciano F.,D,Cremonese,2
4665,Maripan,D,Torino,1
4734,Miranda J.,D,Bologna,1
7125,Idrissi R.,D,Cagliari,2
5435,Moreno Alb.,D,Como,1
2160,Gosens,D,Fiorentina,2
5513,Dumfries,D,Inter,1
6039,Cabal,D,Juventus,2
5527,Zanoli,D,Udinese,1
4807,Hermoso,D,Roma,1
7220,Belghali,D,Verona,2
6066,Posch,D,Como,1
393,Luperto,D,Cremonese,1
4210,Mina,D,Cagliari,1
5520,Cambiaso,D,Juventus,1
6663,Circati,D,Parma,1
6664,Delprato,D,Parma,1
7130,Folino,D,Cremonese,1
5739,De Winter,D,Milan,1
6989,Tiago Gabriel,D,Lecce,1
7155,Muharemovic,D,Sassuolo,2
6046,Hien,D,Atalanta,1
5578,Kossounou,D,Atalanta,1
6495,Comuzzo,D,Fiorentina,1
6814,Norton-Cuffy,D,Genoa,1
6202,Beukema,D,Napoli,1
6485,Kristensen T.,D,Udinese,1
697,Cuadrado,D,Pisa,1
