ID,Giocatore,Posizione,Squadra,Mediavoto
4431,Carnesecchi,P,Atalanta,6.46
4312,Maignan,P,Milan,6.39
5841,Svilar,P,Roma,6.33
2170,Milinkovic-Savic V.,P,Napoli,6.18
6966,Butez,P,Como,6.11
2814,Provedel,P,Lazio,6.28
5876,Di Gregorio,P,Juventus,6.18
2134,Falcone,P,Lecce,6.48
761,Audero,P,Cremonese,6.26
4360,Caprile,P,Cagliari,6.37
2428,Sommer,P,Inter,5.9
6462,Okoye,P,Udinese,5.93
4236,Muric,P,Sassuolo,6.16
133,Skorupski,P,Bologna,6.1
2521,De Gea,P,Fiorentina,6.17
188,Leali,P,Genoa,6.15
2722,Ravaglia F.,P,Bologna,6.27
6662,Corvi,P,Parma,6.0
2861,Semper,P,Pisa,6.18
5320,Paleari,P,Torino,6.14
4957,Montipò,P,Verona,6.15
7332,Bijlow,P,Genoa,6.0
572,Meret,P,Napoli,6.25
6641,Suzuki,P,Parma,6.0
218,Perin,P,Juventus,6.0
5338,Rinaldi,P,Parma,7.0
543,Padelli,P,Udinese,6.25
574,Scuffet,P,Pisa,6.25
7179,Israel,P,Torino,5.89
511,Perilli,P,Verona,6.17
7172,Pessina Mas.,P,Bologna,6.0
219,Sommariva,P,Genoa,5.75
5116,Martinez Jo.,P,Inter,6.25
2815,Terracciano,P,Milan,6.0
4867,Turati,P,Sassuolo,5.5
6842,Sava,P,Udinese,5.57
2211,Silvestri,P,Cremonese,6.38
254,Dimarco,D,Inter,6.71
1852,Spinazzola,D,Napoli,6.33
6832,Palestra,D,Cagliari,6.43
2120,Bastoni,D,Inter,6.28
2788,Bremer,D,Juventus,6.46
6893,Kempf,D,Como,6.27
5022,Pavlovic,D,Milan,6.24
7181,Wesley,D,Roma,6.1
5526,Scalvini,D,Atalanta,6.25
4657,Celik,D,Roma,6.19
5750,Ostigard,D,Genoa,6.06
2593,Martin,D,Genoa,6.03
6217,Bisseck,D,Inter,6.17
5877,Carlos Augusto,D,Inter,6.22
4976,Kalulu,D,Juventus,6.15
6496,Bartesaghi,D,Milan,6.08
6869,Ramon,D,Como,6.28
5678,Holm,D,Juventus,6.1
4994,Vojvoda,D,Como,6.08
5835,Baschirotto,D,Cremonese,5.91
4409,Rrahmani,D,Napoli,6.21
2816,Di Lorenzo,D,Napoli,6.07
6642,Coco,D,Torino,5.98
4263,Kabasele,D,Udinese,6.06
6956,Solet,D,Udinese,6.04
6766,Kelly L.,D,Juventus,6.02
5812,Terracciano F.,D,Cremonese,5.95
2296,Mancini,D,Roma,6.18
4665,Maripan,D,Torino,5.98
4159,Akanji,D,Inter,6.2
4734,Miranda J.,D,Bologna,5.94
7125,Idrissi R.,D,Cagliari,5.93
5435,Moreno Alb.,D,Como,6.12
2160,Gosens,D,Fiorentina,5.94
5514,Vasquez,D,Genoa,6.07
5513,Dumfries,D,Inter,6.0
6039,Cabal,D,Juventus,6.07
2724,Buongiorno,D,Napoli,6.06
5527,Zanoli,D,Udinese,6.05
4807,Hermoso,D,Roma,6.15
7219,Bernasconi,D,Atalanta,6.17
7220,Belghali,D,Verona,6.3
6066,Posch,D,Como,6.06
393,Luperto,D,Cremonese,5.89
4210,Mina,D,Cagliari,6.03
6867,Valle,D,Como,6.09
6013,Barbieri,D,Cremonese,6.09
5520,Cambiaso,D,Juventus,5.81
6663,Circati,D,Parma,6.03
6664,Delprato,D,Parma,5.89
5862,Valeri,D,Parma,6.0
6672,Idzes,D,Sassuolo,5.95
554,Zappacosta,D,Atalanta,5.95
4461,Zappa,D,Cagliari,5.92
4433,Zortea,D,Bologna,5.82
7130,Folino,D,Cremonese,6.0
5885,Dodò,D,Fiorentina,5.89
5739,De Winter,D,Milan,5.93
4177,Pavard,D,Inter,6.5
5833,Gila,D,Lazio,5.98
460,Romagnoli,D,Lazio,6.05
6989,Tiago Gabriel,D,Lecce,5.93
4502,Gallo,D,Lecce,5.93
4401,Gabbia,D,Milan,5.98
4751,Tomori,D,Milan,6.0
7143,Angori,D,Pisa,5.98
7155,Muharemovic,D,Sassuolo,5.9
6046,Hien,D,Atalanta,5.88
5578,Kossounou,D,Atalanta,6.0
6495,Comuzzo,D,Fiorentina,5.74
5449,Parisi,D,Fiorentina,6.07
6660,Marcandalli,D,Genoa,5.94
6814,Norton-Cuffy,D,Genoa,5.86
2188,Marusic,D,Lazio,5.83
6202,Beukema,D,Napoli,5.86
4772,Angelino,D,Roma,5.8
5820,Bertola,D,Udinese,5.86
6485,Kristensen T.,D,Udinese,5.85
697,Cuadrado,D,Pisa,6.11
7212,Heggem,D,Bologna,5.85
7255,Britschgi,D,Parma,5.83
4137,Diego Carlos,D,Como,6.13
787,Djimsiti,D,Atalanta,5.8
4887,Bellanova,D,Atalanta,5.92
6042,Lucumì,D,Bologna,5.86
5701,Obert,D,Cagliari,5.85
612,Bianchetti,D,Cremonese,5.79
4378,Ranieri L.,D,Fiorentina,5.81
7069,Fortini,D,Fiorentina,5.96
2728,Pellegrini Lu.,D,Lazio,5.87
5620,Tavares N.,D,Lazio,5.61
5307,Valenti,D,Parma,5.94
4317,N'Dicka,D,Roma,6.0
4374,Walukiewicz,D,Sassuolo,5.82
5851,Doig,D,Sassuolo,5.88
5010,Ismajli,D,Torino,5.83
4385,Lazaro,D,Torino,5.73
5427,Gutierrez,D,Napoli,5.94
7329,Obrador,D,Torino,5.75
6916,Ahanor,D,Atalanta,5.79
513,Acerbi,D,Inter,6.05
5831,Gatti,D,Juventus,5.91
6990,Veiga D.,D,Lecce,5.81
6531,Jimenez A.,D,Milan,5.5
