ID,Giocatore,Posizione,Squadra,Partite giocate
4431,Carnesecchi,P,Atalanta,23
4312,Maignan,P,Milan,22
5841,Svilar,P,Roma,23
2170,Milinkovic-Savic V.,P,Napoli,17
6966,Butez,P,Como,23
2814,Provedel,P,Lazio,23
5876,Di Gregorio,P,Juventus,20
2134,Falcone,P,Lecce,23
761,Audero,P,Cremonese,19
4360,Caprile,P,Cagliari,23
2428,Sommer,P,Inter,21
6462,Okoye,P,Udinese,15
4236,Muric,P,Sassuolo,22
133,Skorupski,P,Bologna,10
2521,De Gea,P,Fiorentina,23
188,Leali,P,Genoa,20
2722,Ravaglia F.,P,Bologna,13
6662,Corvi,P,Parma,11
2861,Semper,P,Pisa,17
5320,Paleari,P,Torino,14
4957,Montipò,P,Verona,20
7332,Bijlow,P,Genoa,2
572,Meret,P,Napoli,6
6641,Suzuki,P,Parma,11
218,Perin,P,Juventus,3
5338,Rinaldi,P,Parma,1
543,Padelli,P,Udinese,2
574,Scuffet,P,Pisa,6
7179,Israel,P,Torino,9
511,Perilli,P,Verona,3
7172,Pessina Mas.,P,Bologna,1
219,Sommariva,P,Genoa,2
5116,Martinez Jo.,P,Inter,2
2815,Terracciano,P,Milan,2
4867,Turati,P,Sassuolo,1
6842,Sava,P,Udinese,7
2211,Silvestri,P,Cremonese,4
254,Dimarco,D,Inter,21
1852,Spinazzola,D,Napoli,18
6832,Palestra,D,Cagliari,22
2120,Bastoni,D,Inter,20
2788,Bremer,D,Juventus,13
6893,Kempf,D,Como,15
5022,Pavlovic,D,Milan,19
7181,Wesley,D,Roma,21
5526,Scalvini,D,Atalanta,10
4657,Celik,D,Roma,18
5750,Ostigard,D,Genoa,17
2593,Martin,D,Genoa,19
6217,Bisseck,D,Inter,12
5877,Carlos Augusto,D,Inter,16
4976,Kalulu,D,Juventus,23
6496,Bartesaghi,D,Milan,18
6869,Ramon,D,Como,20
5678,Holm,D,Juventus,10
4994,Vojvoda,D,Como,19
5835,Baschirotto,D,Cremonese,23
4409,Rrahmani,D,Napoli,14
2816,Di Lorenzo,D,Napoli,23
6642,Coco,D,Torino,20
4263,Kabasele,D,Udinese,16
6956,Solet,D,Udinese,23
6766,Kelly L.,D,Juventus,20
5812,Terracciano F.,D,Cremonese,22
2296,Mancini,D,Roma,22
4665,Maripan,D,Torino,21
4159,Akanji,D,Inter,20
4734,Miranda J.,D,Bologna,18
7125,Idrissi R.,D,Cagliari,14
5435,Moreno Alb.,D,Como,8
2160,Gosens,D,Fiorentina,16
5514,Vasquez,D,Genoa,23
5513,Dumfries,D,Inter,11
6039,Cabal,D,Juventus,7
2724,Buongiorno,D,Napoli,18
5527,Zanoli,D,Udinese,19
4807,Hermoso,D,Roma,17
7219,Bernasconi,D,Atalanta,12
7220,Belghali,D,Verona,15
6066,Posch,D,Como,8
393,Luperto,D,Cremonese,19
4210,Mina,D,Cagliari,15
6867,Valle,D,Como,17
6013,Barbieri,D,Cremonese,16
5520,Cambiaso,D,Juventus,21
6663,Circati,D,Parma,18
6664,Delprato,D,Parma,22
5862,Valeri,D,Parma,19
6672,Idzes,D,Sassuolo,22
554,Zappacosta,D,Atalanta,20
4461,Zappa,D,Cagliari,19
4433,Zortea,D,Bologna,17
7130,Folino,D,Cremonese,6
5885,Dodò,D,Fiorentina,23
5739,De Winter,D,Milan,14
4177,Pavard,D,Inter,1
5833,Gila,D,Lazio,22
460,Romagnoli,D,Lazio,20
6989,Tiago Gabriel,D,Lecce,22
4502,Gallo,D,Lecce,23
4401,Gabbia,D,Milan,21
4751,Tomori,D,Milan,19
7143,Angori,D,Pisa,20
7155,Muharemovic,D,Sassuolo,20
6046,Hien,D,Atalanta,20
5578,Kossounou,D,Atalanta,10
6495,Comuzzo,D,Fiorentina,17
5449,Parisi,D,Fiorentina,14
6660,Marcandalli,D,Genoa,16
6814,Norton-Cuffy,D,Genoa,21
2188,Marusic,D,Lazio,21
6202,Beukema,D,Napoli,11
4772,Angelino,D,Roma,5
5820,Bertola,D,Udinese,18
6485,Kristensen T.,D,Udinese,13
697,Cuadrado,D,Pisa,9
7212,Heggem,D,Bologna,20
7255,Britschgi,D,Parma,18
4137,Diego Carlos,D,Como,15
787,Djimsiti,D,Atalanta,20
4887,Bellanova,D,Atalanta,13
6042,Lucumì,D,Bologna,14
5701,Obert,D,Cagliari,20
612,Bianchetti,D,Cremonese,19
4378,Ranieri L.,D,Fiorentina,18
7069,Fortini,D,Fiorentina,12
2728,Pellegrini Lu.,D,Lazio,19
5620,Tavares N.,D,Lazio,9
5307,Valenti,D,Parma,17
4317,N'Dicka,D,Roma,18
4374,Walukiewicz,D,Sassuolo,22
5851,Doig,D,Sassuolo,21
5010,Ismajli,D,Torino,15
4385,Lazaro,D,Torino,22
5427,Gutierrez,D,Napoli,8
7329,Obrador,D,Torino,2
6916,Ahanor,D,Atalanta,14
513,Acerbi,D,Inter,11
5831,Gatti,D,Juventus,11
6990,Veiga D.,D,Lecce,21
6531,Jimenez A.,D,Milan,1
7139,Canestrelli,D,Pisa,23
2273,Caracciolo A.,D,Pisa,21
2745,Calabresi,D,Pisa,15
6986,Rensch,D,Roma,8
6426,Pedersen,D,Torino,16
5555,Kamara H.,D,Udinese,15
6631,Ghilardi,D,Roma,7
6639,Frese,D,Verona,18
5532,Bradaric,D,Verona,18
2640,Kolasinac,D,Atalanta,5
7068,Vitik,D,Bologna,11
7014,Smolcic I.,D,Como,15
7131,Floriani Mussolini,D,Cremonese,15
770,Pezzella Giu.,D,Cremonese,17
5603,Pongracic,D,Fiorentina,21
7012,Provstgaard,D,Lazio,8
2263,Lazzari,D,Lazio,13
6632,Gaspar K.,D,Lecce,19
