ID,Giocatore,Posizione,Squadra,Rigori segnati
697,Cuadrado,D,Pisa,1
2194,Calhanoglu,C,Inter,3
2167,Orsolini,C,Bologna,3
152,Zielinski,C,Inter,1
2517,De Bruyne,C,Napoli,3
1933,Mandragora,C,Fiorentina,1
5800,Gudmundsson A.,C,Fiorentina,3
5687,Vlasic,C,Torino,3
530,Pellegrini Lo.,C,Roma,2
4427,Malinovskyi,C,Genoa,2
5559,Da Cunha,C,Como,2
333,Cataldi,C,Lazio,2
5318,Tramoni M.,C,Pisa,1
6434,Yildiz,A,Juventus,1
4510,Leao,A,Milan,2
5637,Davis K.,A,Udinese,3
7017,Douvikas,A,Como,1
2137,Scamacca,A,Atalanta,2
531,Berardi,A,Sassuolo,2
6552,Orban G.,A,Verona,2
505,Bonazzoli,A,Cremonese,1
7023,Pellegrino M.,A,Parma,1
5455,Moreo,A,Pisa,1
2097,Kean,A,Fiorentina,1
4728,Nkunku,A,Milan,2
2841,Vlahovic,A,Juventus,1
5336,Nzola,A,Sassuolo,2
6667,Benedyczak,A,Parma,1
441,Belotti,A,Cagliari,1
2489,Pedro,A,Lazio,2
5512,De Luca,A,Cremonese,1
