name,weight,note,desc
Bakker,0.70,rientro fine feb,"il difensore KO a fine luglio in allenamento, operato per la rottura del legamento crociato anteriore del ginocchio destro e sutura del menisco esterno. Rientro da fine febbraio."
Lucumì,0.80,rientro inizio feb,"il difensore colombiano KO a Como l'11 gennaio, vittima di una lesione di basso grado del bicipite femorale destro. Recuperabile da inizio febbraio."
Deiola,0.80,rientro inizio feb,"il centrocampista alle prese con una lesione muscolare al retto femorale destro, rientro da inizio febbraio."
Folorunsho,0.65,infortunio,il centrocampista contro il Pisa (21 dicembre) segna e si fa male vittima di una distrazione del legamento collaterale mediale. Rientro possibile in campo dall'inizio di febbraio.
Felici,0.20,stagione finita,"Il calciatore vittima a inizio dicembre della rottura del legamento crociato del ginocchio. Lungo stop, campionato finito anzitempo."
Belotti,0.50,rientro marzo,"l'attaccante a fine settembre vittima di una lesione del legamento crociato anteriore nel match contro l'Inter. Lungo stop e tempi di recupero da valutare, ipotizziamo un rientro da fine marzo."
Goldaniga,0.80,rientro inizio feb,"Il difensore alle prese con un infortunio al tallone sinistro, recuperabile da inizio febbraio."
Diao,0.60,da valutare,"l'attaccante KO il 15 dicembre a Roma contro i giallorossi, vittima di una lesione muscolare al bicipite femorale destro. Recuperabile dalla fine di gennaio, ma da valutare la convocazione già per domenica contro l'Atalanta."
Collocolo,0.65,infortunio,"nuovo stop muscolare a fine gennaio per il centrocampista, vittima di una elongazione del tendine del retto femorale e recuperabile dalla seconda metà di febbraio."
Bondo,0.65,infortunio,"Il centrocampista non convocato dalla gara di fine gennaio contro il Sassuolo per una distrazione al flessore della coscia. Condizioni da monitorare, tentativo di rientro dalla metà di febbraio."
Sanabria,0.60,da valutare,"l'attaccante non al meglio negli ultimi giorni per noie fisiche, da valutare ora il pieno recupero in vista di domenica contro l'Inter nella 23a."
Lamptey,0.80,rientro inizio feb,l'esterno della Viola fermo per una lacerazione isolata del legamento crociato anteriore del ginocchio sinistro. Rientro da inizio febbraio.
Siegrist,0.60,da valutare,"Il portiere non convocato dall'8 dicembre a Udine per la frattura al quarto dito della mano destra, out di certo nel prossimo turno di campionato. Lungo stop, tempi di recupero da valutare."
Baldanzi,0.65,infortunio,"Il centrocampista sta ultimando il recupero da un problema muscolare alla gamba, rientro previsto dall'inizio di febbraio."
Dumfries,0.65,infortunio,"l'olandese operato il 16 dicembre alla caviglia, iniziato l'iter di recupero. Rientro in campo previsto dalla seconda metà di febbraio."
Calhanoglu,0.65,infortunio,"il turco uscito claudicante a metà gennaio contro il Napoli a San Siro per un risentimento muscolare al soleo sinistro, recuperabile dalla prima metà di febbraio."
Barella,0.65,infortunio,Il centrocampista il 27 gennaio in allenamento frenato da un lieve risentimento al muscolo psoas della coscia destra. Tentativo di rientro tra i convocati dalla prima metà di febbraio.
Rugani,0.65,infortunio,il difensore il 20 dicembre contro la Roma vittima di una lesione di medio grado al gemello mediale della gamba destra. Tentativo di ritorno in campo dall'inizio di febbraio.
Rouhi,0.60,da valutare,Il difensore alle prese con un problema muscolare all'adduttore. Da valutare il recupero in vista della 24a.
Milik,0.60,da valutare,"il polacco non al meglio per noie fisiche, forfait anche nel prossimo turno di campionato. Da valutare."
Vlahovic,0.40,lungo stop,l'attaccante KO a inizio dicembre vittima di una lesione di alto grado della giunzione muscolo - tendinea dell’adduttore lungo di sinistra. Lungo stop e rientro previsto dalla fine di febbraio.
Gigot,0.60,da valutare,"Il difensore fermo da fine luglio per un problema alla caviglia, a settembre ha poi deciso di operarsi. Lungo stop, tempi di recupero da valutare."
Patric,0.60,da valutare,"il difensore alle prese con un problema muscolare al polpaccio. Out anche nel prossimo turno contro il Genoa, tempi di recupero da valutare."
Berisha M.,0.65,infortunio,Il centrocampista fermo per una lesione di secondo grado del retto femorale della coscia destra. Recuperabile dall'inizio di febbraio.
Camarda,0.40,rientro aprile,"L'attaccante ha deciso di operarsi alla spalla destra, intervento effettuato il 28 gennaio. Stop di circa tre mesi e, in tal caso, ipotizziamo un rientro in campo solo dalla fine di aprile."
Gimenez,0.50,rientro marzo,"Il messicano adolorante alla caviglia, out da fine ottobre. Operazione chirurgica effettuata con successo a dicembre, ma tempi di recupero da valutare. Ipotizziamo un rientro in campo dall'inizio di marzo."
Rrahmani,0.80,rientro inizio feb,il difensore KO il 17 gennaio contro il Sassuolo al Maradona vittima di una lesione distrattiva al gluteo sinistro. Recuperabile da inizio febbraio.
Gilmour,0.65,infortunio,"il centrocampista scozzese KO contro il Como l'1 novembre per un problema muscolare alla coscia. Dopo una serie di terapie, a fine novembre ha deciso di operarsi. Rientro in campo dall'inizio di febbraio."
Zambo Anguissa,0.65,infortunio,"Il centrocampista camerunense in Nazionale nella prima metà di novembre ha rimediato una lesione muscolare di alto grado al bicipite femorale della coscia sinistra. Ora in ripresa, anche se condizionato da un mal di schiena che può far slittare il rientro alla prima metà di febbraio."
Politano,0.65,infortunio,"il centrocampista ai box per una lesione distrattiva del muscolo semimembranoso della coscia destra, tentativo di rientro in campo già dalla prima metà di febbraio."
De Bruyne,0.70,rientro fine feb,"il belga KO contro l'Inter (25 ottobre) per una lesione di alto grado del bicipite femorale della coscia destra. Lungo stop, rientro in campo da fine febbraio."
Neres,0.40,rientro aprile,"l'ala offensiva azzurra KO il 4 gennaio contro la Lazio vittima di una distorsione alla caviglia sinistra. Ha deciso di operarsi, intervento (26 gennaio) riuscito. Ora in fase di recupero e potrebbe tornare arruolabile da inizio aprile."
Suzuki,0.65,infortunio,"il portiere contro il Milan (8 novembre) vittima della frattura scomposta del terzo dito della mano sinistra e dello scafoide. Operato il 13 novembre, ipotizziamo un ritorno in campo dalla fine di febbraio."
Valenti,0.65,infortunio,"il difensore alle prese con una lesione muscolare di primo grado ai flessori, recuperabile dalla seconda metà di febbraio."
Almqvist,0.50,rientro marzo,"L'attaccante frenato da una lesione muscolare di alto grado ai flessori, ipotesi di rientro dalla fine di marzo."
Ndiaye,0.60,da valutare,"Il difensore condizionato da una fastidiosa pubalgia, operato il 19 dicembre. Tempi di recupero da valutare, assente nel prossimo turno di campionato."
Frigan,0.70,rientro fine feb,"L'attaccante ai box per la rottura del legamento crociato anteriore del ginocchio sinistro, rimediata dopo ferragosto. Lungo stop, ipotizziamo di rivederlo in campo da fine febbraio."
Mateus Lusuardi,0.75,out breve,il difensore alle prese con noie fisiche e out nel prossimo turno di campionato. Recuperabile da prima metà di febbraio.
Vural,0.60,da valutare,Il centrocampista condizionato da un fastidio al ginocchio e out anche nel prossimo turno di campionato contro il Sassuolo. Da valutare.
Denoon,0.60,da valutare,Il difensore alle prese con noie fisiche e out anche nel prossimo turno di campionato. Da valutare.
Cuadrado,0.65,infortunio,"il colombiano si è infortunato il 7 novembre contro la Cremonese vittima di un guaio muscolare alla gamba; sembrava recuperabile nella sfida contro il Sassuolo, ma nella rifinitura ha rimediato una distrazione di basso grado al bicipite femorale sinistro. Rientro non prima della metà di febbraio."
Stengs,0.65,infortunio,"problema di natura muscolare all'adduttore, out dalla gara del 22 settembre a Napoli. Operato per il distacco completo dall’osso del tendine del lungo adduttore sinistro che è stato reinserito, rientro previsto dalla prima metà di febbraio."
Albiol,0.65,infortunio,"Lo spagnolo ai box per un guaio muscolare alla gamba, recuperabile dall'inizio di febbraio."
Konè M.,0.50,rientro marzo,il centrocampista KO il 25 gennaio contro il Milan vittima di una lesione di secondo grado al bicipite femorale della gamba destra. Recuperabile da inizio marzo.
El Shaarawy,0.60,da valutare,Il calciatore non convocato contro Milan e Torino per una infiammazione al tendine d'Achille. Da valutare in vista della 23a di campionato lunedì contro l'Udinese.
Dybala,0.65,infortunio,"L'attaccante non al meglio per una infiammazione della capsula laterale, gli esami medici hanno escluso lesioni. Recuperabile dalla metà di febbraio."
Dovbyk,0.50,rientro marzo,"l'attaccante alle prese con una lesione miotendinea alla coscia sinistra, a metà gennaio ha deciso di operarsi. Ipotesi di rientro dalla fine di marzo."
Pieragnolo,0.20,stagione finita,"Il difensore alle prese con una lesione del legamento crociato anteriore da inizio ottobre, lungo stop e probabile campionato finito anzitempo."
Boloca,0.80,rientro inizio feb,"il centrocampista out nelle ultime settimane per un problema al ginocchio sinistro. Ultimata la terapia conservativa, rientro da inizio febbraio."
Candè,0.20,stagione finita,"il difensore il 13 gennaio sottoposto alla ricostruzione del legamento crociato anteriore del ginocchio destro, campionato finito anzitempo."
Ismajli,0.65,infortunio,"il difensore a Como (24 gennaio) costretto al cambio per un guaio muscolare (interessamento distrattivo parziale ai flessori della coscia destra), rientro tra i convocati previsto dalla seconda metà di febbraio."
Schuurs,0.60,da valutare,il difensore fermo da lungo tempo per un calvario al ginocchio. Tempi di recupero da valutare.
Gineitis,0.65,infortunio,il centrocampista frenato contro la Roma il 18 gennaio per un interessamento distrattivo parziale ai flessori della coscia sinistra. Recuperabile dalla prima metà di febbraio.
Ilic,0.60,da valutare,"Il centrocampista condizionato da una lombosciatalgia, out anche per domenica contro il Lecce. Da valutare in vista della 24a."
Aboukhlal,0.65,infortunio,l'esterno offensivo dei granata fermo ai box per un interessamento distrattivo parziale ai flessori della coscia sinistra. Recuperabile dalla prima metà di febbraio.
Kamara H.,0.75,out breve,"il difensore non disponibile lunedì scorso nella sfida di Verona a causa di un problema muscolare. Condizioni da valutare, a rischio anche a Roma nel prossimo turno."
Piotrowski,0.65,infortunio,"il centrocampista KO il 17 gennaio vittima di un trauma contusivo distorsivo al ginocchio destro con impegno capsulo-legamentoso. Stop di un mese, può tornare convocabile dalla seconda metà di febbraio."
Buksa,0.65,infortunio,"la punta polacca ai box per una lesione al soleo del polpaccio sinistro, il recupero procede lentamente e potrebbe tornare arruolabile dalla metà di febbraio."
Zanoli,0.20,stagione finita,"Il cursore di fascia dei friulani a fine gennaio ha rimediato la lesione del legamento crociato anteriore del ginocchio destro. Operato, stop di almeno sei mesi. Campionato finito anzitempo."
Zaniolo,0.65,infortunio,il centrocampista offensivo dei friulani ai box per la pulizia del menisco del ginocchio e recuperabile dalla prima metà di febbraio.
Suslov,0.65,infortunio,"lo slovacco vittima il 16 agosto di un trauma distorsivo con rottura del legamento crociato anteriore del ginocchio sinistro. Operato, rientro dalla fine di febbraio."
Mosquera,0.60,da valutare,"L'attaccante non convocato lunedì scorso contro l'Udinese, condizioni da valutare in vista di sabato a Cagliari nella 23a giornata di campionato."
Bella-Kotchap,0.65,infortunio,Il difensore non al meglio per noie muscolari e recuperabile dalla prima metà di febbraio.
