Giocatore,Squadra,Ruolo,PrezzoIniziale,PrezzoAttuale
Aboukhlal,Torino,A,9,3
Adams C.,Torino,A,14,16
Addai,Como,A,7,11
Albarracin,Cagliari,A,1,1
Almqvist,Parma,A,4,3
Arena A.,Roma,A,1,1
Balentien,Milan,A,1,1
Banda,Lecce,A,5,13
Bayo V.,Udinese,A,4,3
Belotti,Cagliari,A,12,8
Berardi,Sassuolo,A,21,23
Boga,Juventus,A,6,7
Bonazzoli,Cremonese,A,1,19
Bonny,Inter,A,5,16
Borrelli,Cagliari,A,5,13
Bowie,Verona,A,6,5
Buksa,Udinese,A,9,7
Camarda,Lecce,A,12,4
Cambiaghi,Bologna,A,11,16
Cancellieri,Lazio,A,3,13
Castro S.,Bologna,A,19,22
Cheddira,Lecce,A,4,7
Colombo,Genoa,A,12,15
Dallinga,Bologna,A,10,7
David,Juventus,A,27,15
Davis K.,Udinese,A,12,24
De Ketelaere,Atalanta,A,22,17
Dia,Lazio,A,20,4
Diao,Como,A,17,3
Djuric,Cremonese,A,9,3
Dominguez B.,Bologna,A,9,5
Douvikas,Como,A,8,24
Dovbyk,Roma,A,21,13
Durosinmi,Pisa,A,15,15
Dybala,Roma,A,26,13
Ekhator,Genoa,A,1,9
Ekuban,Genoa,A,2,11
Elphege,Parma,A,1,1
Esposito F.P.,Inter,A,7,20
Esposito Se.,Cagliari,A,7,17
Ferguson E.,Roma,A,19,15
Frigan,Parma,A,7,1
Fullkrug,Milan,A,13,14
Gimenez,Milan,A,25,12
Giovane,Napoli,A,1,15
Gueye,Udinese,A,1,2
Hojlund,Napoli,A,24,26
Isaac,Verona,A,1,1
Kean,Fiorentina,A,33,18
Kilicsoy,Cagliari,A,6,16
Krstovic,Atalanta,A,20,24
Kuhn,Como,A,14,6
Kulenovic,Torino,A,5,5
Laurientè,Sassuolo,A,15,18
Leao,Milan,A,24,28
Lukaku,Napoli,A,31,15
Malen,Roma,A,14,16
Martinez L.,Inter,A,34,37
Meister,Pisa,A,2,7
Milik,Juventus,A,1,1
Morata,Como,A,18,3
Moreo,Pisa,A,5,17
Moro L.,Sassuolo,A,1,2
Mosquera,Verona,A,6,7
Moumbagna,Cremonese,A,6,2
N'Dri,Lecce,A,5,9
Njie,Torino,A,1,5
Nkunku,Milan,A,20,19
Noslin,Lazio,A,7,10
Nzola,Sassuolo,A,12,10
Okereke,Cremonese,A,5,1
Openda,Juventus,A,22,8
Orban G.,Verona,A,15,21
Pavoletti,Cagliari,A,1,2
Pedro,Lazio,A,13,11
Pellegrino M.,Parma,A,13,19
Piccoli,Fiorentina,A,17,8
Pinamonti,Sassuolo,A,16,13
Raspadori,Atalanta,A,13,16
Ratkov,Lazio,A,15,14
Rodriguez Je.,Como,A,5,12
Sanabria,Cremonese,A,7,6
Sarr A.,Verona,A,8,5
Scamacca,Atalanta,A,19,22
Simeone,Torino,A,8,18
Solomon,Fiorentina,A,7,10
Soulè,Roma,A,20,24
Stojilkovic,Pisa,A,4,4
