position,fantateam,fantateam_key,points_current,predicted_gain,projected_total
1,SPARROW,sparrow,1846.0,1228.81,3074.81
2,EquipoA,equipoa,1852.5,1213.65,3066.15
3,Fc Cortomuso,fccortomuso,1837.5,1219.7,3057.2
4,Tana delle Tigri,tanadelletigri,1821.5,1200.74,3022.24
5,TomMat-iga,tommatiga,1799.0,1211.8,3010.8
6,MARCIO TEAM,marcioteam,1807.0,1195.22,3002.2200000000003
7,Temptation Haaland,temptationhaaland,1767.5,1232.15,2999.65
8,Scarzooka,scarzooka,1812.5,1182.92,2995.42
9,Non troppo cattivi,nontroppocattivi,1784.0,1206.17,2990.17
10,FC Plasmon,fcplasmon,1794.0,1192.47,2986.4700000000003
11,Ipa Bali,ipabali,1781.0,1205.19,2986.19
12,I COMPARI,icompari,1783.0,1198.19,2981.19
13,Lunarossa,lunarossa,1781.0,1182.33,2963.33
14,XLiverpuh,xliverpuh,1775.5,1187.77,2963.27
15,Antibro,antibro,1793.5,1161.84,2955.34
16,F.C Pennic Hellas,fcpennichellas,1816.5,1138.17,2954.67
17,FC Spiaze,fcspiaze,1788.5,1165.11,2953.6099999999997
18,Collocolo Team,collocoloteam,1804.0,1146.13,2950.13
19,Imperatori del culo,imperatoridelculo,1777.5,1172.06,2949.56
20,FC Galli,fcgalli,1791.0,1155.12,2946.12
21,Plu-Team,pluteam,1784.5,1159.89,2944.3900000000003
22,LE 4 M,le4m,1779.0,1164.14,2943.1400000000003
23,Pro secco,prosecco,1781.5,1160.99,2942.49
24,Leonte FC,leontefc,1775.5,1164.08,2939.58
25,Boiali,boiali,1756.0,1177.38,2933.38
26,Nastro Azzurro,nastroazzurro,1735.0,1194.95,2929.95
27,Concali Craboni FC,concalicrabonifc,1760.0,1168.89,2928.8900000000003
28,LosPollosHermanos,lospolloshermanos,1732.5,1195.68,2928.1800000000003
29,A.C.TUA CUCS,actuacucs,1754.5,1170.65,2925.15
30,Pi-Ciaccio,piciaccio,1766.5,1158.27,2924.77
31,BARAKALLAHOUFIK,barakallahoufik,1765.0,1159.53,2924.5299999999997
32,AC DENTI,acdenti,1765.0,1159.2,2924.2
33,FC Buttarighe,fcbuttarighe,1712.5,1211.1100000000001,2923.61
34,Due Amici al Var,dueamicialvar,1764.0,1159.06,2923.06
35,DonBosko46,donbosko46,1779.5,1143.3600000000001,2922.86
36,BOBONE32,bobone32,1778.5,1143.4,2921.9
37,ISGOPPAISI2,isgoppaisi2,1777.5,1140.45,2917.95
38,scarsenal,scarsenal,1746.5,1168.97,2915.4700000000003
39,SPERA EBBASTA,speraebbasta,1778.5,1136.45,2914.95
40,OnlyFans,onlyfans,1767.5,1143.67,2911.17
41,Real Mellandro,realmellandro,1738.0,1167.91,2905.91
42,coach 71,coach71,1751.5,1154.28,2905.7799999999997
43,Hellas merdona,hellasmerdona,1751.0,1152.42,2903.42
44,Peaky Tunas,peakytunas,1746.0,1150.3,2896.3
45,SerSi-FC,sersifc,1723.5,1160.28,2883.7799999999997
46,SPOSTATI,spostati,1744.0,1139.02,2883.02
47,PEAKY BLINDERS,peakyblinders,1751.0,1128.24,2879.24
48,BANDITI,banditi,1738.5,1137.16,2875.66
49,i bro,ibro,1746.5,1128.06,2874.56
50,Sarzanello Team,sarzanelloteam,1741.5,1131.48,2872.98
51,Malmö FF,malmff,1743.0,1122.12,2865.12
52,BinuSpuntu,binuspuntu,1740.0,1124.65,2864.65
53,LEONE,leone,1711.5,1152.28,2863.7799999999997
54,pacho team,pachoteam,1711.5,1149.23,2860.73
55,CLAN,clan,1697.5,1160.3899999999999,2857.89
56,SILVEDO,silvedo,1745.0,1107.31,2852.31
57,DEEDPULLY,deedpully,1696.5,1154.28,2850.7799999999997
58,puerto rosso blu,puertorossoblu,1731.5,1117.75,2849.25
59,ROCKY 3,rocky3,1708.5,1140.62,2849.12
60,SAGATU,sagatu,1728.5,1120.26,2848.76
61,Sisal Palace,sisalpalace,1718.5,1130.24,2848.74
62,Giubbentus,giubbentus,1744.0,1098.78,2842.7799999999997
63,CISCO TEAM,ciscoteam,1699.5,1143.22,2842.7200000000003
64,Piovra73,piovra73,1723.0,1117.8,2840.8
65,I Cigni,icigni,1698.0,1141.72,2839.7200000000003
66,Riccardigno,riccardigno,1719.0,1119.61,2838.6099999999997
67,buttiglia25,buttiglia25,1717.5,1116.48,2833.98
68,Lions,lions,1718.0,1115.29,2833.29
69,Sciabolata Classica,sciabolataclassica,1725.0,1107.73,2832.73
70,Longobarda,longobarda,1728.5,1101.68,2830.1800000000003
71,Mapoitta,mapoitta,1700.0,1128.3,2828.3
72,CuginiDiCampagna,cuginidicampagna,1715.0,1111.25,2826.25
73,kalashnikov,kalashnikov,1700.0,1125.53,2825.5299999999997
74,KARABE 1975,karabe1975,1728.0,1096.97,2824.9700000000003
75,i fratelli merda,ifratellimerda,1701.0,1121.91,2822.91
76,SMOG,smog,1703.0,1118.12,2821.12
77,Fc nipiri,fcnipiri,1701.0,1112.57,2813.5699999999997
78,real donk,realdonk,1689.0,1115.37,2804.37
79,mezzebirre,mezzebirre,1670.0,1131.36,2801.3599999999997
80,ProPro Proibito,proproproibito,1671.0,1116.65,2787.65
81,Kung-Fu Pandev,kungfupandev,1697.5,1082.3600000000001,2779.86
82,lagg,lagg,1702.0,1076.74,2778.74
83,HeineKean,heinekean,1658.0,1096.9,2754.9
84,Evergreen,evergreen,1641.5,1085.0,2726.5
