round,fantateam,module,portiere,difensori,centrocampisti,attaccanti,panchina,capitano,vice_capitano,base_total,mod_difesa,mod_capitano,predicted_total
25,A.C.TUA CUCS,3-4-3,Sommer,Kempf;Valeri;Martin,Pulisic;Paz N.;Calhanoglu;Zaniolo,Martinez L.;Leao;Yildiz,Perin;McKennie;Prati;Barbieri;Collocolo;Ilkhan;Marcandalli,Martinez L.,Zaniolo,83.73,0.0,0.0,83.73
25,AC DENTI,3-4-3,Martinez Jo.,Terracciano F.;Norton-Cuffy;Cambiaso,Pulisic;Paz N.;McTominay;Orsolini,Martinez L.;Hojlund;Yildiz,Sommer;McKennie;Politano;Karlstrom;Meister;Tiago Gabriel;Gosens,Martinez L.,McTominay,81.2,0.0,0.0,81.2
25,Antibro,3-4-3,Svilar,Dimarco;Martin;Vasquez,Pulisic;Paz N.;Vlasic;Malinovskyi,Martinez L.;Berardi;Esposito Se.,Nava;Pedro;Keita M.;Estevez;Cambiaso;Meister;Aebischer,Martinez L.,Paz N.,83.09,0.0,0.0,83.09
25,BANDITI,3-4-3,De Gea,Valeri;Martin;Norton-Cuffy,Pulisic;Paz N.;Calhanoglu;Rabiot,Martinez L.;Douvikas;Soulè,Lezzerini;Prati;Bondo;Muharemovic;Aebischer;Pavoletti;Frese,Martinez L.,Soulè,81.88,0.0,0.0,81.88
25,BARAKALLAHOUFIK,3-4-3,Milinkovic-Savic V.,Palestra;Norton-Cuffy;Bellanova,Pulisic;Paz N.;Orsolini;Strefezza,Malen;Douvikas;Scamacca,Provedel;Kean;Rowe;Diao;Ilkhan;Cambiaso;Gosens,Malen,Strefezza,82.39,0.0,0.0,82.39
25,BOBONE32,3-4-3,De Gea,Pavlovic;Ramon;Norton-Cuffy,Paz N.;Zielinski;McTominay;Saelemaekers,Martinez L.;Douvikas;Leao,Lezzerini;Berardi;Ondrejka;Zapata D.;Tiago Gabriel;Gallo;Lovric,Martinez L.,McTominay,82.42,0.0,0.0,82.42
25,BinuSpuntu,3-5-2,Martinez Jo.,Belghali;Valeri;Terracciano F.,Paz N.;McTominay;Atta;Saelemaekers;Da Cunha,Martinez L.;Hojlund,Sommer;McKennie;Solomon;David;Van Der Brempt;Akinsanmiro;Canestrelli,Atta,Atta,80.8,0.0,0.0,80.8
25,Boiali,3-4-3,Maignan,Ramon;Delprato;Vasquez,Paz N.;McTominay;Zaniolo;Orsolini,Malen;Martinez L.;Douvikas,Terracciano;Zaccagni;Kean;Zerbin;Ordonez C.;Okereke;Tramoni M.,Martinez L.,Paz N.,85.18,0.0,0.0,85.18
25,CISCO TEAM,3-4-3,Milinkovic-Savic V.,Bremer;Valeri;Norton-Cuffy,Pulisic;Paz N.;Mazzitelli;Pellegrini Lo.,Martinez L.;Berardi;Cancellieri,Terracciano;Ferguson E.;Prati;Cambiaso;Tiago Gabriel;Aebischer;Doig,Martinez L.,Bremer,80.78,0.0,0.0,80.78
25,CLAN,3-4-3,Di Gregorio,Wesley;Gutierrez;Lazaro,Baturina;McTominay;Modric;Malinovskyi,Malen;Thuram;Hojlund,Perin;Zalewski;Solomon;Bernardeschi;Baldanzi;Zapata D.;Tavares N.,Hojlund,Malen,81.39,0.0,0.0,81.39
25,Collocolo Team,3-4-3,Martinez Jo.,Rrahmani;Belghali;Valeri,Pulisic;Baturina;McTominay;Basic,Martinez L.;Leao;Pellegrino M.,Sommer;Kean;Gudmundsson A.;Norton-Cuffy;N'Dicka;Pavoletti;Doig,Martinez L.,McTominay,82.73,0.0,0.0,82.73
25,Concali Craboni FC,3-4-3,Provedel,Dimarco;Palestra;Akanji,Pulisic;Paz N.;Zambo Anguissa;Barella,Douvikas;Bonazzoli;Esposito Se.,Motta;Moreo;Berisha M.;Valle;Mina;Baschirotto;David,Paz N.,Dimarco,84.8,0.0,0.0,84.8
25,CuginiDiCampagna,3-4-3,Carnesecchi,Ramon;Wesley;Muharemovic,Pulisic;Zaniolo;Orsolini;Strefezza,Martinez L.;Pinamonti;Kean,Sportiello;David;Adopo;Collocolo;Tiago Gabriel;Frese;Joao Mario,Martinez L.,Orsolini,78.2,0.0,0.0,78.2
25,DEEDPULLY,3-4-3,Svilar,Dimarco;Mina;De Winter,Pulisic;Zaniolo;Orsolini;Loftus-Cheek,Kilicsoy;Berardi;Raspadori,Vasquez D. *;Esposito Se.;Zalewski;Iannoni;David;Ilkhan;Muharemovic,Orsolini,Zaniolo,82.09,0.0,0.0,82.09
