round,position,fantateam,predicted_total
25,1,SPARROW,88.59
25,2,Temptation Haaland,87.93
25,3,Fc Cortomuso,87.17
25,4,EquipoA,86.44
25,5,Tana delle Tigri,86.44
25,6,FC Buttarighe,86.31
25,7,I COMPARI,86.28
25,8,TomMat-iga,86.19
25,9,Ipa Bali,85.76
25,10,XLiverpuh,85.74
25,11,Non troppo cattivi,85.27
25,12,Boiali,85.18
25,13,Concali Craboni FC,84.8
25,14,Nastro Azzurro,84.69
25,15,MARCIO TEAM,84.64
25,16,Pro secco,84.45
25,17,Lunarossa,84.43
25,18,Scarzooka,84.16
25,19,LosPollosHermanos,83.84
25,20,Pi-Ciaccio,83.78
25,21,A.C.TUA CUCS,83.73
25,22,SerSi-FC,83.67
25,23,LE 4 M,83.48
25,24,FC Spiaze,83.41
25,25,LEONE,83.27
25,26,Antibro,83.09
25,27,Real Mellandro,83.02
25,28,FC Plasmon,82.93
25,29,pacho team,82.83
25,30,OnlyFans,82.77
25,31,Collocolo Team,82.73
25,32,Plu-Team,82.69
25,33,BOBONE32,82.42
25,34,BARAKALLAHOUFIK,82.39
25,35,ROCKY 3,82.34
25,36,SPOSTATI,82.32
25,37,scarsenal,82.22
25,38,Riccardigno,82.19
25,39,F.C Pennic Hellas,82.17
25,40,DEEDPULLY,82.09
25,41,coach 71,81.89
25,42,BANDITI,81.88
25,43,Peaky Tunas,81.49
25,44,Leonte FC,81.47
25,45,ProPro Proibito,81.41
25,46,CLAN,81.39
25,47,FC Galli,81.23
25,48,AC DENTI,81.2
25,49,Due Amici al Var,81.19
25,50,Imperatori del culo,81.05
25,51,Sarzanello Team,81.01
25,52,Hellas merdona,81.0
25,53,I Cigni,80.99
25,54,SMOG,80.92
25,55,BinuSpuntu,80.8
25,56,CISCO TEAM,80.78
25,57,PEAKY BLINDERS,80.78
25,58,SPERA EBBASTA,80.63
25,59,i fratelli merda,80.56
25,60,mezzebirre,80.45
25,61,DonBosko46,80.22
25,62,Mapoitta,80.16
25,63,i bro,80.15
25,64,SILVEDO,80.09
25,65,ISGOPPAISI2,79.94
25,66,puerto rosso blu,79.79
25,67,Piovra73,79.75
25,68,Malmö FF,79.58
25,69,Lions,79.57
25,70,Sisal Palace,79.47
25,71,kalashnikov,79.31
25,72,Fc nipiri,79.21
25,73,buttiglia25,78.94
25,74,Sciabolata Classica,78.75
25,75,real donk,78.73
25,76,SAGATU,78.63
25,77,CuginiDiCampagna,78.2
25,78,KARABE 1975,78.09
25,79,Giubbentus,77.62
25,80,Longobarda,76.56
25,81,HeineKean,76.34
25,82,Evergreen,75.72
25,83,lagg,75.04
25,84,Kung-Fu Pandev,74.8
26,1,Fc Cortomuso,88.32
26,2,Non troppo cattivi,87.92
26,3,SPARROW,87.86
26,4,FC Plasmon,87.13
26,5,Ipa Bali,87.08
26,6,EquipoA,87.06
26,7,Temptation Haaland,86.81
26,8,MARCIO TEAM,86.66
26,9,LosPollosHermanos,86.48
26,10,TomMat-iga,86.36
26,11,FC Buttarighe,86.09
26,12,Imperatori del culo,85.94
26,13,Tana delle Tigri,85.57
26,14,Nastro Azzurro,85.21
26,15,DEEDPULLY,85.18
26,16,I COMPARI,84.84
26,17,Scarzooka,84.24
26,18,scarsenal,84.18
26,19,Antibro,84.13
26,20,BARAKALLAHOUFIK,84.13
26,21,Hellas merdona,83.68
26,22,Real Mellandro,83.57
26,23,Boiali,83.48
26,24,Due Amici al Var,83.39
26,25,coach 71,83.26
26,26,Leonte FC,82.96
26,27,Plu-Team,82.91
26,28,Lunarossa,82.83
26,29,FC Galli,82.79
26,30,A.C.TUA CUCS,82.64
26,31,ROCKY 3,82.64
26,32,CISCO TEAM,82.59
26,33,XLiverpuh,82.58
26,34,LEONE,82.54
26,35,CLAN,82.51
26,36,OnlyFans,82.27
26,37,FC Spiaze,82.23
26,38,SerSi-FC,82.1
26,39,LE 4 M,81.81
26,40,Collocolo Team,81.76
26,41,SPERA EBBASTA,81.75
26,42,Peaky Tunas,81.7
26,43,Concali Craboni FC,81.5
26,44,I Cigni,81.49
26,45,AC DENTI,81.4
26,46,BOBONE32,81.31
26,47,Pi-Ciaccio,81.26
26,48,mezzebirre,81.17
26,49,BANDITI,81.11
26,50,kalashnikov,80.96
26,51,DonBosko46,80.73
26,52,Pro secco,80.58
26,53,Malmö FF,80.53
26,54,SPOSTATI,80.47
26,55,CuginiDiCampagna,80.42
26,56,real donk,80.3
26,57,Sisal Palace,80.24
26,58,ISGOPPAISI2,80.16
26,59,SAGATU,80.01
26,60,Piovra73,79.98
26,61,SILVEDO,79.89
26,62,Sarzanello Team,79.85
26,63,Longobarda,79.84
26,64,i fratelli merda,79.69
26,65,Mapoitta,79.66
26,66,puerto rosso blu,79.6
26,67,PEAKY BLINDERS,79.48
26,68,Fc nipiri,79.26
26,69,F.C Pennic Hellas,79.07
26,70,Evergreen,79.03
26,71,SMOG,78.99
26,72,pacho team,78.92
26,73,KARABE 1975,78.81
26,74,buttiglia25,78.81
26,75,i bro,78.81
26,76,Giubbentus,78.53
26,77,Riccardigno,78.37
26,78,Sciabolata Classica,78.18
26,79,lagg,78.18
26,80,BinuSpuntu,77.93
26,81,Lions,77.93
26,82,Kung-Fu Pandev,77.48
26,83,ProPro Proibito,77.39
26,84,HeineKean,76.52
27,1,Temptation Haaland,88.95
27,2,SPARROW,88.83
27,3,FC Buttarighe,88.26
27,4,EquipoA,87.96
27,5,TomMat-iga,87.75
