giornata,team,modulo,portiere,difensori,centrocampisti,attaccanti
24,EquipoA,4-3-3,Meret,Zappacosta;Rrahmani;Ramon;Palestra,Orsolini;Paz N.;Pulisic,Malen;Martinez L.;Yildiz
24,SPARROW,4-3-3,Maignan,Dodò;Palestra;Wesley;Dimarco,McTominay;Paz N.;McKennie,Malen;Martinez L.;David
24,Fc Cortomuso,4-3-3,Meret,Tiago Gabriel;Bellanova;Dodò;Palestra,Maldini;Orsolini;McTominay,Kean;Martinez L.;Malen
24,Tana delle Tigri,4-3-3,Carnesecchi,Bellanova;Solet;Martin;Dimarco,Pulisic;McTominay;Atta,Berardi;Martinez L.;David
24,F.C Pennic Hellas,4-3-3,Caprile,Dimarco;Dodò;Tiago Gabriel;Norton-Cuffy,Atta;Ederson D.S.;Zaniolo,Hojlund;David;Martinez L.
24,MARCIO TEAM,3-4-3,Di Gregorio,Gosens;Palestra;Hermoso,Pulisic;McTominay;Orsolini;Paz N.,Martinez L.;Malen;Berardi
24,Scarzooka,4-3-3,Di Gregorio,Tiago Gabriel;Vojvoda;Akanji;Dodò,Pulisic;Zalewski;Da Cunha,Kean;Martinez L.;Malen
24,Collocolo Team,4-3-3,Sommer,Norton-Cuffy;N'Dicka;Rrahmani;Valeri,Basic;McTominay;Gudmundsson A.,Kean;Martinez L.;Pellegrino M.
24,Plu-Team,4-3-3,Di Gregorio,Bellanova;Bernasconi;Martin;Wesley,Pulisic;Saelemaekers;Orsolini,Bonny;Martinez L.;Esposito F.P.
24,Antibro,4-3-3,Svilar,Martin;Dodò;Cambiaso;Dimarco,Paz N.;Malinovskyi;Aebischer,Berardi;Martinez L.;Pedro
24,TomMat-iga,4-3-3,Maignan,Martin;Ramon;Tiago Gabriel;Gosens,Vergara;McTominay;Orsolini,Martinez L.;Scamacca;Malen
24,FC Spiaze,4-3-3,Di Gregorio,Dimarco;Norton-Cuffy;Tiago Gabriel;Palestra,Vergara;Pulisic;Paz N.,Hojlund;Martinez L.;De Ketelaere
24,BOBONE32,3-4-3,De Gea,Gallo;Tiago Gabriel;Norton-Cuffy,Maldini;Zielinski;McTominay;Ondrejka,Zapata D.;Martinez L.;Berardi
24,Leonte FC,4-3-3,Di Gregorio,Bastoni;Pavlovic;Bremer;Djimsiti,Basic;Vergara;McTominay,Cancellieri;Soulè;Martinez L.
24,FC Plasmon,4-3-3,Provedel,Martin;Dodò;Cambiaso;Dimarco,Maldini;Ndour;Malinovskyi,Martinez L.;Malen;Kean
24,FC Galli,3-4-3,Svilar,Kalulu;Akanji;Bellanova,Pasalic;Zielinski;Malinovskyi;Pulisic,Martinez L.;Hojlund;Leao
24,Pro secco,3-4-3,Maignan,Tiago Gabriel;Hien;Ehizibue,Paz N.;Pulisic;McTominay;Orsolini,Douvikas;Hojlund;Martinez L.
24,OnlyFans,3-4-3,Carnesecchi,Gosens;Palestra;Martin,Zaniolo;Thuram K.;Pulisic;McTominay,Leao;Thuram;Berardi
24,ISGOPPAISI2,4-3-3,Svilar,Vojvoda;Kalulu;Dodò;Rrahmani,Maldini;Gudmundsson A.;McTominay,Kean;Scamacca;Soulè
24,I COMPARI,3-4-3,Scuffet,Valeri;Dodò;Solet,Vergara;Paz N.;McTominay;Zaragoza,Soulè;Martinez L.;Malen
24,XLiverpuh,3-4-3,Svilar,Terracciano F.;Valle;Palestra,Saelemaekers;Atta;Pulisic;Paz N.,Esposito Se.;Thuram;Hojlund
24,Ipa Bali,3-4-3,Maignan,Ostigard;Ramon;Martin,Zaragoza;Malinovskyi;McTominay;Vergara,Berardi;Martinez L.;Malen
24,Non troppo cattivi,4-4-2,Svilar,Bianchetti;Martin;Muharemovic;Dimarco,Pulisic;Paz N.;McTominay;Orsolini,Malen;Martinez L.
24,Lunarossa,3-4-3,Sommer,Bartesaghi;Tavares N.;Wesley,Elmas;McTominay;Ilkhan;Strefezza,Martinez L.;Hojlund;Yildiz
24,SPERA EBBASTA,4-3-3,Sommer,Dodò;Wesley;Tiago Gabriel;Bellanova,Nicolussi Caviglia;Konè I.;Ilkhan,Kean;Martinez L.;Hojlund
24,LE 4 M,3-4-3,Di Gregorio,Martin;Solet;Palestra,Zaniolo;Ndour;Zielinski;McKennie,Hojlund;Martinez L.;Kean
24,DonBosko46,4-3-3,Sommer,Bellanova;Mancini;Vojvoda;Cambiaso,McTominay;Vergara;Orsolini,Martinez L.;Hojlund;De Ketelaere
24,Imperatori del culo,4-3-3,Maignan,Bellanova;Tiago Gabriel;Bastoni;Cambiaso,Vergara;Gudmundsson A.;Orsolini,Kean;Martinez L.;Malen
24,Pi-Ciaccio,4-3-3,Maignan,Bellanova;Mancini;Bremer;Gutierrez,Ondrejka;McTominay;Atta,David;Colombo;Martinez L.
24,BARAKALLAHOUFIK,3-4-3,Provedel,Palestra;Gosens;Norton-Cuffy,Strefezza;Rowe;Nicolussi Caviglia;Orsolini,Scamacca;Malen;Kean
24,Concali Craboni FC,3-4-3,Provedel,Akanji;Palestra;Dimarco,Pulisic;Akinsanmiro;Tourè I.;Paz N.,Douvikas;Esposito Se.;David
24,SILVEDO,4-3-3,Maignan,Vasquez;Terracciano F.;Palestra;Dodò,Paz N.;Orsolini;Zaniolo,Martinez L.;Berardi;David
24,A.C.TUA CUCS,3-4-3,Sommer,Martin;Kempf;Valeri,Zaniolo;Paz N.;McKennie;Pulisic,Leao;Martinez L.;Yildiz
24,Peaky Tunas,3-4-3,Di Gregorio,Terracciano F.;Tiago Gabriel;Bastoni,Lovric;Konè I.;Pulisic;Paz N.,Leao;Martinez L.;Yildiz
24,Due Amici al Var,3-4-3,Di Gregorio,Dodò;Tiago Gabriel;Wesley,Maldini;Zaniolo;McTominay;Orsolini,Martinez L.;Malen;Kean
