Section,Round,Module,Player,Role,Team,BaseForce,FixtureFactor,AdjustedForce,HomeAway,Opponent,Captain,Vice
XI,25,343,Maignan,P,Milan,85.2,1.053,89.69,A,Pisa,,
XI,25,343,Dimarco,D,Inter,89.4,1.026,91.73,H,Juventus,,1
XI,25,343,Bastoni,D,Inter,77.3,1.026,79.31,H,Juventus,,
XI,25,343,Palestra,D,Cagliari,76.1,1.041,79.24,H,Lecce,,
XI,25,343,Pulisic,C,Milan,84.2,1.031,86.84,A,Pisa,,
XI,25,343,Paz N.,C,Como,79.7,1.074,85.58,H,Fiorentina,,
XI,25,343,McTominay,C,Napoli,82.2,1.021,83.95,H,Roma,,
XI,25,343,Baturina,C,Como,77.7,1.074,83.43,H,Fiorentina,,
XI,25,343,Martinez L.,A,Inter,92.0,1.034,95.15,H,Juventus,1,
XI,25,343,Douvikas,A,Como,75.5,1.093,82.5,H,Fiorentina,,
XI,25,343,Leao,A,Milan,79.5,1.032,82.05,A,Pisa,,
Bench,25,343,Carnesecchi,P,Atalanta,85.8,0.989,84.84,A,Lazio,,
Bench,25,343,Calhanoglu,C,Inter,81.7,1.032,84.35,H,Juventus,,
Bench,25,343,Bonny,A,Inter,80.1,1.034,82.84,H,Juventus,,
Bench,25,343,Rabiot,C,Milan,79.8,1.031,82.3,A,Pisa,,
Bench,25,343,Thuram,A,Inter,78.8,1.034,81.49,H,Juventus,,
Bench,25,343,Spinazzola,D,Napoli,76.6,1.012,77.53,H,Roma,,
Bench,25,343,Kempf,D,Como,70.8,1.071,75.85,H,Fiorentina,,
