Team,Giocatore,Ruolo,Squadra,Tier,Weight,ScoreAuto,PrezzoAttuale,ForzaGiocatore,Source
Concali Craboni FC,Pulisic,C,Milan,top,0.970,0.947,31.0,95.28,tier
Concali Craboni FC,Dimarco,D,Inter,top,0.980,0.914,29.0,93.05,tier
Concali Craboni FC,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
Concali Craboni FC,Zambo Anguissa,C,Napoli,top,0.848,0.848,19.0,84.80,tier
Concali Craboni FC,Douvikas,A,Como,top,0.830,0.830,21.0,83.00,tier
Concali Craboni FC,Palestra,D,Cagliari,semitop,0.736,0.736,15.0,73.60,tier
Concali Craboni FC,Bonazzoli,A,Cremonese,semitop,0.731,0.731,20.0,73.10,tier
Concali Craboni FC,Moreo,A,Pisa,starter,0.687,0.687,15.0,68.70,tier
Concali Craboni FC,Berisha M.,C,Lecce,starter,0.667,0.667,13.0,66.70,tier
Concali Craboni FC,Esposito Se.,A,Cagliari,starter,0.659,0.659,16.0,65.90,tier
Concali Craboni FC,Barella,C,Inter,starter,0.643,0.643,17.0,64.30,tier
Concali Craboni FC,Provedel,P,Lazio,starter,0.632,0.632,17.0,63.20,tier
Concali Craboni FC,Baschirotto,D,Cremonese,starter,0.617,0.617,13.0,61.70,tier
Concali Craboni FC,Akanji,D,Inter,scommessa,0.577,0.577,11.0,57.70,tier
Concali Craboni FC,David,A,Juventus,scommessa,0.566,0.566,13.0,56.60,tier
Concali Craboni FC,Valle,D,Como,scommessa,0.536,0.536,8.0,53.60,tier
Concali Craboni FC,Mina,D,Cagliari,scommessa,0.516,0.516,8.0,51.60,tier
Concali Craboni FC,Tourè I.,C,Pisa,scommessa,0.475,0.475,10.0,47.50,tier
Concali Craboni FC,Akinsanmiro,C,Pisa,low,0.386,0.386,7.0,38.60,tier
Concali Craboni FC,Nelsson,D,Verona,low,0.354,0.354,4.0,35.40,tier
Concali Craboni FC,Vranckx,C,Sassuolo,low,0.245,0.245,3.0,24.50,tier
Concali Craboni FC,Furlanetto,P,Lazio,low,0.125,0.125,1.0,12.50,tier
Concali Craboni FC,Motta,P,Laz,low,0.125,0.125,1.0,12.50,tier
LEONE,Berardi,A,Sassuolo,top,0.903,0.903,21.0,90.30,tier
LEONE,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
LEONE,Davis K.,A,Udinese,top,0.850,0.850,24.0,85.00,tier
LEONE,Bremer,D,Juventus,top,0.826,0.826,13.0,82.60,tier
LEONE,Kempf,D,Como,semitop,0.754,0.754,14.0,75.40,tier
LEONE,Atta,C,Udinese,semitop,0.747,0.747,16.0,74.70,tier
LEONE,Saelemaekers,C,Milan,semitop,0.840,0.699,19.0,73.42,tier
LEONE,Simeone,A,Torino,semitop,0.727,0.727,19.0,72.70,tier
LEONE,Pavlovic,D,Milan,semitop,0.820,0.684,15.0,71.80,tier
LEONE,Kilicsoy,A,Cagliari,starter,0.704,0.704,12.0,70.40,tier
LEONE,Wesley,D,Roma,starter,0.677,0.677,16.0,67.70,tier
LEONE,Milinkovic-Savic V.,P,Napoli,starter,0.653,0.653,19.0,65.30,tier
LEONE,Bisseck,D,Inter,starter,0.645,0.645,10.0,64.50,tier
LEONE,Cambiaso,D,Juventus,scommessa,0.557,0.557,10.0,55.70,tier
LEONE,Tramoni M.,C,Pisa,scommessa,0.511,0.511,9.0,51.10,tier
LEONE,Ederson D.S.,C,Atalanta,scommessa,0.476,0.476,10.0,47.60,tier
LEONE,Dodò,D,Fiorentina,scommessa,0.468,0.468,6.0,46.80,tier
LEONE,Adopo,C,Cagliari,low,0.414,0.414,6.0,41.40,tier
LEONE,Piccoli,A,Fiorentina,low,0.408,0.408,9.0,40.80,tier
LEONE,Meret,P,Napoli,low,0.377,0.377,8.0,37.70,tier
LEONE,Aebischer,C,Pisa,low,0.354,0.354,5.0,35.40,tier
LEONE,Contini,P,Napoli,low,0.125,0.125,1.0,12.50,tier
LEONE,Stanciu *,C,Genoa,low,0.000,0.000,1.0,1.50,fallback_price
EquipoA,Pulisic,C,Milan,top,0.970,0.947,31.0,95.28,tier
EquipoA,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
EquipoA,Yildiz,A,Juventus,top,0.919,0.919,30.0,91.90,tier
EquipoA,Berardi,A,Sassuolo,top,0.903,0.903,21.0,90.30,tier
EquipoA,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
EquipoA,Orsolini,C,Bologna,top,0.950,0.820,24.0,85.25,tier
EquipoA,Palestra,D,Cagliari,semitop,0.736,0.736,15.0,73.60,tier
EquipoA,Milinkovic-Savic V.,P,Napoli,starter,0.653,0.653,19.0,65.30,tier
EquipoA,Ramon,D,Como,starter,0.636,0.636,12.0,63.60,tier
EquipoA,Rrahmani,D,Napoli,starter,0.632,0.632,13.0,63.20,tier
EquipoA,Zaccagni,C,Lazio,starter,0.588,0.588,14.0,58.80,tier
EquipoA,Malen,A,Roma,top,0.940,0.443,15.0,56.73,tier
EquipoA,Dumfries,D,Inter,scommessa,0.552,0.552,10.0,55.20,tier
EquipoA,Zappacosta,D,Atalanta,scommessa,0.500,0.500,8.0,50.00,tier
EquipoA,Rodriguez Je.,A,Como,scommessa,0.468,0.468,12.0,46.80,tier
EquipoA,Bellanova,D,Atalanta,low,0.441,0.441,6.0,44.10,tier
EquipoA,Ndour,C,Fiorentina,low,0.400,0.400,6.0,40.00,tier
EquipoA,Zerbin,C,Cremonese,low,0.394,0.394,6.0,39.40,tier
EquipoA,Meret,P,Napoli,low,0.377,0.377,8.0,37.70,tier
EquipoA,Zemura,D,Udinese,low,0.279,0.279,2.0,27.90,tier
EquipoA,Maldini,C,Atalanta,low,0.231,0.231,3.0,23.10,tier
EquipoA,Ilkhan,C,Torino,low,0.200,0.200,2.0,20.00,tier
EquipoA,Martinez Jo.,P,Inter,low,0.145,0.145,1.0,14.50,tier
Pi-Ciaccio,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
Pi-Ciaccio,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
Pi-Ciaccio,Rabiot,C,Milan,semitop,0.850,0.830,23.0,83.50,tier
Pi-Ciaccio,Douvikas,A,Como,top,0.830,0.830,21.0,83.00,tier
Pi-Ciaccio,Bremer,D,Juventus,top,0.826,0.826,13.0,82.60,tier
Pi-Ciaccio,McTominay,C,Napoli,semitop,0.808,0.808,25.0,80.80,tier
Pi-Ciaccio,Atta,C,Udinese,semitop,0.747,0.747,16.0,74.70,tier
Pi-Ciaccio,Maignan,P,Milan,top,0.950,0.670,20.0,74.00,tier
Pi-Ciaccio,Esposito Se.,A,Cagliari,starter,0.659,0.659,16.0,65.90,tier
Pi-Ciaccio,Martin,D,Genoa,starter,0.651,0.651,14.0,65.10,tier
Pi-Ciaccio,Mancini,D,Roma,scommessa,0.573,0.573,10.0,57.30,tier
Pi-Ciaccio,Colombo,A,Genoa,scommessa,0.570,0.570,14.0,57.00,tier
Pi-Ciaccio,David,A,Juventus,scommessa,0.566,0.566,13.0,56.60,tier
Pi-Ciaccio,Tiago Gabriel,D,Lecce,scommessa,0.522,0.522,9.0,52.20,tier
Pi-Ciaccio,Mina,D,Cagliari,scommessa,0.516,0.516,8.0,51.60,tier
Pi-Ciaccio,Bellanova,D,Atalanta,low,0.441,0.441,6.0,44.10,tier
Pi-Ciaccio,Bondo,C,Cremonese,low,0.398,0.398,7.0,39.80,tier
Pi-Ciaccio,Prati,C,Cagliari,low,0.388,0.388,6.0,38.80,tier
Pi-Ciaccio,Akinsanmiro,C,Pisa,low,0.386,0.386,7.0,38.60,tier
Pi-Ciaccio,Ondrejka,C,Parma,low,0.333,0.333,5.0,33.30,tier
Pi-Ciaccio,Gutierrez,D,Napoli,low,0.314,0.314,3.0,31.40,tier
Pi-Ciaccio,Martinez Jo.,P,Inter,low,0.145,0.145,1.0,14.50,tier
Pi-Ciaccio,Terracciano,P,Milan,low,0.143,0.143,1.0,14.30,tier
AC DENTI,Pulisic,C,Milan,top,0.970,0.947,31.0,95.28,tier
AC DENTI,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
AC DENTI,Yildiz,A,Juventus,top,0.919,0.919,30.0,91.90,tier
AC DENTI,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
AC DENTI,Orsolini,C,Bologna,top,0.950,0.820,24.0,85.25,tier
AC DENTI,Hojlund,A,Napoli,top,0.940,0.788,25.0,82.60,tier
AC DENTI,McTominay,C,Napoli,semitop,0.808,0.808,25.0,80.80,tier
AC DENTI,McKennie,C,Juventus,starter,0.657,0.657,14.0,65.70,tier
AC DENTI,Gosens,D,Fiorentina,starter,0.583,0.583,10.0,58.30,tier
AC DENTI,Terracciano F.,D,Cremonese,scommessa,0.580,0.580,11.0,58.00,tier
AC DENTI,Sommer,P,Inter,scommessa,0.572,0.572,14.0,57.20,tier
AC DENTI,Cambiaso,D,Juventus,scommessa,0.557,0.557,10.0,55.70,tier
AC DENTI,Tiago Gabriel,D,Lecce,scommessa,0.522,0.522,9.0,52.20,tier
AC DENTI,Norton-Cuffy,D,Genoa,scommessa,0.511,0.511,7.0,51.10,tier
AC DENTI,Politano,C,Napoli,scommessa,0.483,0.483,11.0,48.30,tier
AC DENTI,Karlstrom,C,Udinese,scommessa,0.475,0.475,10.0,47.50,tier
AC DENTI,Doig,D,Sassuolo,low,0.429,0.429,6.0,42.90,tier
AC DENTI,Meister,A,Pisa,low,0.405,0.405,8.0,40.50,tier
AC DENTI,Veiga D.,D,Lecce,low,0.377,0.377,5.0,37.70,tier
AC DENTI,Aebischer,C,Pisa,low,0.354,0.354,5.0,35.40,tier
AC DENTI,Scuffet,P,Pisa,low,0.305,0.305,4.0,30.50,tier
AC DENTI,Martinez Jo.,P,Inter,low,0.145,0.145,1.0,14.50,tier
AC DENTI,Albarracin,A,Cag,low,0.067,0.067,1.0,6.70,tier
F.C Pennic Hellas,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
F.C Pennic Hellas,Dimarco,D,Inter,top,0.980,0.914,29.0,93.05,tier
F.C Pennic Hellas,Hojlund,A,Napoli,top,0.940,0.788,25.0,82.60,tier
F.C Pennic Hellas,Zaniolo,C,Udinese,semitop,0.780,0.780,20.0,78.00,tier
F.C Pennic Hellas,Atta,C,Udinese,semitop,0.747,0.747,16.0,74.70,tier
F.C Pennic Hellas,Esposito F.P.,A,Inter,semitop,0.725,0.725,18.0,72.50,tier
F.C Pennic Hellas,Vlasic,C,Torino,starter,0.720,0.720,18.0,72.00,tier
F.C Pennic Hellas,Milinkovic-Savic V.,P,Napoli,starter,0.653,0.653,19.0,65.30,tier
F.C Pennic Hellas,Caprile,P,Cagliari,semitop,0.830,0.559,12.0,62.68,tier
F.C Pennic Hellas,Giovane,A,Napoli,starter,0.608,0.608,17.0,60.80,tier
F.C Pennic Hellas,Basic,C,Lazio,starter,0.590,0.590,14.0,59.00,tier
F.C Pennic Hellas,Zaccagni,C,Lazio,starter,0.588,0.588,14.0,58.80,tier
F.C Pennic Hellas,David,A,Juventus,scommessa,0.566,0.566,13.0,56.60,tier
F.C Pennic Hellas,Valle,D,Como,scommessa,0.536,0.536,8.0,53.60,tier
F.C Pennic Hellas,Tiago Gabriel,D,Lecce,scommessa,0.522,0.522,9.0,52.20,tier
F.C Pennic Hellas,Norton-Cuffy,D,Genoa,scommessa,0.511,0.511,7.0,51.10,tier
F.C Pennic Hellas,Muharemovic,D,Sassuolo,scommessa,0.509,0.509,7.0,50.90,tier
F.C Pennic Hellas,Ederson D.S.,C,Atalanta,scommessa,0.476,0.476,10.0,47.60,tier
F.C Pennic Hellas,Dodò,D,Fiorentina,scommessa,0.468,0.468,6.0,46.80,tier
F.C Pennic Hellas,Adopo,C,Cagliari,low,0.414,0.414,6.0,41.40,tier
