Pos,Team,ForzaSquadra,ForzaMediaGiocatore,ForzaTitolari,ModuloMigliore,Giocatori,Top,SemiTop,Starter,Scommessa,Low,MissingTier
1,Concali Craboni FC,1373.71,59.73,853.01,3-4-3,23,5,2,6,5,5,0
2,LEONE,1354.20,58.88,848.80,4-3-3,23,4,5,4,4,6,1
3,EquipoA,1327.64,57.72,872.21,3-4-3,23,7,1,4,3,8,0
4,Pi-Ciaccio,1324.08,57.57,851.88,3-4-3,23,5,3,2,5,8,0
5,AC DENTI,1323.01,57.52,850.01,3-4-3,23,6,1,2,7,7,0
6,F.C Pennic Hellas,1318.83,57.34,798.05,3-4-3,23,3,4,5,7,4,0
7,Tana delle Tigri,1315.39,57.19,903.99,3-4-3,23,7,2,2,4,8,0
8,Fc Cortomuso,1313.94,57.13,879.31,3-5-2,23,6,3,4,2,8,0
9,XLiverpuh,1303.74,56.68,895.94,3-4-3,23,7,4,1,2,9,0
10,ISGOPPAISI2,1300.00,56.52,842.30,3-4-3,23,3,4,6,3,7,0
11,KARABE 1975,1299.29,56.49,763.59,3-4-3,23,3,2,3,11,4,0
12,Plu-Team,1297.23,56.40,849.73,3-4-3,23,4,3,6,1,9,0
13,SerSi-FC,1287.78,55.99,865.88,3-4-3,23,4,5,3,4,7,1
14,Sarzanello Team,1283.58,55.81,815.58,3-4-3,23,4,2,6,4,7,0
15,A.C.TUA CUCS,1281.78,55.73,886.48,3-4-3,23,6,2,2,5,8,0
16,TomMat-iga,1281.46,55.72,880.73,3-4-3,23,7,2,3,1,10,0
17,scarsenal,1281.40,55.71,808.67,3-5-2,23,3,6,2,7,5,0
18,Antibro,1276.39,55.50,862.69,3-4-3,23,6,0,4,4,9,0
19,SPARROW,1273.46,55.37,848.83,4-4-2,23,5,3,4,4,7,0
20,I COMPARI,1267.54,55.11,862.11,3-4-3,23,6,3,2,4,8,1
21,Riccardigno,1266.86,55.08,817.86,3-4-3,23,4,3,3,6,7,1
22,Mapoitta,1264.80,54.99,811.60,3-4-3,23,3,3,4,6,7,1
23,SMOG,1264.48,54.98,807.48,3-4-3,23,2,3,7,4,7,0
24,coach 71,1263.51,54.94,782.98,3-4-3,23,5,2,4,6,6,1
25,Malmö FF,1259.30,54.75,786.90,3-4-3,23,2,3,5,6,7,1
26,BOBONE32,1255.60,54.59,843.50,3-4-3,23,6,3,1,4,9,0
27,Pro secco,1249.21,54.31,857.21,3-4-3,23,7,1,2,4,9,0
28,Boiali,1246.96,54.22,822.73,3-4-3,23,6,2,3,4,8,0
29,pacho team,1242.93,54.04,842.85,3-4-3,23,5,2,6,3,7,1
30,SPOSTATI,1229.26,53.45,823.16,3-4-3,23,5,1,3,4,10,0
31,Ipa Bali,1227.09,53.35,849.19,3-4-3,23,6,1,4,2,10,1
32,SAGATU,1227.05,53.35,772.95,3-4-3,23,3,1,4,6,9,0
33,CISCO TEAM,1226.36,53.32,824.06,3-4-3,23,5,0,4,5,9,0
34,i fratelli merda,1225.56,53.29,777.96,3-4-3,23,4,0,6,7,6,1
