Team,Round,Player,Role,BaseForce,FixtureFactor,AdjustedForce,HomeAway,Opponent
Pi-Ciaccio,25,Martinez L.,A,92.55,1.036,95.86,H,Juventus
Pi-Ciaccio,25,Maignan,P,85.78,1.069,91.7,A,Pisa
Pi-Ciaccio,25,Paz N.,C,81.53,1.1,89.71,H,Fiorentina
Pi-Ciaccio,25,Douvikas,A,77.7,1.118,86.85,H,Fiorentina
Pi-Ciaccio,25,McTominay,C,83.4,1.024,85.39,H,Roma
Pi-Ciaccio,25,Rabiot,C,78.9,1.043,82.32,A,Pisa
Pi-Ciaccio,25,Atta,C,74.83,1.05,78.57,H,Sassuolo
Pi-Ciaccio,25,Bremer,D,79.43,0.922,73.23,A,Inter
Pi-Ciaccio,25,Esposito Se.,A,60.6,1.086,65.82,H,Lecce
Pi-Ciaccio,25,Martin,D,65.35,0.987,64.49,A,Cremonese
Pi-Ciaccio,25,Mancini,D,62.18,0.95,59.06,A,Napoli
Pi-Ciaccio,25,David,A,63.52,0.875,55.59,A,Inter
Pi-Ciaccio,25,Colombo,A,56.12,0.972,54.56,A,Cremonese
Pi-Ciaccio,25,Mina,D,50.68,1.047,53.06,H,Lecce
Pi-Ciaccio,25,Bellanova,D,51.15,0.985,50.41,A,Lazio
Pi-Ciaccio,25,Tiago Gabriel,D,50.72,0.968,49.09,A,Cagliari
Pi-Ciaccio,25,Gutierrez,D,47.97,1.009,48.4,H,Roma
Pi-Ciaccio,25,Terracciano,P,40.5,1.069,43.29,A,Pisa
Pi-Ciaccio,25,Martinez Jo.,P,42.17,1.02,43.0,H,Juventus
Pi-Ciaccio,25,Prati,C,38.87,1.068,41.53,H,Lecce
Pi-Ciaccio,25,Bondo,C,36.75,1.055,38.76,H,Genoa
Pi-Ciaccio,25,Akinsanmiro,C,37.82,0.954,36.07,H,Milan
Pi-Ciaccio,25,Ondrejka,C,27.77,1.03,28.59,H,Verona
