Giocatore,Squadra,RuoloMantra,RealScore,PotentialScore,CreditEfficiencyScore,MarketScoreFinal,Tier,PrezzoAttuale,PrezzoIniziale
Bonny,Inter,A,90.95,81.79,72.09,84.43,SemiTop,17.0,5.0
Martinez L.,Inter,A,94.96,94.74,2.33,76.37,SemiTop,36.0,34.0
Leao,Milan,A,89.63,89.08,16.28,74.8,Titolare,28.0,24.0
Malen,Roma,A,69.71,71.96,70.93,73.9,Titolare,14.0,14.0
Hojlund,Napoli,A,83.41,85.62,32.56,73.9,Titolare,24.0,24.0
Scamacca,Atalanta,A,83.18,82.62,37.21,73.82,Titolare,23.0,19.0
Belotti,Cagliari,A,72.57,69.1,83.72,73.76,Titolare,8.0,12.0
Berardi,Sassuolo,A,83.15,79.18,34.88,72.31,Titolare,23.0,21.0
Nkunku,Milan,A,78.7,74.44,51.16,71.91,Titolare,19.0,20.0
Dovbyk,Roma,A,72.05,65.44,68.6,69.38,Titolare,14.0,21.0
Yildiz,Juventus,A,85.12,84.82,5.81,69.17,Titolare,30.0,24.0
David,Juventus,A,67.36,74.38,65.12,69.02,Titolare,15.0,27.0
Kilicsoy,Cagliari,A,74.39,66.02,59.3,68.86,Titolare,16.0,6.0
Ferguson E.,Roma,A,71.48,67.4,63.95,68.75,Titolare,15.0,19.0
Soulè,Roma,A,80.23,78.83,22.09,68.18,Titolare,24.0,20.0
Thuram,Inter,A,83.28,82.1,8.14,67.9,Titolare,29.0,29.0
Djuric,Cremonese,A,64.02,57.98,90.7,67.54,Titolare,2.0,9.0
Douvikas,Como,A,80.65,72.32,18.6,65.74,Titolare,24.0,8.0
Esposito F.P.,Inter,A,74.88,68.42,38.37,65.64,Titolare,20.0,7.0
Krstovic,Atalanta,A,76.41,70.43,25.58,64.45,Titolare,22.0,20.0
Raspadori,Atalanta,A,65.47,66.58,58.14,64.34,Titolare,15.0,13.0
Vlahovic,Juventus,A,62.18,64.34,61.63,62.72,Titolare,14.0,24.0
Castro S.,Bologna,A,75.18,69.32,20.93,62.57,Titolare,22.0,19.0
Simeone,Torino,A,69.1,62.65,40.7,61.48,Titolare,18.0,8.0
De Ketelaere,Atalanta,A,64.39,67.76,44.19,61.36,Titolare,17.0,22.0
Baturina,Como,C,94.48,87.12,44.15,82.21,SemiTop,17.0,9.0
Neres,Napoli,C,86.5,82.21,40.96,76.1,SemiTop,16.0,13.0
Pulisic,Milan,C,93.18,91.98,0.53,74.29,SemiTop,30.0,28.0
Berisha M.,Lecce,C,82.0,69.95,59.57,73.9,SemiTop,12.0,3.0
McTominay,Napoli,C,90.62,86.7,9.04,73.13,SemiTop,24.0,26.0
Isaksen,Lazio,C,80.53,73.31,47.34,71.73,Titolare,14.0,14.0
Atta,Udinese,C,83.95,77.83,23.4,70.0,Titolare,18.0,6.0
Rabiot,Milan,C,85.44,85.43,1.6,68.67,Titolare,26.0,23.0
Vergara,Napoli,C,66.17,65.7,75.53,67.9,Titolare,6.0,1.0
Miretti,Juventus,C,70.33,67.45,58.51,67.1,Titolare,11.0,5.0
Adzic,Juventus,C,65.76,51.71,92.55,66.9,Titolare,3.0,1.0
Vlasic,Torino,C,77.51,80.17,20.21,66.85,Titolare,18.0,15.0
Loftus-Cheek,Milan,C,78.35,63.95,36.17,65.59,Titolare,14.0,8.0
Modric,Milan,C,79.16,77.79,13.3,65.58,Titolare,20.0,12.0
Zaniolo,Udinese,C,78.83,78.2,12.77,65.43,Titolare,20.0,11.0
Paz N.,Como,C,80.52,82.57,0.0,65.03,Titolare,28.0,20.0
Gudmundsson A.,Fiorentina,C,75.58,75.79,21.81,64.89,Titolare,17.0,24.0
Zielinski,Inter,C,83.17,70.47,4.79,63.68,Titolare,22.0,4.0
Volpato,Sassuolo,C,72.77,58.49,48.4,63.61,Titolare,12.0,5.0
Conceicao,Juventus,C,72.5,69.16,29.79,62.96,Titolare,15.0,18.0
Odgaard,Bologna,C,75.75,69.82,18.09,62.44,Titolare,17.0,16.0
Thorsby,Cremonese,C,75.96,58.14,30.32,61.49,Titolare,14.0,5.0
De Bruyne,Napoli,C,76.1,71.36,8.51,61.16,Titolare,20.0,23.0
Felici,Cagliari,C,67.64,57.15,50.53,61.07,Titolare,11.0,6.0
Basic,Lazio,C,70.69,62.04,35.11,60.98,Titolare,13.0,1.0
Kalulu,Juventus,Dc,87.15,86.55,36.61,76.86,SemiTop,13.0,9.0
Bremer,Juventus,Dc,89.8,90.76,9.84,74.1,SemiTop,17.0,13.0
