rank,squad,projected_pts,projected_gf,projected_ga,projected_gd
1,Inter,88.5,87.43,29.7,57.73
2,Milan,78.88,62.67,26.97,35.7
3,Napoli,74.6,57.52,34.86,22.66
4,Juventus,73.11,65.57,31.78,33.79
5,Roma,71.66,45.93,22.08,23.85
6,Como,69.97,60.83,25.22,35.61
7,Atalanta,61.86,50.41,33.92,16.49
8,Lazio,53.08,41.0,36.48,4.52
9,Bologna,49.68,50.68,49.23,1.45
10,Udinese,46.95,42.67,58.68,-16.02
11,Sassuolo,46.28,43.0,53.01,-10.01
12,Cagliari,45.77,44.3,52.02,-7.73
13,Torino,40.32,38.27,66.67,-28.4
14,Genoa,39.32,45.72,59.1,-13.37
15,Parma,38.7,25.03,47.88,-22.85
16,Cremonese,38.37,33.68,50.92,-17.24
17,Fiorentina,33.83,42.24,59.17,-16.93
18,Lecce,32.46,23.57,50.14,-26.58
19,Pisa,26.23,29.53,62.93,-33.4
20,Verona,24.47,27.5,66.77,-39.27
