Pos,Team,ForzaTitolari,ModuloMigliore,Portiere,Difensori,Centrocampisti,Attaccanti
1,SPARROW,872.11,3-4-3,Maignan,Dimarco; Palestra; Wesley,McTominay; Paz N.; McKennie; Gudmundsson A.,Martinez L.; Esposito F.P.; Malen
2,Tana delle Tigri,867.73,3-4-3,Carnesecchi,Dimarco; Solet; Martin,McTominay; Pulisic; Paz N.; Atta,Martinez L.; Leao; Berardi
3,XLiverpuh,860.97,3-4-3,Svilar,Palestra; Kempf; Valle,Pulisic; Zielinski; Paz N.; Atta,Martinez L.; Yildiz; Hojlund
4,Fc Cortomuso,847.31,3-4-3,Milinkovic-Savic V.,Palestra; Pavlovic; Martin,McTominay; Pulisic; Paz N.; Orsolini,Martinez L.; Leao; Malen
5,LE 4 M,837.04,3-5-2,Di Gregorio,Palestra; Solet; Martin,Pulisic; Zielinski; Paz N.; McKennie; Zaniolo,Martinez L.; Hojlund
6,Lunarossa,834.27,3-4-3,Sommer,Wesley; Bartesaghi; Mina,McTominay; Pulisic; Paz N.; Baturina,Martinez L.; Yildiz; Hojlund
7,Pi-Ciaccio,831.46,3-4-3,Maignan,Bremer; Martin; Mancini,McTominay; Paz N.; Rabiot; Atta,Martinez L.; Douvikas; David
8,A.C.TUA CUCS,829.90,3-4-3,Sommer,Kempf; Martin; Valeri,Pulisic; Calhanoglu; Paz N.; McKennie,Martinez L.; Yildiz; Leao
9,Temptation Haaland,829.65,3-4-3,Maignan,Dimarco; Valeri; Bellanova,McTominay; Pulisic; Paz N.; Baturina,Martinez L.; Malen; David
10,pacho team,825.76,3-4-3,Milinkovic-Savic V.,Ramon; Baschirotto; Martin,Paz N.; McKennie; Baturina; Atta,Martinez L.; Yildiz; Hojlund
11,Concali Craboni FC,825.38,4-4-2,Provedel,Dimarco; Palestra; Akanji; Baschirotto,Pulisic; Paz N.; Zambo Anguissa; Barella,Douvikas; Bonazzoli
12,TomMat-iga,824.12,3-4-3,Maignan,Ramon; Martin; Gosens,McTominay; Pulisic; Paz N.; Orsolini,Martinez L.; Thuram; Malen
