Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
ProPro Proibito,Di Gennaro,P,Inter,1,1
ProPro Proibito,Sommer,P,Inter,16,14
ProPro Proibito,Martinez Jo.,P,Inter,2,1
ProPro Proibito,Luperto,D,Cagliari,7,9
ProPro Proibito,Pezzella Giu.,D,Cremonese,5,4
ProPro Proibito,Rrahmani,D,Napoli,11,13
ProPro Proibito,Bradaric,D,Verona,4,6
ProPro Proibito,Valeri,D,Parma,10,10
ProPro Proibito,Tiago Gabriel,D,Lecce,1,9
ProPro Proibito,Joao Mario,D,Juventus,8,2
ProPro Proibito,Cristante,C,Roma,9,12
ProPro Proibito,Zaniolo,C,Udinese,15,20
ProPro Proibito,McTominay,C,Napoli,26,25
ProPro Proibito,Zalewski,C,Atalanta,7,15
ProPro Proibito,Thuram K.,C,Juventus,16,13
ProPro Proibito,Folorunsho,C,Cagliari,9,8
ProPro Proibito,Paz N.,C,Como,20,30
ProPro Proibito,Hojholt,C,Pisa,1,2
ProPro Proibito,Bonazzoli,A,Cremonese,1,20
ProPro Proibito,Vardy,A,Cremonese,19,20
ProPro Proibito,Leao,A,Milan,26,30
ProPro Proibito,Davis K.,A,Udinese,13,24
ProPro Proibito,Meister,A,Pisa,3,8
AC DENTI,Sommer,P,Inter,10,14
AC DENTI,Ravaglia F.,P,Bologna,3,12
AC DENTI,Martinez Jo.,P,Inter,3,1
AC DENTI,Gosens,D,Fiorentina,18,10
AC DENTI,Cambiaso,D,Juventus,15,10
AC DENTI,Terracciano F.,D,Cremonese,2,11
AC DENTI,Doig,D,Sassuolo,6,6
AC DENTI,Norton-Cuffy,D,Genoa,3,7
AC DENTI,Tiago Gabriel,D,Lecce,1,9
AC DENTI,Veiga D.,D,Lecce,2,5
AC DENTI,Politano,C,Napoli,15,11
AC DENTI,Pulisic,C,Milan,28,31
AC DENTI,Odgaard,C,Bologna,16,18
AC DENTI,McKennie,C,Juventus,6,14
AC DENTI,Aebischer,C,Pisa,4,5
AC DENTI,Karlstrom,C,Udinese,7,10
AC DENTI,Paz N.,C,Como,20,30
AC DENTI,Atta,C,Udinese,6,16
AC DENTI,Kean,A,Fiorentina,33,18
AC DENTI,Cancellieri,A,Lazio,3,14
AC DENTI,Hojlund,A,Napoli,24,25
AC DENTI,Yildiz,A,Juventus,25,30
AC DENTI,Meister,A,Pisa,2,8
