Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
ProPro Proibito,Di Gennaro,P,Int,1,1
ProPro Proibito,Sommer,P,Int,16,16
ProPro Proibito,Martinez Jo.,P,Int,2,2
ProPro Proibito,Luperto,D,Cag,7,7
ProPro Proibito,Pezzella Giu.,D,Cre,5,5
ProPro Proibito,Rrahmani,D,Nap,11,11
ProPro Proibito,Bradaric,D,Ver,4,4
ProPro Proibito,Valeri,D,Par,10,10
ProPro Proibito,Tiago Gabriel,D,Lec,1,1
ProPro Proibito,Joao Mario,D,Juv,8,8
ProPro Proibito,Cristante,C,Rom,9,9
ProPro Proibito,Zaniolo,C,Udi,15,15
ProPro Proibito,McTominay,C,Nap,26,26
ProPro Proibito,Zalewski,C,Ata,7,7
ProPro Proibito,Thuram K.,C,Juv,16,16
ProPro Proibito,Folorunsho,C,Cag,9,9
ProPro Proibito,Paz N.,C,Com,20,20
ProPro Proibito,Hojholt,C,Pis,1,1
ProPro Proibito,Bonazzoli,A,Cre,1,1
ProPro Proibito,Vardy,A,Cre,19,19
ProPro Proibito,Leao,A,Mil,26,26
ProPro Proibito,Davis K.,A,Udi,13,13
ProPro Proibito,Meister,A,Pis,3,3
AC DENTI,Sommer,P,Int,10,10
AC DENTI,Ravaglia F.,P,Bol,3,3
AC DENTI,Martinez Jo.,P,Int,3,3
AC DENTI,Gosens,D,Fio,18,18
AC DENTI,Cambiaso,D,Juv,15,15
AC DENTI,Terracciano F.,D,Cre,2,2
AC DENTI,Doig,D,Sas,6,6
AC DENTI,Norton-Cuffy,D,Gen,3,3
AC DENTI,Tiago Gabriel,D,Lec,1,1
AC DENTI,Veiga D.,D,Lec,2,2
AC DENTI,Politano,C,Nap,15,15
AC DENTI,Pulisic,C,Mil,28,28
AC DENTI,Odgaard,C,Bol,16,16
AC DENTI,McKennie,C,Juv,6,6
AC DENTI,Aebischer,C,Pis,4,4
AC DENTI,Karlstrom,C,Udi,7,7
AC DENTI,Paz N.,C,Com,20,20
AC DENTI,Atta,C,Udi,6,6
AC DENTI,Kean,A,Fio,33,33
AC DENTI,Cancellieri,A,Laz,3,3
AC DENTI,Hojlund,A,Nap,24,24
AC DENTI,Yildiz,A,Juv,25,25
AC DENTI,Meister,A,Pis,2,2
SAGATU,Sommer,P,Int,16,16
SAGATU,Martinez Jo.,P,Int,2,2
SAGATU,Okoye,P,Udi,5,5
SAGATU,Bianchetti,D,Cre,3,3
SAGATU,Gosens,D,Fio,18,18
SAGATU,Cambiaso,D,Juv,11,11
SAGATU,Terracciano F.,D,Cre,2,2
SAGATU,Doig,D,Sas,6,6
SAGATU,Nelsson,D,Ver,4,4
SAGATU,Canestrelli,D,Pis,3,3
SAGATU,Politano,C,Nap,15,15
SAGATU,Pulisic,C,Mil,28,28
SAGATU,Saelemaekers,C,Mil,18,18
SAGATU,Lovric,C,Udi,9,9
SAGATU,Zerbin,C,Cre,3,3
SAGATU,Prati,C,Cag,3,3
SAGATU,Atta,C,Udi,6,6
SAGATU,Hojholt,C,Pis,1,1
SAGATU,Pinamonti,A,Sas,15,15
SAGATU,Vlahovic,A,Juv,21,21
SAGATU,Leao,A,Mil,23,23
SAGATU,Thuram,A,Int,28,28
SAGATU,Giovane,A,Nap,3,3
lagg,Terracciano,P,Mil,1,1
lagg,Maignan,P,Mil,16,16
lagg,Torriani,P,Mil,1,1
lagg,Martin,D,Gen,10,10
lagg,Miranda J.,D,Bol,9,9
lagg,Tavares N.,D,Laz,12,12
lagg,Paz Y.,D,Sas,1,1
lagg,Joao Mario,D,Juv,8,8
lagg,Wesley,D,Rom,15,15
lagg,Heggem,D,Bol,5,5
lagg,Zaccagni,C,Laz,24,24
lagg,Malinovskyi,C,Gen,8,8
lagg,Maldini,C,Laz,9,9
lagg,Da Cunha,C,Com,12,12
lagg,Gudmundsson A.,C,Fio,24,24
lagg,Kaba,C,Lec,2,2
lagg,Prati,C,Cag,3,3
lagg,Paz N.,C,Com,20,20
lagg,Pavoletti,A,Cag,1,1
lagg,Zapata D.,A,Tor,10,10
lagg,Kean,A,Fio,22,22
lagg,Vlahovic,A,Juv,21,21
lagg,Giovane,A,Nap,1,1
BARAKALLAHOUFIK,Milinkovic-Savic V.,P,Nap,4,4
BARAKALLAHOUFIK,Provedel,P,Laz,12,12
BARAKALLAHOUFIK,Mandas *,P,Laz,3,3
BARAKALLAHOUFIK,Bellanova,D,Ata,13,13
BARAKALLAHOUFIK,Cambiaso,D,Juv,15,15
BARAKALLAHOUFIK,Zanoli,D,Udi,3,3
BARAKALLAHOUFIK,Doig,D,Sas,6,6
BARAKALLAHOUFIK,Norton-Cuffy,D,Gen,3,3
BARAKALLAHOUFIK,Dembelè A.,D,Tor,1,1
BARAKALLAHOUFIK,Palestra,D,Cag,4,4
BARAKALLAHOUFIK,Politano,C,Nap,16,16
BARAKALLAHOUFIK,Orsolini,C,Bol,31,31
BARAKALLAHOUFIK,Pulisic,C,Mil,28,28
BARAKALLAHOUFIK,Bondo,C,Cre,3,3
BARAKALLAHOUFIK,Ilkhan,C,Tor,1,1
BARAKALLAHOUFIK,Kaba,C,Lec,1,1
BARAKALLAHOUFIK,Paz N.,C,Com,20,20
BARAKALLAHOUFIK,Cremaschi,C,Par,2,2
BARAKALLAHOUFIK,Kean,A,Fio,33,33
