Team,CreditiResidui
A.C.TUA CUCS,0.0
AC DENTI,10.0
Antibro,1.0
BANDITI,0.0
BARAKALLAHOUFIK,1.0
BOBONE32,0.0
BinuSpuntu,3.0
Boiali,0.0
CISCO TEAM,0.0
CLAN,0.0
Collocolo Team,1.0
Concali Craboni FC,0.0
CuginiDiCampagna,5.0
DEEDPULLY,0.0
DonBosko46,0.0
Due Amici al Var,5.0
EquipoA,0.0
Evergreen,6.0
F.C Pennic Hellas,0.0
FC Buttarighe,7.0
FC Galli,0.0
FC Plasmon,0.0
FC Spiaze,3.0
Fc Cortomuso,6.0
Fc nipiri,0.0
Giubbentus,2.0
HeineKean,1.0
Hellas merdona,1.0
I COMPARI,0.0
I Cigni,0.0
ISGOPPAISI2,8.0
Imperatori del culo,1.0
Ipa Bali,1.0
KARABE 1975,2.0
Kung-Fu Pandev,0.0
LE 4 M,5.0
LEONE,0.0
Leonte FC,3.0
Lions,0.0
Longobarda,0.0
LosPollosHermanos,0.0
Lunarossa,0.0
MARCIO TEAM,1.0
Malmö FF,0.0
Mapoitta,1.0
Nastro Azzurro,10.0
Non troppo cattivi,0.0
OnlyFans,0.0
PEAKY BLINDERS,0.0
Peaky Tunas,7.0
Pi-Ciaccio,0.0
Piovra73,0.0
Plu-Team,0.0
Pro secco,0.0
ProPro Proibito,0.0
ROCKY 3,9.0
Real Mellandro,0.0
Riccardigno,4.0
SAGATU,3.0
SILVEDO,6.0
SMOG,0.0
SPARROW,3.0
SPERA EBBASTA,0.0
SPOSTATI,0.0
Sarzanello Team,0.0
Scarzooka,0.0
Sciabolata Classica,0.0
SerSi-FC,3.0
Sisal Palace,4.0
Tana delle Tigri,0.0
Temptation Haaland,0.0
TomMat-iga,3.0
XLiverpuh,1.0
buttiglia25,0.0
coach 71,0.0
i bro,0.0
i fratelli merda,9.0
kalashnikov,1.0
lagg,0.0
mezzebirre,0.0
pacho team,0.0
puerto rosso blu,1.0
real donk,0.0
scarsenal,0.0
