Giocatore,Squadra,Gol,Autogol,RigoriParati,RigoriSegnati,RigoriSbagliati,Assist,Ammonizioni,Espulsioni,Cleansheet,Partite,Mediavoto,Fantamedia,GolVittoria,GolPareggio,GolSubiti
Audero,Cremonese,0,0,1,0,0,0,0,0,6,20,6.26,5.16,0.0,0.0,0
Bijlow,Genoa,0,0,0,0,0,0,0,0,0,3,6.0,3.5,0.0,0.0,0
Butez,Como,0,0,1,0,0,0,0,0,11,23,6.11,5.5,0.0,0.0,0
Calligaris,Inter,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Caprile,Cagliari,0,0,0,0,0,0,0,0,4,24,6.37,4.98,0.0,0.0,0
Carnesecchi,Atalanta,0,0,2,0,0,0,0,0,8,24,6.46,5.85,0.0,0.0,0
Cavlina,Como,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Christensen O.,Fiorentina,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Ciocci,Cagliari,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Contini,Napoli,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Corvi,Parma,0,0,0,0,0,0,0,0,3,12,6.0,4.5,0.0,0.0,0
De Gea,Fiorentina,0,0,1,0,0,0,0,0,3,24,6.17,4.74,0.0,0.0,0
Di Gennaro,Inter,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Di Gregorio,Juventus,0,0,0,0,0,0,0,0,9,21,6.18,5.4,0.0,0.0,0
Falcone,Lecce,0,0,2,0,0,0,0,0,7,24,6.48,5.39,0.0,0.0,0
Ferrante,Napoli,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Fruchtl,Lecce,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Furlanetto,Lazio,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Gollini,Roma,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Israel,Torino,0,0,0,0,0,0,0,0,3,9,5.89,3.83,0.0,0.0,0
Leali,Genoa,0,0,0,0,0,0,0,0,4,20,6.15,4.8,0.0,0.0,0
Lezzerini,Fiorentina,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Maignan,Milan,0,0,2,0,0,0,0,0,8,22,6.39,5.82,0.0,0.0,0
Martinez Jo.,Inter,0,0,0,0,0,0,0,0,1,2,6.25,5.75,0.0,0.0,0
Meret,Napoli,0,0,0,0,0,0,0,0,2,7,6.25,5.08,0.0,0.0,0
Milinkovic-Savic V.,Napoli,0,0,2,0,0,0,0,0,7,17,6.18,5.76,0.0,0.0,0
Montipò,Verona,0,0,1,0,0,0,0,0,3,21,6.15,4.6,0.0,0.0,0
Motta,Lazio,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Muric,Sassuolo,0,0,0,0,0,0,0,0,5,23,6.16,4.84,0.0,0.0,0
Nava,Cremonese,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Nicolas,Pisa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Nunziante,Udinese,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Okoye,Udinese,0,0,1,0,0,0,0,0,3,16,5.93,4.87,0.0,0.0,0
Padelli,Udinese,0,0,0,0,0,0,0,0,0,2,6.25,5.25,0.0,0.0,0
Paleari,Torino,0,0,0,0,0,0,0,0,5,15,6.14,4.54,0.0,0.0,0
Perilli,Verona,0,0,0,0,0,0,0,0,1,3,6.17,3.83,0.0,0.0,0
Perin,Juventus,0,0,0,0,0,0,0,0,0,3,6.0,5.0,0.0,0.0,0
Pessina Mas.,Bologna,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0.0,0.0,0
Pinsoglio,Juventus,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Provedel,Lazio,0,0,1,0,0,0,0,0,11,24,6.28,5.48,0.0,0.0,0
Ravaglia F.,Bologna,0,0,0,0,0,0,0,0,2,13,6.27,4.46,0.0,0.0,0
Rinaldi,Parma,0,0,0,0,0,0,0,0,1,1,7.0,6.5,0.0,0.0,0
