Giocatore,Posizione,Squadra,Ammonizioni
Malinovskyi,C,Genoa,8
Mancini,D,Roma,8
Pongracic,D,Fiorentina,8
Obert,D,Cagliari,7
Perrone,,Como,7
Ramadani,C,Lecce,7
Smolcic I.,D,Como,7
Gagliardini,,Verona,6
Gaspar K.,,Lecce,6
Hermoso,D,Roma,6
Juan Jesus,D,Napoli,6
Ostigard,D,Genoa,6
Payero,,Cremonese,6
Pezzella Giu.,D,Cremonese,6
Ramon,D,Como,6
Thorstvedt,C,Sassuolo,6
Veiga D.,D,Lecce,6
Zaccagni,C,Lazio,6
Banda,,Lecce,5
Barbieri,D,Cremonese,5
Belghali,D,Verona,5
Calabresi,D,Pisa,5
Caracciolo A.,D,Pisa,5
Casadei,C,Torino,5
Cataldi,,Lazio,5
Cristante,C,Roma,5
De Roon,,Atalanta,5
Diego Carlos,,Como,5
Frese,D,Verona,5
Koopmeiners,C,Juventus,5
Marin M.,C,Pisa,5
Miranda J.,D,Bologna,5
Pellegrini Lu.,D,Lazio,5
Prati,C,Torino,5
Ranieri L.,,Fiorentina,5
Romagnoli,,Lazio,5
Unai Nunez *,,Verona,5
Vlasic,C,Torino,5
Zaniolo,C,Udinese,5
Aboukhlal,A,Torino,4
Addai,A,Como,4
Aebischer,C,Pisa,4
Akpa Akpro,C,Verona,4
Barella,C,Inter,4
Bondo,C,Cremonese,4
Britschgi,,Parma,4
Calhanoglu,C,Inter,4
Cancellieri,A,Lazio,4
Circati,,Parma,4
Da Cunha,C,Como,4
Davis K.,A,Udinese,4
Delprato,D,Parma,4
Dodò,D,Fiorentina,4
Doig,D,Sassuolo,4
Esposito Se.,A,Cagliari,4
Fagioli,C,Fiorentina,4
Ferguson,C,Bologna,4
Fofana Y.,,Milan,4
Freuler,,Bologna,4
Gaetano,,Cagliari,4
Karlstrom,C,Udinese,4
Locatelli,,Juventus,4
Mandragora,,Fiorentina,4
Marcandalli,D,Genoa,4
Masini,,Genoa,4
Matic,,Sassuolo,4
McKennie,C,Juventus,4
Muharemovic,D,Sassuolo,4
Muric,,Sassuolo,4
N'Dicka,D,Roma,4
Nicolussi Caviglia,C,Parma,4
Orban G.,,Verona,4
Parisi,,Fiorentina,4
Paz N.,C,Como,4
Tomori,D,Milan,4
Vardy,A,Cremonese,4
Walukiewicz,D,Sassuolo,4
Wesley,D,Roma,4
Akanji,D,Inter,3
Al-Musrati,,Verona,3
Asllani *,,Torino,3
Athekame,,Milan,3
Bastoni,D,Inter,3
Bella-Kotchap,,Verona,3
Bertola,D,Udinese,3
Bonazzoli,A,Cremonese,3
Borrelli,,Cagliari,3
Cambiaghi,,Bologna,3
Carlos Augusto,,Inter,3
Coppola F.,D,Pisa,3
Coulibaly L.,C,Lecce,3
Deiola,,Cagliari,3
Ekhator,A,Genoa,3
