Giocatore,Posizione,Squadra,Cleansheet
Butez,,Como,11
Provedel,P,Lazio,11
Sommer,P,Inter,10
Svilar,P,Roma,10
Di Gregorio,P,Juventus,9
Carnesecchi,P,Atalanta,8
Maignan,P,Milan,8
Falcone,,Lecce,7
Milinkovic-Savic V.,P,Napoli,7
Audero,,Cremonese,6
Muric,,Sassuolo,5
Paleari,,Torino,5
Caprile,P,Cagliari,4
Leali,,Genoa,4
Semper,P,Pisa,4
Corvi,,Parma,3
De Gea,P,Fiorentina,3
Israel,,Torino,3
Montipò,,Verona,3
Okoye,P,Udinese,3
Skorupski,P,Bologna,3
Suzuki,,Parma,3
Meret,P,Napoli,2
Ravaglia F.,P,Bologna,2
Martinez Jo.,P,Inter,1
Perilli,,Verona,1
Rinaldi,,Parma,1
Sava,P,Udinese,1
Terracciano,P,Milan,1
