Giocatore,Posizione,Squadra,Espulsioni
Banda,A,Lecce,1
Basic,C,Lazio,1
Belahyane,C,Lazio,1
Cambiaghi,A,Bologna,1
Cambiaso,D,Juventus,1
Ceccherini,D,Cremonese,1
Celik,D,Roma,1
De Roon,C,Atalanta,1
Estupinan,D,Milan,1
Gaspar K.,D,Lecce,1
Gila,D,Lazio,1
Heggem,D,Bologna,1
Holm,D,Bologna,1
Konè I.,C,Sassuolo,1
Leali,P,Genoa,1
Marusic,D,Lazio,1
Mazzocchi,D,Napoli,1
Ndiaye,D,Parma,1
Norton-Cuffy,D,Genoa,1
Noslin,A,Lazio,1
Nzola,A,Pisa,1
Okoye,P,Udinese,1
Ordonez C.,C,Parma,1
Ramon,D,Como,1
Rodriguez Je.,A,Como,1
Skorupski,P,Bologna,1
Tourè I.,C,Pisa,1
Troilo,D,Parma,1
Zaccagni,A,Lazio,1
