Giocatore,Posizione,Squadra,Gol
Martinez L.,A,Inter,11
Pulisic,A,Milan,8
Calhanoglu,C,Inter,7
Leao,A,Milan,7
Orsolini,A,Bologna,7
Paz N.,C,Como,7
Castro S.,A,Bologna,6
Hojlund,A,Napoli,6
Mandragora,C,Fiorentina,6
Orban G.,A,Verona,6
Pellegrino M.,A,Parma,6
Soulè,A,Roma,6
Thuram,A,Inter,6
Yildiz,A,Juventus,6
Bonazzoli,A,Cremonese,5
Bonny,A,Inter,5
Colombo,A,Genoa,5
Davis K.,A,Udinese,5
Dimarco,D,Inter,5
Douvikas,A,Como,5
Kean,A,Fiorentina,5
Krstovic,A,Atalanta,5
McTominay,C,Napoli,5
Moreo,A,Pisa,5
Scamacca,A,Atalanta,5
Simeone,A,Torino,5
Vardy,A,Cremonese,5
Zaniolo,C,Udinese,5
Berardi,A,Sassuolo,4
De Bruyne,C,Napoli,4
Gudmundsson A.,A,Fiorentina,4
Nkunku,A,Milan,4
Odgaard,A,Bologna,4
Ostigard,D,Genoa,4
Pinamonti,A,Sassuolo,4
Vlasic,C,Torino,4
Zambo Anguissa,C,Napoli,4
Adams C.,A,Torino,3
Addai,A,Como,3
Baturina,C,Como,3
Borrelli,A,Cagliari,3
Cambiaghi,A,Bologna,3
Cancellieri,A,Lazio,3
David,A,Juventus,3
De Ketelaere,A,Atalanta,3
Dovbyk,A,Roma,3
Esposito F.P.,A,Inter,3
Esposito Se.,A,Cagliari,3
Ferguson E.,A,Roma,3
Giovane,A,Verona,3
Kempf,D,Como,3
Konè I.,C,Sassuolo,3
Laurientè,A,Sassuolo,3
Neres,A,Napoli,3
Nzola,A,Pisa,3
Rabiot,C,Milan,3
Vlahovic,A,Juventus,3
Zaccagni,A,Lazio,3
Zielinski,C,Inter,3
Banda,A,Lecce,2
Bartesaghi,D,Milan,2
Baschirotto,D,Cremonese,2
Belghali,D,Verona,2
Belotti,A,Cagliari,2
Berisha M.,C,Lecce,2
Bernabè,C,Parma,2
Cabal,D,Juventus,2
Casadei,C,Torino,2
Cataldi,C,Lazio,2
Conceicao,A,Juventus,2
Coulibaly L.,C,Lecce,2
Dybala,A,Roma,2
