Giocatore,Posizione,Squadra,GolSubiti
De Gea,P,Fiorentina,36
Montipò,P,Verona,34
Caprile,P,Cagliari,31
Falcone,P,Lecce,30
Muric,P,Sassuolo,27
Leali,P,Genoa,25
Semper,P,Pisa,25
Audero,P,Cremonese,24
Paleari,P,Torino,22
Provedel,P,Lazio,21
Carnesecchi,P,Atalanta,20
Ravaglia F.,P,Bologna,19
Israel,P,Torino,18
Okoye,P,Udinese,18
Sommer,P,Inter,18
Maignan,P,Milan,17
Butez,P,Como,16
Corvi,P,Parma,16
Di Gregorio,P,Juventus,15
Scuffet,P,Pisa,15
Sava,P,Udinese,14
Suzuki,P,Parma,14
Svilar,P,Roma,14
Milinkovic-Savic V.,P,Napoli,13
Meret,P,Napoli,8
Skorupski,P,Bologna,8
Perilli,P,Verona,7
Silvestri,P,Cremonese,7
Bijlow,P,Genoa,5
Sommariva,P,Genoa,4
Perin,P,Juventus,3
Padelli,P,Udinese,2
Turati,P,Sassuolo,2
Martinez Jo.,P,Inter,1
