Giocatore,GolVittoria
Martinez L.,7
Pulisic,4
Bonazzoli,3
Hojlund,3
Pellegrino M.,3
Addai,2
Bonny,2
Castro S.,2
David,2
De Ketelaere,2
Douvikas,2
Dovbyk,2
Ekkelenkamp,2
Esposito F.P.,2
Fadera,2
Ferguson E.,2
Guendouzi *,2
Konè M.,2
Leao,2
Neres,2
Pinamonti,2
Scamacca,2
Simeone,2
Vlasic,2
Wesley,2
Zambo Anguissa,2
Adzic,1
Atta,1
Banda,1
Basic,1
Bastoni,1
Baturina,1
Belotti,1
Benedyczak,1
Berardi,1
Berisha M.,1
Bremer,1
Buksa,1
Calhanoglu,1
Cambiaghi,1
Cambiaso,1
Cancellieri,1
Da Cunha,1
Dallinga,1
De Luca,1
Dybala,1
Fullkrug,1
Gaetano,1
Gatti,1
Giovane,1
Gudmundsson A.,1
Holm,1
Iker B.,1
Isaksen,1
Kalulu,1
Kean,1
Kempf,1
Kilicsoy,1
Konè I.,1
Kossounou,1
Lobotka,1
Loftus-Cheek,1
Lucca *,1
Malen,1
Maripan,1
Mazzitelli,1
McTominay,1
Messias,1
Modric,1
Muharemovic,1
Openda,1
Orban G.,1
Ostigard,1
Palestra,1
Pavlovic,1
Pellegrini Lo.,1
Piccoli,1
Pobega,1
Posch *,1
Scalvini,1
Sorensen O.,1
Sottil,1
Soulè,1
Spinazzola,1
Stulic,1
Thorsby,1
Tourè I.,1
Vardy,1
Vlahovic,1
Yildiz,1
Zaniolo,1
Zanoli,1
