Giocatore,Posizione,Squadra,Mediavoto
Djuric,A,Cremonese,7.0
Rinaldi,P,Parma,7.0
Dimarco,D,Inter,6.71
Rabiot,C,Milan,6.59
Pulisic,C,Milan,6.53
Yildiz,A,Juventus,6.52
Berardi,A,Sassuolo,6.5
Calhanoglu,C,Inter,6.5
Modric,C,Milan,6.5
Pavard,D,Inter,6.5
Vergara,C,Napoli,6.5
Zambo Anguissa,C,Napoli,6.5
Falcone,P,Lecce,6.48
Atta,C,Udinese,6.47
Bremer,D,Juventus,6.46
Carnesecchi,P,Atalanta,6.46
Zielinski,C,Inter,6.44
Palestra,D,Cagliari,6.43
Paz N.,C,Como,6.43
Martinez L.,A,Inter,6.41
Kilicsoy,A,Cagliari,6.4
Locatelli,C,Juventus,6.39
Maignan,P,Milan,6.39
De Bruyne,C,Napoli,6.38
Silvestri,P,Cremonese,6.38
Thuram,A,Inter,6.38
Caprile,P,Cagliari,6.37
Baturina,C,Como,6.36
McTominay,C,Napoli,6.36
Konè M.,C,Roma,6.34
Belotti,A,Cagliari,6.33
Durosinmi,A,Pisa,6.33
Esposito F.P.,A,Inter,6.33
Mazzitelli,C,Cagliari,6.33
Spinazzola,D,Napoli,6.33
Svilar,P,Roma,6.33
Bonny,A,Inter,6.32
Belghali,D,Verona,6.3
Perrone,C,Como,6.29
Bastoni,D,Inter,6.28
Provedel,P,Lazio,6.28
Ramon,D,Como,6.28
Davis K.,A,Udinese,6.27
Kempf,D,Como,6.27
Ravaglia F.,P,Bologna,6.27
Saelemaekers,C,Milan,6.27
Audero,P,Cremonese,6.26
Martinez Jo.,P,Inter,6.25
Meret,P,Napoli,6.25
Padelli,P,Udinese,6.25
Raspadori,A,Atalanta,6.25
Scalvini,D,Atalanta,6.25
Scuffet,P,Pisa,6.25
Volpato,C,Sassuolo,6.25
Zaniolo,C,Udinese,6.25
Pavlovic,D,Milan,6.24
Esposito Se.,A,Cagliari,6.23
Carlos Augusto,D,Inter,6.22
Miretti,C,Juventus,6.22
Rrahmani,D,Napoli,6.21
Thorsby,C,Cremonese,6.21
Akanji,D,Inter,6.2
Kolasinac,D,Atalanta,6.2
Konè I.,C,Sassuolo,6.2
Kostic,C,Juventus,6.2
Celik,D,Roma,6.19
Conceicao,C,Juventus,6.19
Neres,C,Napoli,6.19
Barella,C,Inter,6.18
Di Gregorio,P,Juventus,6.18
Mancini,D,Roma,6.18
McKennie,C,Juventus,6.18
