Giocatore,Posizione,Squadra,RigoriSegnati
Calhanoglu,C,Inter,3
Davis K.,A,Udinese,3
De Bruyne,C,Napoli,3
Gudmundsson A.,C,Fiorentina,3
Orsolini,C,Bologna,3
Vlasic,C,Torino,3
Berardi,A,Sassuolo,2
Cataldi,C,Lazio,2
Da Cunha,C,Como,2
Leao,A,Milan,2
Malinovskyi,C,Genoa,2
Nkunku,A,Milan,2
Nzola,A,Sassuolo,2
Orban G.,A,Verona,2
Pedro,A,Lazio,2
Pellegrini Lo.,C,Roma,2
Scamacca,A,Atalanta,2
Belotti,A,Cagliari,1
Benedyczak,A,Parma,1
Bonazzoli,A,Cremonese,1
Cuadrado,D,Pisa,1
Djuric,A,Cremonese,1
Douvikas,A,Como,1
Kean,A,Fiorentina,1
Mandragora,C,Fiorentina,1
Moreo,A,Pisa,1
Pellegrino M.,A,Parma,1
Tramoni M.,C,Pisa,1
Vlahovic,A,Juventus,1
Yildiz,A,Juventus,1
Zielinski,C,Inter,1
