Giocatore,Ruolo,Squadra,Rigori Segnati,Rigori Sbagliati
Calhanoglu,C,Inter,3,1
Orsolini,A,Bologna,3,1
Gudmundsson,A,Fiorentina,3,0
Vlasic,C,Torino,3,0
De Bruyne,C,Napoli,3,0
Davis K.,A,Udinese,3,0
Nkunku,A,Milan,2,0
Leao,A,Milan,2,0
Orban,A,Verona,2,0
Da Cunha,C,Como,2,0
N'Zola,A,Pisa,2,1
Scamacca,A,Atalanta,2,0
Berardi,A,Sassuolo,2,0
Pellegrini Lo.,C,Roma,2,0
Vlahovic,A,Juventus,1,0
Mandragora,C,Fiorentina,1,0
Pellegrino,A,Parma,1,0
Douvikas,A,Como,1,0
Benedyczak,A,Parma,1,0
Malinovskyi,C,Genoa,1,0
Yildiz,A,Juventus,1,1
Cuadrado,D,Pisa,1,0
Cataldi,C,Lazio,1,0
Moreo,A,Pisa,1,0
Zielinski,C,Inter,1,0
Tramoni,C,Pisa,1,0
Belotti,A,Cagliari,1,0
Bonazzoli,A,Cremonese,1,0
Kean,A,Fiorentina,1,0
Pedro,A,Lazio,1,0
Zapata,A,Torino,0,1
Morata,A,Como,0,1
Stanciu,C,Genoa,0,1
Pulisic,A,Milan,0,1
Camarda,A,Lecce,0,1
Pinamonti,A,Sassuolo,0,1
Cornet,A,Genoa,0,1
Dybala,A,Roma,0,1
Colombo,A,Genoa,0,1
Paz N.,C,Como,0,1
David,A,Juventus,0,1
Asllani,C,Inter,0,1

Classifica rigoristi teorici,Atalanta,Bologna,Cagliari,Como,Cremonese,Fiorentina,Genoa,Inter,Juventus,Lazio,Lecce,Milan,Napoli,Parma,Pisa,Roma,Sassuolo,Torino,Udinese,Verona
1,Scamacca,Orsolini,Esposito Se.,Da Cunha,Vardy,Gudmundsson,Malinovskyi,Calhanoglu,Yildiz,Zaccagni,Stulic,Pulisic,Lukaku,Pellegrino,Tramoni,Dybala,Berardi,Vlasic,Davis K.,Orban
2,De Ketelaere,Immobile,Gaetano,Paz N.,Bonazzoli,Mandragora,Colombo,Zielinski,Locatelli,Cataldi,Cheddira,Leao,Hojlund,Benedyczak,Cuadrado,Pellegrini Lo.,Pinamonti,Zapata,Zaniolo,Sarr
3,Krstovic,Bernardeschi,Kilicsoy,Douvikas,Vandeputte,Kean,Vitinha,Bonny,Davis,Pedro,Camarda,Nkunku,McTominay,Bernabè,Durosinmi,Soulè,Laurientè,Simeone,Solet,Harroui
