Nome,Squadra,Rig parati R8
Audero,Cremonese,1
Butez,Como,1
Falcone,Lecce,1
Provedel,Lazio,1

Nome,Squadra,Autogol R8
Freuler,Bologna,1
Tiago Gabriel,Lecce,1
Muharemovic,Sassuolo,1
Nelsson,Verona,1
Otoa,Genoa,1
Solet,Udinese,1
Unai Nunez,Verona,1
Terracciano F.,Cremonese,1

Nome,Squadra,Rigori Sbagliati R8
Paz N.,Como,1
N'Zola,Pisa,1
Stanciu,Genoa,1
Yildiz,Juventus,1
David,Juventus,1

Nome,Squadra,Gol Subiti R8
Ravaglia F.,Bologna,15
Paleari,Torino,14
Montipo',Verona,13
Audero,Cremonese,12
Caprile,Cagliari,12
Muric,Sassuolo,11
De Gea,Fiorentina,10
Falcone,Lecce,10
Corvi,Parma,9
Scuffet,Pisa,9
Semper,Pisa,9
Provedel,Lazio,8
Maignan,Milan,6
Sommer,Inter,6
Butez,Como,5
Milinkovic Savic V.,Napoli,5
Sava,Udinese,5
Svilar,Roma,5
Leali,Genoa,4
Sommariva,Genoa,4
Okoye,Udinese,4
Carnesecchi,Atalanta,3
Meret,Napoli,3
Bijlow,Genoa,2
Di Gregorio,Juventus,2
Padelli,Udinese,2
Perin,Juventus,1

