#	Giocatore	Pos	Squadra	Presenze	Titolare	Minuti	Goal	Goal Rig	Ass	Gialli	Rossi	Clean Sheet
1	M. Lautaro	Att	INT	8	7	602	5	0	2	1	0	3
2	S. McTominay	Cen	NAP	8	8	720	3	0	1	1	0	4
3	K. Yildiz	Att	JUV	8	8	682	3	0	1	2	0	5
4	N. Paz	Cen	COM	8	7	622	3	0	1	2	0	4
5	F. Dimarco	Dif	INT	6	5	490	3	0	2	0	0	3
6	P. Kalulu	Dif	JUV	8	8	720	1	0	1	0	0	5
7	A. Rabiot	Cen	MIL	8	7	660	2	0	2	2	0	3
8	J. Butez	Por	COM	8	8	720	0	0	0	1	0	5
9	Jacobo Ramon	Dif	COM	7	7	630	1	0	0	3	0	5
10	M. Kone	Cen	ROM	8	8	682	2	0	0	2	0	4
11	A. Rrahmani	Dif	NAP	7	7	596	1	0	0	1	0	4
12	I. Provedel	Por	LAZ	8	8	720	0	0	0	0	0	4
13	G. Orban	Att	VER	8	5	570	5	1	0	1	0	1
14	M. Carnesecchi	Por	ATA	8	8	720	0	0	0	0	0	5
15	S. Lobotka	Cen	NAP	8	7	659	1	0	0	0	0	4
16	G. Di Lorenzo	Dif	NAP	8	8	720	1	0	0	0	0	4
17	P. Zielinski	Cen	INT	8	7	613	2	1	0	0	0	3
18	T. Douvikas	Att	COM	8	6	585	5	1	0	0	0	4
19	Y. Bisseck	Dif	INT	7	7	630	1	0	0	1	0	3
20	A. Gudmundsson	Att	FIO	8	8	689	2	1	2	1	0	1
21	E. Audero	Por	CRE	8	8	720	0	0	0	0	0	2
22	M. Baturina	Cen	COM	7	4	305	3	0	3	0	0	2
23	M. Locatelli	Cen	JUV	8	8	631	0	0	1	1	0	5
24	N. Fagioli	Cen	FIO	8	8	708	0	0	3	2	0	1
25	K. Davis	Att	UDI	8	8	683	3	1	2	0	0	1
26	W. McKennie	Cen	JUV	8	8	688	2	0	1	1	0	5
27	L. da Cunha	Cen	COM	8	8	631	2	2	1	2	0	5
28	M. de Roon	Cen	ATA	8	8	709	1	0	1	1	0	5
29	C. De Ketelaere	Att	ATA	8	8	686	1	0	2	0	0	5
30	P. Comuzzo	Dif	FIO	8	8	708	1	0	0	1	0	1
31	M. Akanji	Dif	INT	8	7	640	0	0	0	1	0	4
32	N. Vlasic	Cen	TOR	8	8	720	3	1	0	2	0	3
33	Bremer	Dif	JUV	8	7	596	1	0	0	0	0	4
34	A. Romagnoli	Dif	LAZ	8	8	720	0	0	0	3	0	4
35	L. Kelly	Dif	JUV	7	7	630	0	0	0	0	0	4
36	M. Frendrup	Cen	GEN	8	8	697	1	0	0	2	0	2
37	M. Maignan	Por	MIL	8	8	720	0	0	0	2	0	3
