ID,Giocatore,Posizione,Squadra,Assist
1,Adams C.,A,Torino,1
2,Banda,A,Lecce,2
3,Bayo V.,A,Udinese,1
4,Benedyczak,A,Parma,1
5,Berardi,A,Sassuolo,3
6,Boga,A,Juventus,1
7,Bonazzoli,A,Cremonese,2
8,Bonny,A,Inter,3
9,Borrelli,A,Cagliari,1
10,Cambiaghi,A,Bologna,4
11,Castellanos,A,Lazio,3
12,Castro S.,A,Bologna,1
13,Colombo,A,Genoa,1
14,Dallinga,A,Bologna,1
15,David,A,Juventus,2
16,Davis K.,A,Udinese,3
17,De Ketelaere,A,Atalanta,3
18,Dominguez B.,A,Bologna,3
19,Dovbyk,A,Roma,1
20,Durosinmi,A,Pisa,1
21,Dybala,A,Roma,3
22,Ekuban,A,Genoa,1
23,Esposito F.P.,A,Inter,3
24,Esposito Se.,A,Cagliari,4
25,Ferguson E.,A,Roma,2
26,Giovane,A,Napoli,5
27,Hojlund,A,Napoli,2
28,Johnsen,A,Cremonese,1
29,Kean,A,Fiorentina,1
30,Krstovic,A,Atalanta,4
31,Lang,A,Napoli,2
32,Laurientè,A,Sassuolo,3
33,Leao,A,Milan,2
34,Martinez L.,A,Inter,4
35,Mosquera,A,Verona,2
36,Ngonge,A,Torino,1
37,Njie,A,Torino,1
38,Nkunku,A,Milan,2
39,Orban G.,A,Verona,1
40,Pedro,A,Lazio,1
41,Pinamonti,A,Sassuolo,3
42,Raspadori,A,Atalanta,1
43,Rodriguez Je.,A,Como,5
44,Sanabria,A,Cremonese,1
45,Scamacca,A,Atalanta,1
46,Soulè,A,Roma,4
47,Sulemana K.,A,Atalanta,1
48,Thuram,A,Inter,3
49,Vitinha O.,A,Genoa,1
50,Yildiz,A,Juventus,4
51,Akinsanmiro,C,Pisa,1
52,Al-Musrati,C,Verona,1
53,Atta,C,Udinese,3
54,Barella,C,Inter,5
55,Basic,C,Lazio,2
56,Baturina,C,Como,3
57,Belahyane,C,Lazio,1
58,Berisha M.,C,Lecce,3
