Giocatore,Posizione,Squadra,Cleansheet
1	J. Butez	Por	COM	11
2	I. Provedel	Por	LAZ	11
3	M. Svilar	Por	ROM	10
4	Y. Sommer	Por	INT	10
5	M. Di Gregorio	Por	JUV	9
6	M. Maignan	Por	MIL	8
7	M. Carnesecchi	Por	ATA	8
8	V. Milinkovic-Savic	Por	NAP	7
9	W. Falcone	Por	LEC	7
10	E. Audero	Por	CRE	6
11	A. Muric	Por	SAS	5
12	A. Paleari	Por	TOR	5
13	N. Leali	Por	GEN	4
14	E. Caprile	Por	CAG	4
15	A. Semper	Por	PIS	4
16	M. Okoye	Por	UDI	3
17	Z. Suzuki	Por	PAR	3
18	L. Skorupski	Por	BOL	3
19	F. Israel	Por	TOR	3
20	L. Montipo	Por	VER	3
21	E. Corvi	Por	PAR	3
22	David de Gea	Por	FIO	3
23	F. Ravaglia	Por	BOL	2
24	A. Meret	Por	NAP	2
25	F. Rinaldi	Por	PAR	1
26	R. Sava	Por	UDI	1
27	S. Perilli	Por	VER	1
28	Josep Martinez	Por	INT	1
29	P. Terracciano	Por	MIL	1

