ID,Giocatore,Posizione,Squadra,Espulsioni
1,Banda,A,Lecce,1
2,Cambiaghi,A,Bologna,1
3,Morata,A,Como,1
4,Noslin,A,Lazio,1
5,Nzola,A,Sassuolo,1
6,Orban G.,A,Verona,1
7,Rodriguez Je.,A,Como,1
8,Sarr A.,A,Verona,1
9,Basic,C,Lazio,1
10,Belahyane,C,Lazio,1
11,De Roon,C,Atalanta,1
12,Guendouzi,C,Lazio,1
13,Konè I.,C,Sassuolo,1
14,Matic,C,Sassuolo,1
15,Ordonez C.,C,Parma,1
16,Pobega,C,Bologna,1
17,Rabiot,C,Milan,1
18,Tourè I.,C,Pisa,1
19,Zaccagni,C,Lazio,1
20,Ahanor,D,Atalanta,1
21,Cambiaso,D,Juventus,1
22,Ceccherini,D,Cremonese,1
23,Celik,D,Roma,1
24,Estupinan,D,Milan,1
25,Gaspar K.,D,Lecce,1
26,Gila,D,Lazio,1
27,Heggem,D,Bologna,1
28,Holm,D,Juventus,1
29,Juan Jesus,D,Napoli,1
30,Kalulu,D,Juventus,1
31,Marusic,D,Lazio,1
32,Mazzocchi,D,Napoli,1
33,Ndiaye,D,Parma,1
34,Norton-Cuffy,D,Genoa,1
35,Ramon,D,Como,1
36,Troilo,D,Parma,2
37,Viti,D,Fiorentina,1
38,Leali,P,Genoa,1
39,Okoye,P,Udinese,1
40,Skorupski,P,Bologna,1
