ID,Giocatore,Posizione,Squadra,Fantamedia
1,Aboukhlal,A,Torino,5.64
2,Adams C.,A,Torino,6.5
3,Addai,A,Como,6.54
4,Almqvist,A,Parma,5.88
5,Ambrosino,A,Napoli,5.5
6,Banda,A,Lecce,6.42
7,Bayo V.,A,Udinese,5.8
8,Belotti,A,Cagliari,8.33
9,Benedyczak,A,Parma,6.3
10,Berardi,A,Sassuolo,7.53
11,Boga,A,Juventus,6.75
12,Bonazzoli,A,Cremonese,6.8
13,Bonny,A,Inter,7.61
14,Borrelli,A,Cagliari,6.36
15,Bowie,A,Verona,5.75
16,Bravo,A,Udinese,6.62
17,Buksa,A,Udinese,6.08
18,Camarda,A,Lecce,5.62
19,Cambiaghi,A,Bologna,6.64
20,Cancellieri,A,Lazio,6.41
21,Castellanos,A,Lazio,6.82
22,Castro S.,A,Bologna,7.09
23,Cheddira,A,Lecce,6.05
24,Colombo,A,Genoa,6.54
25,Cutrone,A,Parma,5.93
26,Dallinga,A,Bologna,5.97
27,David,A,Juventus,6.48
28,Davis K.,A,Udinese,7.27
29,De Ketelaere,A,Atalanta,6.69
30,De Luca,A,Cremonese,10.0
31,Dia,A,Lazio,5.79
32,Diao,A,Como,5.75
33,Djuric,A,Cremonese,5.88
34,Dominguez B.,A,Bologna,6.15
35,Douvikas,A,Como,7.23
36,Dovbyk,A,Roma,6.83
37,Durosinmi,A,Pisa,7.12
38,Dybala,A,Roma,6.44
39,Dzeko,A,Fiorentina,5.56
40,Ekhator,A,Genoa,6.25
41,Ekuban,A,Genoa,6.32
42,Esposito F.P.,A,Inter,7.13
43,Esposito Se.,A,Cagliari,6.67
44,Ferguson E.,A,Roma,6.86
45,Fullkrug,A,Milan,5.86
46,Gimenez,A,Milan,5.5
47,Giovane,A,Napoli,6.56
48,Gueye,A,Udinese,5.42
49,Hojlund,A,Napoli,7.31
50,Immobile,A,Bologna,5.5
51,Isaac,A,Verona,6.0
52,Johnsen,A,Cremonese,6.28
53,Kean,A,Fiorentina,6.84
54,Kilicsoy,A,Cagliari,7.36
55,Kouamè,A,Fiorentina,6.0
56,Krstovic,A,Atalanta,7.32
57,Kuhn,A,Como,6.21
58,Kulenovic,A,Torino,5.5
59,Lang,A,Napoli,6.32
60,Laurientè,A,Sassuolo,6.73
61,Leao,A,Milan,7.41
62,Lookman,A,Atalanta,6.4
63,Lucca,A,Napoli,6.0
64,Luvumbo,A,Cagliari,5.8
65,Malen,A,Roma,9.7
66,Martinez L.,A,Inter,8.18
67,Meister,A,Pisa,6.0
68,Morata,A,Como,5.12
69,Moreo,A,Pisa,6.7
70,Moro L.,A,Sassuolo,5.6
71,Mosquera,A,Verona,6.08
72,Moumbagna,A,Cremonese,5.6
73,N'Dri,A,Lecce,6.45
74,Ngonge,A,Torino,6.0
75,Njie,A,Torino,6.75
76,Nkunku,A,Milan,7.06
77,Noslin,A,Lazio,6.12
78,Nzola,A,Sassuolo,6.17
79,Okereke,A,Cremonese,6.0
80,Openda,A,Juventus,6.08
81,Orban G.,A,Verona,6.77
82,Pavoletti,A,Cagliari,5.75
83,Pedro,A,Lazio,6.75
84,Pellegrino M.,A,Parma,6.82
85,Piccoli,A,Fiorentina,6.06
86,Pierini,A,Sassuolo,5.88
87,Pinamonti,A,Sassuolo,6.46
88,Raspadori,A,Atalanta,7.38
