ID,Giocatore,Posizione,Squadra,Gol subiti
1,Audero,P,Cremonese,26
2,Bijlow,P,Genoa,8
3,Butez,P,Como,18
4,Caprile,P,Cagliari,33
5,Carnesecchi,P,Atalanta,21
6,Corvi,P,Parma,17
7,De Gea,P,Fiorentina,39
8,Di Gregorio,P,Juventus,20
9,Falcone,P,Lecce,31
10,Israel,P,Torino,18
11,Leali,P,Genoa,25
12,Maignan,P,Milan,18
13,Martinez Jo.,P,Inter,1
14,Meret,P,Napoli,10
15,Milinkovic-Savic V.,P,Napoli,15
16,Montipò,P,Verona,36
17,Muric,P,Sassuolo,33
18,Nicolas,P,Pisa,2
19,Okoye,P,Udinese,22
20,Padelli,P,Udinese,2
21,Paleari,P,Torino,26
22,Perilli,P,Verona,7
23,Perin,P,Juventus,3
24,Provedel,P,Lazio,25
25,Ravaglia F.,P,Bologna,22
26,Sava,P,Udinese,14
27,Scuffet,P,Pisa,15
28,Semper,P,Pisa,25
29,Silvestri,P,Cremonese,7
30,Skorupski,P,Bologna,10
31,Sommariva,P,Genoa,4
32,Sommer,P,Inter,20
33,Suzuki,P,Parma,14
34,Svilar,P,Roma,16
35,Turati,P,Sassuolo,2
