ID,Giocatore,Posizione,Squadra,Gol fatti
1,Adams C.,A,Torino,4
2,Addai,A,Como,3
3,Banda,A,Lecce,3
4,Belotti,A,Cagliari,2
5,Benedyczak,A,Parma,1
6,Berardi,A,Sassuolo,5
7,Bonazzoli,A,Cremonese,5
8,Bonny,A,Inter,5
9,Borrelli,A,Cagliari,3
10,Bravo,A,Udinese,1
11,Buksa,A,Udinese,1
12,Camarda,A,Lecce,1
13,Cambiaghi,A,Bologna,3
14,Cancellieri,A,Lazio,3
15,Castellanos,A,Lazio,2
16,Castro S.,A,Bologna,7
17,Cheddira,A,Lecce,1
18,Colombo,A,Genoa,6
19,Cutrone,A,Parma,1
20,Dallinga,A,Bologna,1
21,David,A,Juventus,5
22,Davis K.,A,Udinese,7
23,De Ketelaere,A,Atalanta,3
24,De Luca,A,Cremonese,1
25,Dia,A,Lazio,1
26,Douvikas,A,Como,8
27,Dovbyk,A,Roma,3
28,Durosinmi,A,Pisa,1
29,Dybala,A,Roma,2
30,Ekhator,A,Genoa,2
31,Ekuban,A,Genoa,2
32,Esposito F.P.,A,Inter,4
33,Esposito Se.,A,Cagliari,3
34,Ferguson E.,A,Roma,3
35,Fullkrug,A,Milan,1
36,Giovane,A,Napoli,3
37,Hojlund,A,Napoli,8
38,Johnsen,A,Cremonese,1
39,Kean,A,Fiorentina,7
40,Kilicsoy,A,Cagliari,4
41,Krstovic,A,Atalanta,7
42,Kuhn,A,Como,1
43,Lang,A,Napoli,1
44,Laurientè,A,Sassuolo,4
45,Leao,A,Milan,7
46,Lookman,A,Atalanta,2
47,Lucca,A,Napoli,1
48,Malen,A,Roma,5
49,Martinez L.,A,Inter,14
50,Meister,A,Pisa,2
51,Moreo,A,Pisa,5
52,N'Dri,A,Lecce,2
53,Ngonge,A,Torino,1
54,Njie,A,Torino,1
55,Nkunku,A,Milan,5
56,Noslin,A,Lazio,2
57,Nzola,A,Sassuolo,3
58,Openda,A,Juventus,1
59,Orban G.,A,Verona,7
60,Pedro,A,Lazio,3
61,Pellegrino M.,A,Parma,7
62,Piccoli,A,Fiorentina,2
63,Pinamonti,A,Sassuolo,5
64,Raspadori,A,Atalanta,1
65,Sanabria,A,Cremonese,1
66,Scamacca,A,Atalanta,6
67,Simeone,A,Torino,5
68,Solomon,A,Fiorentina,2
69,Soulè,A,Roma,6
70,Stulic,A,Lecce,2
71,Sulemana K.,A,Atalanta,2
72,Thuram,A,Inter,7
73,Vardy,A,Cremonese,5
74,Vitinha O.,A,Genoa,3
75,Vlahovic,A,Juventus,3
76,Yildiz,A,Juventus,8
77,Zapata D.,A,Torino,1
78,Adopo,C,Cagliari,1
79,Adzic,C,Juventus,1
80,Aebischer,C,Pisa,1
81,Atta,C,Udinese,2
82,Baldanzi,C,Genoa,1
83,Barella,C,Inter,1
84,Basic,C,Lazio,1
85,Baturina,C,Como,4
86,Berisha M.,C,Lecce,2
87,Bernabè,C,Parma,3
88,Bernardeschi,C,Bologna,1
89,Bernede,C,Verona,1
90,Brescianini,C,Fiorentina,2
91,Calhanoglu,C,Inter,7
92,Caqueret,C,Como,1
93,Casadei,C,Torino,3
94,Cataldi,C,Lazio,3
95,Conceicao,C,Juventus,2
96,Coulibaly L.,C,Lecce,2
97,Cristante,C,Roma,1
98,Da Cunha,C,Como,2
99,De Bruyne,C,Napoli,4
