Giocatore,Gol Vittoria
Martinez L.,7
Pulisic,4
Bonazzoli,3
Hojlund,3
Pellegrino M.,3
Bonny,2
Simeone,2
Fadera,2
Douvikas,2
Scamacca,2
Esposito F.P.,2
Neres,2
Pinamonti,2
Zambo Anguissa,2
Castro S.,2
Ekkelenkamp,2
Guendouzi *,2
Konè M.,2
De Ketelaere,2
Wesley,2
David,2
Vlasic,2
Addai,2
Ferguson E.,2
Leao,2
Dovbyk,2
Banda,1
Giovane,1
Pellegrini Lo.,1
Kempf,1
Dallinga,1
Malen,1
Vlahovic,1
Openda,1
Belotti,1
Holm,1
Pobega,1
Cambiaghi,1
Kossounou,1
Spinazzola,1
McTominay,1
Zaniolo,1
Atta,1
Gatti,1
Pavlovic,1
Kean,1
Da Cunha,1
Lucca,1
Vardy,1
Baturina,1
Calhanoglu,1
Konè I.,1
Soulè,1
De Luca,1
Mazzitelli,1
Yildiz,1
Gaetano,1
Palestra,1
Berisha M.,1
Kalulu,1
Scalvini,1
Loftus-Cheek,1
Tourè I.,1
Muharemovic,1
Bastoni,1
Piccoli,1
Buksa,1
Sottil,1
Adzic,1
Fullkrug,1
Ostigard,1
Berardi,1
Isaksen,1
Cancellieri,1
Lobotka,1
Thorsby,1
Modric,1
Dybala,1
Basic,1
Gudmundsson A.,1
Bremer,1
Kilicsoy,1
Sorensen O,1
Maripan,1
Orban G.,1
Benedyczak,1
Iker B.,1
Posch,1
Cambiaso,1
Stulic,1
Messias,1
Zanoli,1
