ID,Giocatore,Posizione,Squadra,Mediavoto
1,Aboukhlal,A,Torino,5.77
2,Adams C.,A,Torino,5.93
3,Addai,A,Como,5.96
4,Almqvist,A,Parma,5.88
5,Ambrosino,A,Napoli,5.5
6,Banda,A,Lecce,6.03
7,Bayo V.,A,Udinese,5.7
8,Belotti,A,Cagliari,6.33
9,Benedyczak,A,Parma,5.95
10,Berardi,A,Sassuolo,6.4
11,Boga,A,Juventus,6.25
12,Bonazzoli,A,Cremonese,6.09
13,Bonny,A,Inter,6.32
14,Borrelli,A,Cagliari,5.95
15,Bowie,A,Verona,5.75
16,Bravo,A,Udinese,6.0
17,Buksa,A,Udinese,5.88
18,Camarda,A,Lecce,5.66
19,Cambiaghi,A,Bologna,6.06
20,Cancellieri,A,Lazio,6.0
21,Castellanos,A,Lazio,6.09
22,Castro S.,A,Bologna,6.11
23,Cheddira,A,Lecce,5.75
24,Colombo,A,Genoa,5.9
25,Cutrone,A,Parma,5.71
26,Dallinga,A,Bologna,5.75
27,David,A,Juventus,5.81
28,Davis K.,A,Udinese,6.27
29,De Ketelaere,A,Atalanta,6.17
30,De Luca,A,Cremonese,7.0
31,Dia,A,Lazio,5.57
32,Diao,A,Como,5.75
33,Djuric,A,Cremonese,6.0
34,Dominguez B.,A,Bologna,5.9
35,Douvikas,A,Como,6.14
36,Dovbyk,A,Roma,6.0
37,Durosinmi,A,Pisa,6.12
38,Dybala,A,Roma,6.09
39,Dzeko,A,Fiorentina,5.62
40,Ekhator,A,Genoa,5.94
41,Ekuban,A,Genoa,5.95
42,Esposito F.P.,A,Inter,6.37
43,Esposito Se.,A,Cagliari,6.2
44,Ferguson E.,A,Roma,6.11
45,Fullkrug,A,Milan,5.86
46,Gimenez,A,Milan,5.56
47,Giovane,A,Napoli,6.02
48,Gueye,A,Udinese,5.58
49,Hojlund,A,Napoli,6.1
50,Immobile,A,Bologna,5.58
51,Isaac,A,Verona,6.0
52,Johnsen,A,Cremonese,5.83
53,Kean,A,Fiorentina,5.91
54,Kilicsoy,A,Cagliari,6.27
55,Kouamè,A,Fiorentina,6.0
56,Krstovic,A,Atalanta,6.12
57,Kuhn,A,Como,5.96
58,Kulenovic,A,Torino,5.5
59,Lang,A,Napoli,6.04
60,Laurientè,A,Sassuolo,6.15
61,Leao,A,Milan,6.09
62,Lookman,A,Atalanta,5.8
63,Lucca,A,Napoli,5.72
64,Luvumbo,A,Cagliari,5.8
65,Malen,A,Roma,6.7
66,Martinez L.,A,Inter,6.4
67,Meister,A,Pisa,5.71
68,Morata,A,Como,5.46
69,Moreo,A,Pisa,6.07
70,Moro L.,A,Sassuolo,5.7
71,Mosquera,A,Verona,5.96
72,Moumbagna,A,Cremonese,5.6
73,N'Dri,A,Lecce,5.95
74,Ngonge,A,Torino,5.82
75,Njie,A,Torino,5.75
76,Nkunku,A,Milan,6.0
77,Noslin,A,Lazio,5.71
78,Nzola,A,Sassuolo,5.92
