ID,Giocatore,Posizione,Squadra,Partite giocate
1,Aboukhlal,A,Torino,11
2,Adams C.,A,Torino,23
3,Addai,A,Como,12
4,Almqvist,A,Parma,8
5,Ambrosino,A,Napoli,1
6,Banda,A,Lecce,19
7,Bayo V.,A,Udinese,10
8,Belotti,A,Cagliari,3
9,Benedyczak,A,Parma,10
10,Berardi,A,Sassuolo,15
11,Boga,A,Juventus,2
12,Bonazzoli,A,Cremonese,22
13,Bonny,A,Inter,14
14,Borrelli,A,Cagliari,21
15,Bowie,A,Verona,2
16,Bravo,A,Udinese,4
17,Buksa,A,Udinese,13
18,Camarda,A,Lecce,16
19,Cambiaghi,A,Bologna,18
20,Cancellieri,A,Lazio,17
21,Castellanos,A,Lazio,11
22,Castro S.,A,Bologna,22
23,Cheddira,A,Lecce,10
24,Colombo,A,Genoa,24
25,Cutrone,A,Parma,14
26,Dallinga,A,Bologna,16
27,David,A,Juventus,21
28,Davis K.,A,Udinese,22
29,De Ketelaere,A,Atalanta,21
30,De Luca,A,Cremonese,1
31,Dia,A,Lazio,14
32,Diao,A,Como,6
33,Djuric,A,Cremonese,4
34,Dominguez B.,A,Bologna,10
35,Douvikas,A,Como,22
36,Dovbyk,A,Roma,12
37,Durosinmi,A,Pisa,4
38,Dybala,A,Roma,17
39,Dzeko,A,Fiorentina,8
40,Ekhator,A,Genoa,16
41,Ekuban,A,Genoa,19
42,Esposito F.P.,A,Inter,19
43,Esposito Se.,A,Cagliari,23
44,Ferguson E.,A,Roma,14
45,Fullkrug,A,Milan,7
46,Gimenez,A,Milan,9
47,Giovane,A,Napoli,24
48,Gueye,A,Udinese,6
49,Hojlund,A,Napoli,21
50,Immobile,A,Bologna,6
51,Isaac,A,Verona,1
52,Johnsen,A,Cremonese,9
53,Kean,A,Fiorentina,22
54,Kilicsoy,A,Cagliari,11
55,Kouamè,A,Fiorentina,1
56,Krstovic,A,Atalanta,20
57,Kuhn,A,Como,12
58,Kulenovic,A,Torino,1
59,Lang,A,Napoli,14
60,Laurientè,A,Sassuolo,24
61,Leao,A,Milan,17
62,Lookman,A,Atalanta,10
63,Lucca,A,Napoli,9
64,Luvumbo,A,Cagliari,10
65,Malen,A,Roma,5
66,Martinez L.,A,Inter,25
67,Meister,A,Pisa,19
68,Morata,A,Como,13
69,Moreo,A,Pisa,22
70,Moro L.,A,Sassuolo,5
71,Mosquera,A,Verona,12
72,Moumbagna,A,Cremonese,5
73,N'Dri,A,Lecce,10
74,Ngonge,A,Torino,17
75,Njie,A,Torino,4
76,Nkunku,A,Milan,16
77,Noslin,A,Lazio,12
78,Nzola,A,Sassuolo,18
79,Okereke,A,Cremonese,2
80,Openda,A,Juventus,13
81,Orban G.,A,Verona,22
82,Pavoletti,A,Cagliari,4
83,Pedro,A,Lazio,14
84,Pellegrino M.,A,Parma,25
85,Piccoli,A,Fiorentina,18
86,Pierini,A,Sassuolo,4
87,Pinamonti,A,Sassuolo,24
88,Raspadori,A,Atalanta,4
89,Ratkov,A,Lazio,5
90,Rodriguez Je.,A,Como,20
91,Sanabria,A,Cremonese,16
92,Sarr A.,A,Verona,23
93,Scamacca,A,Atalanta,15
94,Simeone,A,Torino,19
95,Solomon,A,Fiorentina,7
96,Soulè,A,Roma,24
97,Stojilkovic,A,Pisa,3
98,Stulic,A,Lecce,22
99,Sulemana K.,A,Atalanta,15
100,Thuram,A,Inter,19
101,Vardy,A,Cremonese,21
102,Vaz,A,Roma,3
103,Vitinha O.,A,Genoa,21
104,Vlahovic,A,Juventus,13
105,Yildiz,A,Juventus,24
106,Zapata D.,A,Torino,14
107,Adopo,C,Cagliari,24
108,Adzic,C,Juventus,4
109,Aebischer,C,Pisa,24
110,Akinsanmiro,C,Pisa,14
111,Akpa Akpro,C,Verona,10
112,Al-Musrati,C,Verona,10
113,Anjorin,C,Torino,7
114,Asllani,C,Torino,14
115,Atta,C,Udinese,20
116,Bailey,C,Roma,5
117,Baldanzi,C,Genoa,10
118,Barella,C,Inter,23
119,Basic,C,Lazio,16
120,Baturina,C,Como,12
121,Belahyane,C,Lazio,8
122,Berisha M.,C,Lecce,12
123,Bernabè,C,Parma,25
124,Bernardeschi,C,Bologna,14
125,Bernede,C,Verona,24
126,Boloca,C,Sassuolo,2
127,Bondo,C,Cremonese,20
128,Brescianini,C,Fiorentina,10
129,Calhanoglu,C,Inter,17
130,Caqueret,C,Como,17
131,Carboni V.,C,Genoa,10
132,Casadei,C,Torino,22
133,Cataldi,C,Lazio,22
134,Chukwueze,C,Milan,1
135,Collocolo,C,Cremonese,4
136,Conceicao,C,Juventus,17
137,Cornet,C,Genoa,5
138,Coulibaly L.,C,Lecce,20
139,Cristante,C,Roma,24
140,Da Cunha,C,Como,22
141,De Bruyne,C,Napoli,8
142,De Roon,C,Atalanta,21
143,Deiola,C,Cagliari,12
144,Dele-Bashiru,C,Lazio,9
145,Diouf,C,Inter,5
146,Ederson D.S.,C,Atalanta,21
147,Ekkelenkamp,C,Udinese,21
148,El Aynaoui,C,Roma,11
149,El Shaarawy,C,Roma,11
150,Ellertsson,C,Genoa,23
151,Elmas,C,Napoli,20
152,Estevez,C,Parma,14
153,Fabbian,C,Fiorentina,15
154,Fadera,C,Sassuolo,21
155,Fagioli,C,Fiorentina,22
156,Fazzini,C,Fiorentina,8
157,Felici,C,Cagliari,11
158,Ferguson,C,Bologna,16
159,Fini,C,Genoa,1
160,Fofana Y.,C,Milan,20
161,Folorunsho,C,Cagliari,16
162,Frattesi,C,Inter,8
163,Frendrup,C,Genoa,24
164,Freuler,C,Bologna,17
165,Gaetano,C,Cagliari,22
166,Gagliardini,C,Verona,18
167,Gandelman,C,Lecce,5
168,Gilmour,C,Napoli,6
169,Gineitis,C,Torino,15
170,Gorter,C,Lecce,1
171,Grassi,C,Cremonese,18
172,Gronbaek,C,Genoa,2
173,Gudmundsson A.,C,Fiorentina,22
174,Guendouzi,C,Lazio,16
175,Harrison,C,Fiorentina,3
176,Harroui,C,Verona,9
177,Helgason,C,Lecce,3
178,Hernani,C,Parma,3
179,Hojholt,C,Pisa,6
180,Iannoni,C,Sassuolo,4
181,Ilic,C,Torino,7
182,Iling Junior,C,Pisa,1
183,Ilkhan,C,Torino,9
184,Isaksen,C,Lazio,16
185,Jashari,C,Milan,5
186,Kaba,C,Lecce,11
187,Karlstrom,C,Udinese,25
188,Kastanos,C,Verona,1
189,Keita M.,C,Parma,23
190,Konè I.,C,Sassuolo,22
191,Konè M.,C,Roma,22
192,Koopmeiners,C,Juventus,20
193,Kostic,C,Juventus,10
194,Leris,C,Pisa,21
195,Lipani,C,Sassuolo,11
196,Liteta,C,Cagliari,2
197,Lobotka,C,Napoli,20
198,Locatelli,C,Juventus,24
199,Loftus-Cheek,C,Milan,19
200,Lorran,C,Pisa,4
201,Lovric,C,Verona,5
202,Loyola,C,Pisa,3
203,Luis Henrique,C,Inter,18
204,Maldini,C,Lazio,9
205,Maleh,C,Cremonese,11
206,Malinovskyi,C,Genoa,23
207,Mandragora,C,Fiorentina,25
208,Marin M.,C,Pisa,17
209,Masini,C,Genoa,16
210,Matic,C,Sassuolo,23
211,Mazzitelli,C,Cagliari,10
212,McKennie,C,Juventus,22
213,McTominay,C,Napoli,23
214,Messias,C,Genoa,9
215,Miller L.,C,Udinese,10
216,Miretti,C,Juventus,10
217,Mkhitaryan,C,Inter,18
218,Modric,C,Milan,22
219,Moro N.,C,Bologna,17
220,Musah,C,Atalanta,11
221,Ndour,C,Fiorentina,17
222,Neres,C,Napoli,16
223,Niasse,C,Verona,15
224,Nicolussi Caviglia,C,Parma,11
225,Odgaard,C,Bologna,16
226,Onana J.,C,Genoa,1
227,Ondrejka,C,Parma,12
228,Ordonez C.,C,Parma,10
229,Oristanio,C,Parma,14
230,Orsolini,C,Bologna,22
231,Pasalic,C,Atalanta,19
232,Payero,C,Cremonese,17
233,Paz N.,C,Como,24
234,Pellegrini Lo.,C,Roma,17
235,Perrone,C,Como,22
236,Piccinini G.,C,Pisa,12
237,Pierotti,C,Lecce,23
238,Pierret,C,Lecce,1
