ID,Giocatore,Posizione,Squadra,Rigori segnati
1,Belotti,A,Cagliari,1
2,Benedyczak,A,Parma,1
3,Berardi,A,Sassuolo,2
4,Bonazzoli,A,Cremonese,1
5,Davis K.,A,Udinese,3
6,De Luca,A,Cremonese,1
7,Douvikas,A,Como,1
8,Hojlund,A,Napoli,1
9,Kean,A,Fiorentina,2
10,Leao,A,Milan,2
11,Malen,A,Roma,1
12,Moreo,A,Pisa,1
13,Nkunku,A,Milan,3
14,Nzola,A,Sassuolo,2
15,Orban G.,A,Verona,2
16,Pedro,A,Lazio,2
17,Pellegrino M.,A,Parma,1
18,Scamacca,A,Atalanta,2
19,Vlahovic,A,Juventus,1
20,Yildiz,A,Juventus,1
21,Calhanoglu,C,Inter,3
22,Cataldi,C,Lazio,2
23,Da Cunha,C,Como,2
24,De Bruyne,C,Napoli,3
25,Ederson D.S.,C,Atalanta,1
26,Gudmundsson A.,C,Fiorentina,3
27,Harroui,C,Verona,1
28,Malinovskyi,C,Genoa,3
29,Mandragora,C,Fiorentina,1
30,Orsolini,C,Bologna,3
31,Pellegrini Lo.,C,Roma,2
32,Tramoni M.,C,Pisa,1
33,Vlasic,C,Torino,3
34,Zielinski,C,Inter,1
35,Cuadrado,D,Pisa,1
36,Solet,D,Udinese,1
