Posizione,Squadra,Punti,Vittorie,Pari,Sconfitte,Goal_Fatti,Goal_Subiti
1	inter	52	17	1	4	50	19
2	milan	47	13	8	1	35	17
3	roma	43	14	1	7	27	13
4	napoli	43	13	4	5	31	20
5	juventus    42	12	6	4	35	17
6	como	40	11	7	4	37	16
7	atalanta	35	9	8	5	30	20
8	bologna	30	8	6	8	32	27
9	lazio	29	7	8	7	21	19
10	udinese	29	8	5	9	25	34
11	sassuolo	26	7	5	10	24	28
12	cagliari	25	6	7	9	24	31
13	genoa	23	5	8	9	25	31
14	cremonese	23	5	8	9	20	29
15	parma	23	5	8	9	14	26
16	torino	23	6	5	11	21	40
17	lecce	18	4	6	12	13	29
18	fiorentina	17	3	8	11	24	34
19	verona	14	2	8	12	18	37
20	pisa	14	1	11	10	18	37
