Posizione,Squadra,Punti,Vittorie,Pari,Sconfitte,Goal_Fatti,Goal_Subiti
1	inter	22	7	1	0	18	6
2	juventus	19	6	1	1	17	3
3	atalanta	19	6	1	1	13	3
4	como	16	5	1	2	18	5
5	milan	16	4	4	0	13	6
6	roma	16	5	1	2	12	5
7	napoli	12	3	3	2	9	8
8	fiorentina	11	3	2	3	13	10
9	cagliari	11	3	2	3	10	12
10	udinese	11	3	2	3	10	12
11	lazio	10	2	4	2	5	8
12	genoa	9	2	3	3	10	10
13	parma	9	2	3	3	4	9
14	torino	9	3	0	5	7	14
15	sassuolo	6	1	3	4	5	11
16	bologna	5	1	2	5	9	15
17	verona	5	1	2	5	7	16
18	lecce	5	1	2	5	3	10
19	pisa	4	0	4	4	8	18
20	cremonese	3	0	3	5	2	12
